"referenceID","bibliographicCitation"
"ref--8563146868274087900","Aublet, J.B.C.F. 1775 Histoire des plantes de la Guiane Franoise 4 vols"
"ref--6178249913942712328","Feuillet C. & L.E. Skog. 2002 Gesneriaceae, Guide to the Vascular Plants of Central French Guiana, 2 S.A. Mori et al. Mem. New York Bot. Gard. 76 2 334-344"
"ref--275449717770402836","Feuillet C. & L.E. Skog 2003a ('2002') Novae Gesneriaceae Neotropicarum, 11 Brittonia 54 344-351"
"ref-2405278580968208735","Feuillet C. & L.E. Skog 2003b ('2002') Novae Gesneriaceae Neotropicarum, 12 Brittonia 54 352-361"
"ref-5299296430208109140","Feuillet, C. & J.A. Steyermark. 1999 Gesneriaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 5 542-573"
"ref-4685756585440613725","Fritsch, K. 1893 Gesneriaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien 4 3b 133-144"
"ref-3784508925789154283","Fritsch, K. 1894 Gesneriaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien 4 3b 145-185"
"ref--1626490988087731988","Gibson, D.N. 1972 Studies in American plants, 4 Phytologia 23 334-342"
"ref-7265683356336895455","Gibson, D.N. 1974 Gesneriaceae, Flora of Guatemala, 10(3) P.C. Standley & L.O. Williams Fieldiana, Bot. 24 10 240-313"
"ref--6608520750194879262","Graham, E.H. 1933 Gesneriaceae Flora of the Kartabo region British Guiana. Ann. Carnegie Mus. 22 250-251"
"ref-1268106732240883437","Grenand, P. et al. 1987 Pharmacopées traditionnelles en Guyane, Gesneriaceae pp. 240-242"
"ref-1400599865700394684","Grenand, P. et al. 2004 Pharmacopées traditionnelles en Guyane ed. 2 Gesneriaceae pp. 379-382"
"ref-1333490036175583460","Hanstein, J. 1854 Die Gesneraceen des Königlichen Herbariums und der Gärten zu Berlin Linnaea 26 145-216 ('1853')"
"ref--8359567459367814482","Hanstein, J. 1856 Die Gesneraceen des Königlichen Herbariums und der Gärten zu Berlin Linnaea 27 693-785 ('1854')"
"ref--4804450373280148121","Hanstein, J. 1859 Die Gesneraceen des Königlichen Herbariums und der Gärten zu Berlin Linnaea 29 497-592 ('1857-1858')"
"ref-9217792059308241804","Hanstein, J. 1865 Die Gesneraceen des Königlichen Herbariums und der Gärten zu Berlin Linnaea 34 225-462 ('1864-1865')"
"ref-4409066217937789303","Hanstein, J. 1864 Gesneriaceae C.F.P. von Martius Flora Brasiliensis 8 1 343-428"
"ref--2481150439237592620","Kvist, L.P. 1986 Gesneriads and snake bite Gloxinian 36 1 8-13"
"ref--9126911897946378570","Leeuwenberg, A.J.M. 1958 The Gesneriaceae of Guiana Acta Bot. Neerl. 7 291-444"
"ref--5091932405916866912","Leeuwenberg, A.J.M. 1984 Gesneriaceae A.L. Stoffers & J.C. Lindeman Flora of Suriname 5 1 592-650"
