"taxonID","habitat"
"taxon-1-ALLOPLECTUS","Habitat: mostly growing in lowland to mid-elevation rain or cloud forest, and occasionally at forest margins."
"taxon-1-Alloplectus_cristatus","Habitat: in wet montane forests at 700-1650 m alt."
"taxon-2-Alloplectus_savannarum","Habitat: in disturbed rainforests on mountain slopes, at elevations of 270-1570 m ."
"taxon-2-BESLERIA","Habitat: growing in rainforests, in wet areas or edges of clearings."
"taxon-1-Besleria_flavovirens","Habitat: along streams in wet forests, at 40-900 m alt."
"taxon-2-Besleria_insolita","Habitat: locally common along streams in wet forests, at 0-500 m alt."
"taxon-3-Besleria_laxiflora","Habitat: along streams or wet slopes in dense forests, at 100-1000 m alt."
"taxon-4-Besleria_parviflora","Habitat: along streams in wet forests, at 610 m alt., in Guyana."
"taxon-5-Besleria_patrisii","Habitat: on granite boulders or along streams in tall evergreen wet forests, 30-800 m alt."
"taxon-6-Besleria_penduliflora","Habitat: in montane forests, at 915-1600 m alt."
"taxon-7-Besleria_saxicola","Habitat: on rocky slopes and in wet forests, often along streams, 0-610 m alt."
"taxon-3-CHRYSOTHEMIS","Habitat: low elevations"
"taxon-1-Chrysothemis_pulchella","Habitat: usually in damp forests on wet rocks but also on rocky outcrops, at 30-700 m alt."
"taxon-2-Chrysothemis_rupestris","Habitat: on wet granitic rocks or in rainforests, at 60-950 m alt."
"taxon-4-CODONANTHE","Habitat: on arboreal ant-nests in rainforests"
"taxon-1-Codonanthe_calcarata","Habitat: growing on or from arboreal ant-nests in rainforests, at 0-800 m alt."
"taxon-2-Codonanthe_crassifolia","Habitat: growing from or on arboreal ant-nests in rain- or swamp-forests, at 0-700 m alt. (in the Guianas)."
"taxon-5-CODONANTHOPSIS","Habitat: low elevation rain forest"
"taxon-1-Codonanthopsis_dissimulata","Habitat: on fallen trees or large boulders along streams in low wet forests, sometimes on red laterite."
"taxon-6-COLUMNEA","Habitat: usually in montane rainforests, growing on rocks or epiphytic in trees."
"taxon-1-Columnea_calotricha","Habitat: growing in moss on trees, in swamp and rain forests, at 0-750 m alt."
"taxon-2-Columnea_guianensis","Habitat: wet forests often among rocks, at 180-1200 m alt."
"taxon-3-Columnea_oerstediana","Habitat: pendent from trees in wet forests, at 0-760 m alt."
"taxon-4-Columnea_sanguinea","Habitat: growing in forests, often on mossy tree trunks, at 150-1250 m alt. (in the Guianas)."
"taxon-5-Columnea_scandens","Habitat: in rainforests, at low to middle elevations"
"taxon-7-CORYTOPLECTUS","Habitat: in mixed wet or cloud forest"
"taxon-1-Corytoplectus_deltoideus","Habitat: in high mixed forests, among mosses on forest floor with sandstone substrate near streams, at 700-2250 m alt. (1300 m in the Guianas, based on insufficient specimen data) ."
"taxon-8-CREMERSIA","Habitat: in rain forest, on granitic rocks or boulders"
