"taxonID","locality","localityType","distributionText"
"taxon-155-GESNERIACEAE","tropical regions of the world","world","Distribution: Widely distributed in tropical regions of the world , rarely reaching into warm temperate areas ; about 2600 species in about 130 genera; in the Neotropics about 1200 species; in the Guianas 60 species in 20 genera."
"taxon-155-GESNERIACEAE","warm temperate areas","world","Distribution: Widely distributed in tropical regions of the world , rarely reaching into warm temperate areas ; about 2600 species in about 130 genera; in the Neotropics about 1200 species; in the Guianas 60 species in 20 genera."
"taxon-155-GESNERIACEAE","Neotropics","world","Distribution: Widely distributed in tropical regions of the world , rarely reaching into warm temperate areas ; about 2600 species in about 130 genera; in the Neotropics about 1200 species; in the Guianas 60 species in 20 genera."
"taxon-155-GESNERIACEAE","Guianas","region","Distribution: Widely distributed in tropical regions of the world , rarely reaching into warm temperate areas ; about 2600 species in about 130 genera; in the Neotropics about 1200 species; in the Guianas 60 species in 20 genera."
"taxon-1-ALLOPLECTUS","C America","continental region","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-ALLOPLECTUS","northern S America","continental region","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-ALLOPLECTUS","Mexico","country","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-ALLOPLECTUS","Bolivia","country","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-ALLOPLECTUS","Suriname","country","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-ALLOPLECTUS","Hispaniola","region","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-ALLOPLECTUS","Guianas","region","Distribution: A genus of about 60 species mainly in C America and northern S America , from Mexico to Bolivia and Suriname , as well as Hispaniola ; 2 species in the Guianas ."
"taxon-1-Alloplectus_cristatus","western Guyana","region","Distribution: Apparently endemic to western Guyana ; 5 specimens examined (GU: 5)."
"taxon-2-Alloplectus_savannarum","Eastern Colombia","region","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-Alloplectus_savannarum","eastern Peru","region","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-Alloplectus_savannarum","Brazil","country","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-Alloplectus_savannarum","Roraima","state","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-Alloplectus_savannarum","Guayana Highlands in Venezuela","region","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-Alloplectus_savannarum","Guyana","country","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-Alloplectus_savannarum","Suriname","country","Distribution: Eastern Colombia to eastern Peru , Brazil ( Roraima ), Guayana Highlands in Venezuela , Guyana , and Suriname ; > 100 collections studied (GU: 50; SU: 6)."
"taxon-2-BESLERIA","Mexico","country","Distribution: About 200 species from Mexico to Brazil and the West Indies , from an apparent center in northwestern S America ; 7 species in the Guianas ."
"taxon-2-BESLERIA","Brazil","country","Distribution: About 200 species from Mexico to Brazil and the West Indies , from an apparent center in northwestern S America ; 7 species in the Guianas ."
"taxon-2-BESLERIA","West Indies","region","Distribution: About 200 species from Mexico to Brazil and the West Indies , from an apparent center in northwestern S America ; 7 species in the Guianas ."
"taxon-2-BESLERIA","northwestern S America","continental region","Distribution: About 200 species from Mexico to Brazil and the West Indies , from an apparent center in northwestern S America ; 7 species in the Guianas ."
"taxon-2-BESLERIA","Guianas","region","Distribution: About 200 species from Mexico to Brazil and the West Indies , from an apparent center in northwestern S America ; 7 species in the Guianas ."
"taxon-1-Besleria_flavovirens","Costa Rica","country","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
"taxon-1-Besleria_flavovirens","Colombia","country","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
"taxon-1-Besleria_flavovirens","Amazonas","state","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
"taxon-1-Besleria_flavovirens","Venezuela","country","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
"taxon-1-Besleria_flavovirens","Amazonas","state","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
"taxon-1-Besleria_flavovirens","Bolívar","state","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
"taxon-1-Besleria_flavovirens","Peru","country","Distribution: Costa Rica , Colombia ( Amazonas ), Venezuela ( Amazonas , Bolívar ), Peru ( Loreto ), the Guianas , Brazil ( Amazonas , Roraima , Río Negro and Bahia ); > 100 collections studied (GU: 3; SU: 5; FG: 32)."
