WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0001081790,distribution,EN,"Thailand, India (type), Burma (type of Sonerila collina: Mergui), China and Indochina (type of S. rivularis: Tonkin; syntypes of S. quadrangularis: Cambodia), Malay Peninsula, Sumatra, Java and Borneo.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001081790,Forest Herbarium,All rights reserved,"Sonerila maculata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 488. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02674,7,3
wfo-0000162077,distribution,EN,"Thailand, Malay Peninsula (type), Sumatra, Java and Borneo.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000162077,Forest Herbarium,All rights reserved,"Sonerila moluccana. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 490. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02675,7,3
wfo-0000162091,distribution,EN,"Thailand, Malay Peninsula, Sumatra (type), Borneo and the Philippines.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000162091,Forest Herbarium,All rights reserved,"Sonerila obliqua. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 492. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02676,7,3
wfo-0001083386,distribution,EN,"Thailand, China (Yunnan, type: HENRY 13152, MO), Laos, Cambodia.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001083386,Forest Herbarium,All rights reserved,"Sonerila plagiocardia. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 493. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02677,7,3
wfo-0000162118,distribution,EN,"Thailand, India, Western Ghats (type: WALLICH cat. n. 4096, Kew), expected in Burma.","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000162118,Forest Herbarium,All rights reserved,"Sonerila rheedei. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 493. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02678,7,3
wfo-0000162137,distribution,EN,Endemic to Thailand.,"S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000162137,Forest Herbarium,All rights reserved,"Sonerila spectabilis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 495. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02679,7,3
wfo-0001237633,distribution,EN,Endemic to Thailand.,"S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001237633,Forest Herbarium,All rights reserved,"Sonerila urceolata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 495. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02680,7,3
wfo-0000162161,distribution,EN,"Thailand, Burma (type: Moulmein, LOBB 356).","S.S. Renner, G. Clausing, N. Cellinese, K.Meyer",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000162161,Forest Herbarium,All rights reserved,"Sonerila violifolia. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 497. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02681,7,3
wfo-0000313527,distribution,EN,"Worldwide (except Arctic, Antarctic zones and most of South America).",E. Landolt,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000313527,Forest Herbarium,All rights reserved,"Spirodela polyrhiza. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 397. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02578,7,3
wfo-0000491701,distribution,EN,"Thailand, India, Nepal, Ceylon (type), Burma, Malay Peninsula, Indonesia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491701,Forest Herbarium,All rights reserved,"Sterculia balanghas. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 626. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02797,7,3
wfo-0000491935,distribution,EN,"Thailand, Indonesia (type), Malay Peninsula.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491935,Forest Herbarium,All rights reserved,"Sterculia cordata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 626. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02798,7,3
wfo-0000491589,distribution,EN,"Thailand, India (type), Ceylon, Burma, Vietnam, Cambodia, Malay Peninsula, Indonesia, Philippines, Eastern Africa, Northern Australia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491589,Forest Herbarium,All rights reserved,"Sterculia foetida. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 628. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02799,7,3
wfo-0000491639,distribution,EN,"Thailand, Malay Peninsula, Borneo, Indonesia (type).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491639,Forest Herbarium,All rights reserved,"Sterculia gilva. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 630. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02800,7,3
wfo-0000491653,distribution,EN,"Thailand, India (type), Ceylon, Burma, Vietnam.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491653,Forest Herbarium,All rights reserved,"Sterculia guttata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 630. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02801,7,3
wfo-0000491627,distribution,EN,"Thailand, Vietnam (type), Malay Peninsula.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491627,Forest Herbarium,All rights reserved,"Sterculia hypochroa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 633. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02802,7,3
wfo-0001141279,distribution,EN,"Thailand, Ceylon, China (type) Vietnam, Laos, Malay Peninsula.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001141279,Forest Herbarium,All rights reserved,"Sterculia lanceolata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 635. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02803,7,3
wfo-0000491851,distribution,EN,"Thailand, India, Ceylon, Burma, Indonesia, Malay Peninsula, Penang (JACK. S.n. type of Sterculia coccinea Jack.).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491851,Forest Herbarium,All rights reserved,"Sterculia lanceolata coccinea. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 635. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02804,7,3
