WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000476060,Bark produces fibre for making ropes.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476060,7,3,"Pentapetes phoenicea. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 595. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02771
wfo-0001240219,"A decoction of the plant is used to treat kidney ailments by the Black Lahu, a hill tribe of northern Thailand.",use,EN,C.A. Pendry,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001240219,7,3,"Polygala chinensis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 503. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02688
wfo-0000476084,Wood used for plywood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476084,7,3,"Pterocymbium macranthum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 597. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02773
wfo-0000476033,Timber used for interior construction and fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476033,7,3,"Pterospermum acerifolium. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 602. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02776
wfo-0000476041,Timber for fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476041,7,3,"Pterospermum cinnamomeum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 602. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02777
wfo-0000476043,Timber for interior construction and fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476043,7,3,"Pterospermum diversifolium. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 604. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02778
wfo-0000476020,Wood for fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476020,7,3,"Pterospermum grande. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 607. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02779
wfo-0000476021,Wood for interior construction and as fuel.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476021,7,3,"Pterospermum grandiflorum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 607. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02780
wfo-0001141130,Timber for fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001141130,7,3,"Pterospermum lanceifolium. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 610. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02781
wfo-0001390644,Timber for fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001390644,7,3,"Pterospermum littorale venustrum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 613. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02784
wfo-0000475821,Timber for fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000475821,7,3,"Pterospermum pecteniforme. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 613. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02785
wfo-0000475857,Timber used for fuelwood.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000475857,7,3,"Pterospermum semisagittatum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 615. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02786
wfo-0000475845,"Wood yellowish-white, used for plywood facing.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000475845,7,3,"Pterygota alata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 617. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02788
wfo-0001141223,A beautiful tree with scented flowers worthwhile cultivating for ornamental purpose.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001141223,7,3,"Reevesia pubescens siamensis. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 619. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02792
wfo-0000492035,Wood used for plywood. Seed used as food and medicine.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000492035,7,3,"Scaphium linearicarpum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 621. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02794
wfo-0000734154,Wood for plywood. Seed yields copious mucilage used as food and medicine.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000734154,7,3,"Scaphium scaphigerum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 623. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02795
wfo-0000491589,"Wood greyish brown used for indoor construction, boxes, tooth picks; oil from seed for food and light.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491589,7,3,"Sterculia foetida. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 628. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02799
wfo-0000491653,Wood white used for indoor construction and plywood. Seeds edible after roasting.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491653,7,3,"Sterculia guttata. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 630. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02801
wfo-0000491627,"Wood white, used for indoor construction. Bark yields fibre.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000491627,7,3,"Sterculia hypochroa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 633. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02802
wfo-0001281825,Seeds edible after roasting.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001281825,7,3,"Sterculia monosperma. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 641. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02807
wfo-0001269330,White wood used for indoor construction and plywood; bark yielding good fibres.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001269330,7,3,"Sterculia parviflora. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 641. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02808
wfo-0001141261,Whitish wood used for plywood and boxes.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001141261,7,3,"Sterculia pexa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 644. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02809
wfo-0001390645,The bark yields fibre for binding material.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001390645,7,3,"Sterculia urena thorelii. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 646. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02812
wfo-0001140523,"Wood white, used for indoor construction.",use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001140523,7,3,"Sterculia villosa. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 649. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02813
wfo-0000458440,Seeds yield cocoa of the commerce.,use,EN,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000458440,7,3,"Theobroma cacao. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 651. Accessed 2021-07-31",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02815
