"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-71-CYRILLACEAE","CYRILLACEAE","","family","CYRILLACEAE","","","","accepted"
"taxon-1-CYRILLA","CYRILLA","Garden ex L.","genus","","","CYRILLA","Mant. Pl. 1 5 1767","accepted"
"taxon-1-Cyrilla_racemiflora","Cyrilla racemiflora","L.","species","","","Cyrilla","Mant. Pl. 50 1767","accepted"
"taxon-PURDIAEA","PURDIAEA","Planch.","genus","","","PURDIAEA","London J. Bot. 5 250 1846","accepted"
"taxon-Purdiaea_nutans","Purdiaea nutans","Planch.","species","","","Purdiaea","London J. Bot. 5 251 1846","accepted"
"taxon-79-THEOPHRASTACEAE","THEOPHRASTACEAE","","family","THEOPHRASTACEAE","","","","accepted"
"taxon-1-CLAVIJA","CLAVIJA","Ruiz & Pav.","genus","","","CLAVIJA","Fl. Peruv. Prodr. 142 t. 30 1794","accepted"
"taxon-1-Clavija_imatacae","Clavija imatacae","B. Ståhl","species","","","Clavija","Opera Bot. 107 62 1991","accepted"
"taxon-2-Clavija_lancifolia","Clavija lancifolia","Desf.","species","","","Clavija","Nouv. Ann. Mus. Hist. Nat. 1 402 1832","accepted"
"taxon-2a-Clavija_lancifolia","Clavija lancifolia","Desf.","species","","","Clavija","","accepted"
"taxon-2b-Clavija_lancifolia","Clavija lancifolia","Desf.","species","","","Clavija","Opera Bot. 107 56 1991","accepted"
"taxon-3-Clavija_macrophylla","Clavija macrophylla","Miq.","species","","","Clavija","Fl. Bras. 10 275 1856","accepted"
"taxon-86-RHABDODENDRACEAE","RHABDODENDRACEAE","","family","RHABDODENDRACEAE","","","","accepted"
"taxon-1-RHABDODENDRON","RHABDODENDRON","Gilg & Pilg.","genus","","","RHABDODENDRON","Verh. Bot. Vereins Prov. Brandenburg 47 152 1905","accepted"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron amazonicum","Huber","species","","","Rhabdodendron","Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5 427 1909","accepted"
"taxon-90-PROTEACEAE","PROTEACEAE","","family","PROTEACEAE","","","","accepted"
"taxon-1-EUPLASSA","EUPLASSA","Salisb. ex Knight","genus","","","EUPLASSA","Cult. Prot. 101 1809","accepted"
"taxon-1-Euplassa_glaziovii","Euplassa glaziovii","Steyerm.","species","","","Euplassa","Fieldiana Bot. 28 217 1951","accepted"
"taxon-2-Euplassa_pinnata","Euplassa pinnata","I.M. Johnst.","species","","","Euplassa","Contr. Gray Herb. 73 42 1924","accepted"
"taxon-2-PANOPSIS","PANOPSIS","Salisb. ex Knight","genus","","","PANOPSIS","Cult. Prot. 104 1809","accepted"
"taxon-1-Panopsis_rubescens","Panopsis rubescens","Rusby","species","","","Panopsis","Mem. Torrey Bot. Club 6 116 1896","accepted"
"taxon-2-Panopsis_sessilifolia","Panopsis sessilifolia","Sandwith","species","","","Panopsis","Bull. Misc. Inform. Kew 1932 226 1932","accepted"
"taxon-3-ROUPALA","ROUPALA","Aubl.","genus","","","ROUPALA","Hist. Pl. Guiane 1 83 1775","accepted"
"taxon-1-Roupala_montana","Roupala montana","Aubl.","species","","","Roupala","Hist. Pl. Guiane 1 83 1775","accepted"
"taxon-2-Roupala_nitida","Roupala nitida","Rudge","species","","","Roupala","Pl. Guian. Rar. 1 26 1805","accepted"
"taxon-3-Roupala_obtusata","Roupala obtusata","Klotzsch","species","","","Roupala","Linnaea 15 54 1841","accepted"
"taxon-4-Roupala_sororopana","Roupala sororopana","Steyerm.","species","","","Roupala","Fieldiana Bot. 28 220 1951","accepted"
"taxon-5-Roupala_suaveolens","Roupala suaveolens","Klotzsch","species","","","Roupala","Linnaea 20 473 1847","accepted"
"taxon-100-COMBRETACEAE","COMBRETACEAE","","family","COMBRETACEAE","","","","accepted"
"taxon-1-BUCHENAVIA","BUCHENAVIA","Eichler","genus","","","BUCHENAVIA","Flora 49 164 1866 nom. cons.","accepted"
"taxon-1-Buchenavia_congesta","Buchenavia congesta","Ducke","species","","","Buchenavia","Trop. Woods 90 24 1947","accepted"
"taxon-2-Buchenavia_fanshawei","Buchenavia fanshawei","Exell & Maguire","species","","","Buchenavia","Maguire et al. Bull. Torrey Bot. Club 75 648 1948","accepted"
"taxon-3-Buchenavia_grandis","Buchenavia grandis","Ducke","species","","","Buchenavia","Arch. Jard. Bot. Rio de Janeiro 4 148 1925","accepted"
"taxon-4-Buchenavia_guianensis","Buchenavia guianensis","Alwan & Stace","species","","","Buchenavia","Nordic J. Bot. 5 447 1985","accepted"
"taxon-5-Buchenavia_macrophylla","Buchenavia macrophylla","Eichler","species","","","Buchenavia","Flora 49 166 1866","accepted"
"taxon-6-Buchenavia_megalophylla","Buchenavia megalophylla","Van Heurck & Müll. Arg.","species","","","Buchenavia","Van Heurck Observ. Bot. 2 211 1871","accepted"
"taxon-7-Buchenavia_nitidissima","Buchenavia nitidissima","Alwan & Stace","species","","","Buchenavia","Nordic J. Bot. 5 449 1985","accepted"
"taxon-8-Buchenavia_ochroprumna","Buchenavia ochroprumna","Eichler","species","","","Buchenavia","Flora 49 165 1866","accepted"
"taxon-9-Buchenavia_pallidovirens","Buchenavia pallidovirens","Cuatrec.","species","","","Buchenavia","Fieldiana Bot. 27 1 107 1950","accepted"
"taxon-10-Buchenavia_parvifolia","Buchenavia parvifolia","Ducke","species","","","Buchenavia","Arch. Jard. Bot. Rio de Janeiro 4 150 1925","accepted"
"taxon-11-Buchenavia_reticulata","Buchenavia reticulata","Eichler","species","","","Buchenavia","Flora 49 166 1866","accepted"
"taxon-12-Buchenavia_tetraphylla","Buchenavia tetraphylla","R.A. Howard","species","","","Buchenavia","J. Arnold Arbor. 64 266 1983","accepted"
"taxon-13-Buchenavia_viridiflora","Buchenavia viridiflora","Ducke","species","","","Buchenavia","Arq. Inst. Biol. Veg. 2 63 1935","accepted"
"taxon-2-COMBRETUM","COMBRETUM","Loefl.","genus","","","COMBRETUM","Iter Hispan. 308 1758 nom. cons.","accepted"
"taxon-1-Combretum_cacoucia","Combretum cacoucia","Exell","species","","","Combretum","Bull. Misc. Inform. Kew 1931 469 1931","accepted"
"taxon-2-Combretum_fruticosum","Combretum fruticosum","Stuntz","species","","","Combretum","U.S.D.A. Bur. Pl. Industr. Invent. Seeds 31 86 1914","accepted"
"taxon-3-Combretum_fusiforme","Combretum fusiforme","Gleason","species","","","Combretum","Bull. Torrey Bot. Club 53 292 1926","accepted"
"taxon-4-Combretum_laxum","Combretum laxum","Jacq.","species","","","Combretum","Enum. Syst. Pl. 19 1760","accepted"
"taxon-5-Combretum_paraguariense","Combretum paraguariense","Stace","species","","","Combretum","Fl. Ecuador 81 13 2007","accepted"
"taxon-6-Combretum_pyramidatum","Combretum pyramidatum","Ham.","species","","","Combretum","Prodr. Pl. Ind. Occid. 35 1825","accepted"
"taxon-7-Combretum_rohrii","Combretum rohrii","Exell","species","","","Combretum","J. Linn. Soc. Bot. 55 122 1953","accepted"
"taxon-8-Combretum_rotundifolium","Combretum rotundifolium","Rich.","species","","","Combretum","Actes Soc. Hist. Nat. Paris 1 108 1792","accepted"
"taxon-9-Combretum_spinosum","Combretum spinosum","Bonpl.","species","","","Combretum","Humb. & Bonpl. Pl. Aequinoct. 2 161 1817","accepted"
"taxon-3-CONOCARPUS","CONOCARPUS","L.","genus","","","CONOCARPUS","Sp. Pl. 176 1753","accepted"
"taxon-1-Conocarpus_erectus","Conocarpus erectus","L.","species","","","Conocarpus","Sp. Pl. 176 1753","accepted"
"taxon-4-LAGUNCULARIA","LAGUNCULARIA","C.F. Gaertn.","genus","","","LAGUNCULARIA","Suppl. Carp. 209 1807","accepted"
"taxon-1-Laguncularia_racemosa","Laguncularia racemosa","C.F. Gaertn.","species","","","Laguncularia","Suppl. Carp. 209 1807","accepted"
"taxon-5-TERMINALIA","TERMINALIA","L.","genus","","","TERMINALIA","Syst. Nat. ed. 12. 2 674 1767 nom. cons.","accepted"
"taxon-1-Terminalia_amazonia","Terminalia amazonia","Exell","species","","","Terminalia","Pulle Fl. Suriname 3 1 173 1935","accepted"
"taxon-2-Terminalia_catappa","Terminalia catappa","L.","species","","","Terminalia","Syst. Nat. ed. 12. 2 674 1767","accepted"
"taxon-3-Terminalia_dichotoma","Terminalia dichotoma","G. Mey.","species","","","Terminalia","Prim. Fl. Esseq. 177 1818","accepted"
"taxon-4-Terminalia_guyanensis","Terminalia guyanensis","Eichler","species","","","Terminalia","Mart. Fl. Bras. 14 2 88 1867","accepted"
"taxon-5-Terminalia_lucida","Terminalia lucida","Hoffmanns. ex Mart. & Zucc.","species","","","Terminalia","Flora 7 1. Beil. 130 1824","accepted"
"taxon-6-Terminalia_oblonga","Terminalia oblonga","Steud.","species","","","Terminalia","Nomencl. Bot. ed. 2. 2 668 1841","accepted"
"taxon-7-Terminalia_quintalata","Terminalia quintalata","Maguire","species","","","Terminalia","Maguire et al. Bull. Torrey Bot. Club 75 649 1948","accepted"
"taxon-113-DICHAPETALACEAE","DICHAPETALACEAE","","family","DICHAPETALACEAE","","","","accepted"
"taxon-Stephanopodium","Stephanopodium","","genus","","","Stephanopodium","","accepted"
"taxon-1-DICHAPETALUM","DICHAPETALUM","Thouars","genus","","","DICHAPETALUM","Gen. Nov. Madag. 23 1806","accepted"
"taxon-1-Dichapetalum_pedunculatum","Dichapetalum pedunculatum","Baill.","species","","","Dichapetalum","Hist. Pl. 5 140 1874","accepted"
"taxon-2-Dichapetalum_rugosum","Dichapetalum rugosum","Prance","species","","","Dichapetalum","Acta Bot. Venez. 3 303 1968 as ‘rugosus’.","accepted"
"taxon-3-Dichapetalum_schulzii","Dichapetalum schulzii","Prance","species","","","Dichapetalum","Bull. Torrey Bot. Club 106 309 1979","accepted"
"taxon-2-TAPURA","TAPURA","Aubl.","genus","","","TAPURA","Hist. Pl. Guiane 1 126 t. 48 1775","accepted"
"taxon-1-Tapura_amazonica","Tapura amazonica","Poepp.","species","","","Tapura","Poepp. & Endl. Nov. Gen. Sp. 3 41 t. 246 1843","accepted"
"taxon-2-Tapura_capitulifera","Tapura capitulifera","Baill.","species","","","Tapura","Adansonia 11 112 1873","accepted"
"taxon-3-Tapura_guianensis","Tapura guianensis","Aubl.","species","","","Tapura","Hist. Pl. Guiane 1 126 t. 48 1775","accepted"
"taxon-4-Tapura_singularis","Tapura singularis","Ducke","species","","","Tapura","Trop. Woods 90 21 1947","accepted"
"taxon-167-LIMNOCHARITACEAE","LIMNOCHARITACEAE","","family","LIMNOCHARITACEAE","","","","accepted"
"taxon-1-HYDROCLEYS","HYDROCLEYS","Rich.","genus","","","HYDROCLEYS","Mém. Mus. Hist. Nat. 1 368 1815","accepted"
"taxon-1-Hydrocleys_nymphoides","Hydrocleys nymphoides","Buchenau","species","","","Hydrocleys","Index Crit. Butom. Alism. Juncag. 2 1868","accepted"
"taxon-168-ALISMATACEAE","ALISMATACEAE","","family","ALISMATACEAE","","","","accepted"
"taxon-1-ECHINODORUS","ECHINODORUS","Rich. ex Engelm.","genus","","","ECHINODORUS","A. Gray Manual Bot. 460 1848","accepted"
"taxon-1-Echinodorus_bolivianus","Echinodorus bolivianus","Holm-Niels.","species","","","Echinodorus","Brittonia 31 276 1979","accepted"
"taxon-2-Echinodorus_grisebachii","Echinodorus grisebachii","Small","species","","","Echinodorus","N. Amer. Fl. 17 46 1909","accepted"
"taxon-3-Echinodorus_horizontalis","Echinodorus horizontalis","Rataj","species","","","Echinodorus","Folia Geobot. Phytotax. 4 335 1969","accepted"
"taxon-4-Echinodorus_macrophyllus","Echinodorus macrophyllus","Micheli","species","","","Echinodorus","A. DC. & C. DC. Monogr. Phan. 3 50 1881","accepted"
"taxon-4-Echinodorus_macrophyllus","Echinodorus macrophyllus","Micheli","species","","","Echinodorus","Brittonia 38 331 1986","accepted"
"taxon-5-Echinodorus_paniculatus","Echinodorus paniculatus","Micheli","species","","","Echinodorus","A. DC. & C. DC. Monogr. Phan. 3 51 1881","accepted"
"taxon-6-Echinodorus_reticulatus","Echinodorus reticulatus","R.R. Haynes & Holm-Niels.","species","","","Echinodorus","Brittonia 38 327 1986","accepted"
"taxon-7-Echinodorus_subalatus","Echinodorus subalatus","Griseb.","species","","","Echinodorus","Cat. Pl. Cub. 218 1866","accepted"
"taxon-7a-subalatus","subalatus","Griseb.","species","","","","","accepted"
"taxon-7b-subalatus","subalatus","Griseb.","species","","","","Brittonia 38 327 1986","accepted"
"taxon-8-Echinodorus_tenellus","Echinodorus tenellus","Buchenau","species","","","Echinodorus","Index Crit. Butom. Alism. Juncag. 21 1868","accepted"
"taxon-2-Sagittaria","Sagittaria","L.","genus","","","Sagittaria","Sp. Pl. 993 1753","accepted"
"taxon-1-Sagittaria_guayanensis","Sagittaria guayanensis","Kunth","species","","","Sagittaria","Humb., Bonpl. & Kunth Nov. Gen. Sp. ed. qu. 1 250 1816","accepted"
"taxon-Sagittaria_guayanensis","Sagittaria guayanensis","Kunth","species","","","Sagittaria","","accepted"
"taxon-2-Sagittaria_lancifolia","Sagittaria lancifolia","L.","species","","","Sagittaria","Syst. Nat. ed. 10 1270 1759","accepted"
"taxon-Sagittaria_lancifolia","Sagittaria lancifolia","L.","species","","","Sagittaria","","accepted"
"taxon-3-Sagittaria_rhombifolia","Sagittaria rhombifolia","Cham.","species","","","Sagittaria","Linnaea 10 219 1835","accepted"
