"taxonID","description"
"taxon-71-CYRILLACEAE","Shrubs or small trees ( up to 25 m tall ), usually evergreen. Leaves alternate, simple, spirally arranged to usually clustered at stem apex; stipules present or absent, usually inconspicuous or caducous; usually petiolate (rarely sub-sessile); blades glabrous , margin entire , often coriaceous . Inflorescences terminal, sometimes axillary racemes; bracts (single) and bracteoles (paired) present or absent. Flowers bisexual, actinomorphic or slightly zygomorphic, 5-merous , pedicellate; sepals and petals imbricate, free or basally connate, sepals persistent, petals white to pink , usually with inrolled margins; stamens 5 or 10 , usually opposite petals, in 1 or 2 (in Purdiaea Planch. ) whorls, filaments free, anthers 2-locular , opening by apical pores or longitudinal slits, versatile; nectary-disc present around base of ovary or absent; ovary superior, 2-5-locular , style usually short, stigma entire or 1-3(-4)-lobed , ovules 1-3 per locule, pendulous , anatropous. Fruits indehiscent, berries or capsules, dry; seeds 1-few , endosperm copious."
"taxon-1-CYRILLA","Shrub or small tree, up to 7-15 m tall , sometimes multistemmed, occasionally spreading with vine-like branches, rarely branched at base . Leaf scars prominent. Stipules inconspicuous (caducous) or absent; petiole usually short (nearly subsessile), slightly winged, 0.4-1.3 cm long ; blade subcoriaceous to coriaceous , oblanceolate to elliptic, occasionally linear , 2-11(-12) (including petiole) x 0.4-2.5(-3) cm , margin usually slightly reflexed, apex acute to rounded, sometimes emarginated (rarely apiculate) , base narrowly cuneate to attenuate ; midvein generally depressed above, prominent beneath, densely reticulate, slightly prominent or obscure above, secondary veins straight to slightly arcuate, divergent, irregularly anastomosing. Inflorescence racemose, axillary, usually near end of branches , glabrous ; peduncle 0.4-1.7 cm long (before the first bract) ; rachis up to 14 cm long , usually somewhat ridged; often numerous flowers, erect or pendulous ; bract lanceolate-subulate, 0.8-2.4(-3.5) mm long , acuminate to very acute, basally thickened and usually costate , persistent; bracteoles 2 , usually above middle of pedicel, alternate or opposite, lanceolate , 1-1.5(-1.6) mm long , persistent; pedicels ascending or slightly patent, alternate or subopposite, 1.1-2 mm long (up to 4 mm when fruiting) , usually pink . Flowers actinomorphic; sepals free, or basally connate, 5 , pink , coriaceous , usually with basal thickening, lanceolate-ovate to deltoid , 0.6-1.5(-1.6) x up to 0.7(-1) mm , apex acute to acuminate , glabrous , persistent; petals imbricate or slightly contorted, free or shortly fused, 5 , white , usually more membranaceous along margin, oblong to oblong-lanceolate or oblong-elliptic , 2(-2.4) x up to 1.1 mm , margins sometimes inrolled (giving the appearance of long acuminate), apex acute, obtuse or rounded , glabrous to rarely glandular on lower inner surface ; stamens 5 , about 2/3 as long as petals (always shorter) , filaments flattened, 1.1-1.4 mm long , anthers terete, linear-subulate , up to 0.4 mm broad , very occasionally with mucronate tip, versatile, dehiscing longitudinally, pink or purple ; nectary disc sometimes present; ovary 2-3(rarely-4)-locular , oblong to slightly ovate , wrinkled when dried, glabrous , up to 1.6(-2) mm long , ovules usually 2 , pendulous from apex of locule , style 1 , short, stout, stigma entire, or 2-3-lobed, corresponding to number of locules . Fruit dry, indehiscent, green immature, red (pink) at maturity , subglobose to globose or conic-ellipsoid , 2.5-(3) x up to (0.9-)2(-3) mm , usually smooth (rarely slightly rugulose), glabrous , stigma usually persistent; seeds 1 per locule, elongate."
"taxon-1-Cyrilla_racemiflora","Shrub or small tree, up to 7-15 m tall , sometimes multistemmed, occasionally spreading with vine-like branches, rarely branched at base . Leaf scars prominent. Stipules inconspicuous (caducous) or absent; petiole usually short (nearly subsessile), slightly winged, 0.4-1.3 cm long ; blade subcoriaceous to coriaceous , oblanceolate to elliptic, occasionally linear , 2-11(-12) (including petiole) x 0.4-2.5(-3) cm , margin usually slightly reflexed, apex acute to rounded, sometimes emarginated (rarely apiculate) , base narrowly cuneate to attenuate ; midvein generally depressed above, prominent beneath, densely reticulate, slightly prominent or obscure above, secondary veins straight to slightly arcuate, divergent, irregularly anastomosing. Inflorescence racemose, axillary, usually near end of branches , glabrous ; peduncle 0.4-1.7 cm long (before the first bract) ; rachis up to 14 cm long , usually somewhat ridged; often numerous flowers, erect or pendulous ; bract lanceolate-subulate, 0.8-2.4(-3.5) mm long , acuminate to very acute, basally thickened and usually costate , persistent; bracteoles 2 , usually above middle of pedicel, alternate or opposite, lanceolate , 1-1.5(-1.6) mm long , persistent; pedicels ascending or slightly patent, alternate or subopposite, 1.1-2 mm long (up to 4 mm when fruiting) , usually pink . Flowers actinomorphic; sepals free, or basally connate, 5 , pink , coriaceous , usually with basal thickening, lanceolate-ovate to deltoid , 0.6-1.5(-1.6) x up to 0.7(-1) mm , apex acute to acuminate , glabrous , persistent; petals imbricate or slightly contorted, free or shortly fused, 5 , white , usually more membranaceous along margin, oblong to oblong-lanceolate or oblong-elliptic , 2(-2.4) x up to 1.1 mm , margins sometimes inrolled (giving the appearance of long acuminate), apex acute, obtuse or rounded , glabrous to rarely glandular on lower inner surface ; stamens 5 , about 2/3 as long as petals (always shorter) , filaments flattened, 1.1-1.4 mm long , anthers terete, linear-subulate , up to 0.4 mm broad , very occasionally with mucronate tip, versatile, dehiscing longitudinally, pink or purple ; nectary disc sometimes present; ovary 2-3(rarely-4)-locular , oblong to slightly ovate , wrinkled when dried, glabrous , up to 1.6(-2) mm long , ovules usually 2 , pendulous from apex of locule , style 1 , short, stout, stigma entire, or 2-3-lobed, corresponding to number of locules . Fruit dry, indehiscent, green immature, red (pink) at maturity , subglobose to globose or conic-ellipsoid , 2.5-(3) x up to (0.9-)2(-3) mm , usually smooth (rarely slightly rugulose), glabrous , stigma usually persistent; seeds 1 per locule, elongate."
"taxon-Purdiaea_nutans","Evergreen trees or shrubs. Leaves usually crowded at branch tips, generally sessile. Inflorescence generally terminal , racemose, bracts scarious , bracteoles absent ; sepals unequal, outer sepals lobes conspicuously enlarged and with ciliate/fimbriate margins, often enlarged in fruit ; stamens 10 , in two whorls, anthers opening by apical pores; ovary usually 5-locular , 1-ovulate , style elongate. Fruit indehiscent, 3-5-ribbed , dry, enclosed in persistent sepals, seeds 1-5 ."
"taxon-79-THEOPHRASTACEAE","Shrubs or small trees, usually evergreen. Leaves alternate, often pseudoverticillate, exstipulate, petiolate, simple, glandular-punctate, mostly with bundles or layers of subepidermal, extraxylary sclerenchyma. Inflorescences terminal or lateral , racemose, rarely reduced to a single flower, each flower subtended by a small bract. Flowers regular, or because of unequal size of the corolla lobes, slightly zygomorphic, 5- or sometimes 4-merous , bisexual or (usually in Clavija ) unisexual , aestivation imbricate; calyx persistent, lobes free to base, glandular-punctate, margins membranaceous ; corolla sympetalous, usually firm and waxy, lobes usually slightly unequal in size; staminodes fused to corolla tube, alternating with lobes; stamens of same number as corolla lobes and placed in front of these, filaments flattened, fused to lower part of corolla, free to base, or (often in Clavija ) united into a tube, anthers basifixed, dithecal, extrorsely dehiscent with longitudinal slits, thecae partly filled up with calcium oxalate crystals; pistil superior, ovary ovoid to subglobose , undivided, 1-locular , ovules few to numerous, spirally inserted on a basal column, style often poorly demarcated, shorter to about as long as ovary , stigma truncate , capitate or sometimes discoid, entire or vaguely lobed. Fruits berries with dry and sometimes woody pericarp, indehiscent, subglobose, oblongoid, or ovoid , yellow, orange, or orange-red ; seeds embedded in juicy and (when mature) sweet pulp, hard, brown to brownish-yellow , endosperm abundant."
"taxon-1-CLAVIJA","Shrubs or small trees, unbranched or sparsely branched, evergreen. Leaves pseudoverticillate; short- to long-petiolate; blades medium-sized to large or very large, margins entire, serrulate or serrate, sometimes spinose-serrate ; extraxylary sclerenchyma present or sometimes lacking. Inflorescences lateral racemes, solitary or in small groups, borne on stems among and beneath leaves, few- to many-flowered , those of female plants usually shorter than those of male plants; bracts lanceolate-ovate , inserted at junction of pedicel and rachis, rarely ascending on pedicels. Flowers 5- or sometimes 4-merous , uni- or bisexual, dioecious, gynodioecious, androdioecious, or rarely hermaphroditic ; calyx greenish , lobes suborbicular , margin erose; corolla pale to dark orange , crateriform, not glandular-punctate, lobes broadly ovate-oblong or suborbicular ; staminodes oblongoid to ovoid , inserted at mouth of corolla tube; stamens in non-female flowers united to a tube, in female flowers separated, filaments glabrous , anthers ovoid, obtuse-apiculate at apex ; ovary in female flowers ovoid or broadly ovoid, in male or functionally male flowers narrowly ovoid to linear , ovules usually few, style shorter than to as long as ovary, stigma truncate . Fruits yellow , subglobose , pericarp thin and brittle when dried, or sometimes woody ; seeds large, obtuse-angled , light to dark brown ."
"taxon-1-Clavija_imatacae","Shrub or small tree to 4 m high ; young shoots glabrous or sparsely puberulous at apex. Petiole 1-6.5 cm long , 1.8-3 mm thick , glabrous or sparsely puberulous at base ; blade subherbaceous, oblanceolate , 23-76 x 4.5-17 cm , apex acute or short-acuminate , base attenuate, margin serrulate, sometimes subentire or sparsely serrate, often repand , glabrous or sometimes sparsely glandular-pilose beneath ; lateral veins and veinlets conspicuous, surface between veinlets smooth or sometimes very sparsely striate above. Inflorescence in bisexual and male plants to 17 cm long with 20-40 flowers , in female plants to 5.5 cm long with up to ca. 22 flowers ; rachis 0.8-2 mm long , glabrous or sparsely glandular-puberulous ; pedicels 1.5-4 mm long ; bracts 0.5-1.5 mm long . Flowers 5-merous ; calyx lobes very broadly ovate , 1.7-2.2 x 2-2.5 mm , glabrous ; corolla orange , tube 1.7-2 mm , lobes 3-4.5 x 3.2-5 mm ; stamen filaments in male and bisexual flowers fused into a tube 0.5-1.2 mm long , in female flowers free, ca. 0.7 mm long ; pistil in male and bisexual flowers narrowly ovoid , in bisexual flowers with 2-10 ovules , in female flowers ovoid with ca. 12 ovules . Fruit orange , 1.8-2.5 cm diam. , pericarp ca. 0.3 mm thick , outside smooth ; seeds 2-8 , 5.5-8.5 mm long ."
"taxon-2-Clavija_lancifolia","Shrub to 3 m, sometimes higher ; young shoots puberulous or subglabrous . Petiole 1-8 cm long , 1-3 mm thick , puberulous at base, or glabrous ; blade coriaceous or subcoriaceous , oblanceolate, narrowly oblanceolate, or sometimes narrowly ovate, obovate or elliptic , 12-60 x 3.5-14 cm , apex acute or acuminate , base attenuate, margin entire, serrulate or rarely sparsely serrate , glabrous or rarely glandular pilose beneath ; lateral veins rather inconspicuous, at least above, surface between veinlets striate, furrowed or sometimes smooth above, striate beneath. Inflorescence in male and bisexual plants to 20 cm long with (8-)15-40 flowers , in female plants to 4 cm long with 5-12 flowers ; rachis 0.5-1.4 mm thick , puberulous or sparsely puberulous ; pedicels 1-3 mm long ; bracts 0.5-1.2 mm long . Flowers 5-merous ; calyx lobes very broadly ovate , 1.5-2.5 x 1.5-3 mm , glabrous ; corolla orange or orange-red , tube 1.5-3 mm long , lobes 3-4(-5) x 3.2-5 mm ; stamen filaments in male and bisexual flowers fused into a tube 0.7-1.5 mm long , in female flowers free, 0.5-1 mm long ; pistil in male flowers linear or rudimentary , in bisexual flowers sublinear with 1-5(-8) ovules in a single row , in female flowers ovoid with (7-)12-18 ovules in 2 or 3 rows Fruit orange or orange-yellow , 1-3 cm diam. , pericarp 0.2-0.4 mm thick , outside smooth ; seeds 2-12 , (5-)7.5-10(-13) mm long ."
"taxon-2a-Clavija_lancifolia","Young shoots sparsely puberulous to subglabrous . Petiole 1-5.5 cm long , 1.2-2.5 mm thick , glabrous ; blade subcoriaceous , oblanceolate or narrowly oblanceolate , 17-40(-60) x 4.5-8.5(-14) cm , apex acuminate or acute , base narrowly attenuate, margin serrulate , glabrous , surface between veinlets striate on both sides but sometimes sparsely so beneath."
"taxon-2b-Clavija_lancifolia","Young shoots densely puberulous . Petiole 1.5-8 cm long , 1-3 mm thick , puberulous at base ; blade coriaceous , oblanceolate, sometimes narrowly obovate or elliptic , 14-45(-53) x 3.5-12(-14) cm , apex acute or short-acuminate , base attenuate, margin entire, serrulate, or rarely sparsely serrate , glabrous or sometimes glandular-pilose beneath , surface between veinlets striate, furrowed or sometimes smooth above, striate below."
