"referenceID","bibliographicCitation"
"ref-6062876467782383320","Mennega, A.M.W. 1968 Proteaceae A.A. Pulle & J. Lanjouw Flora of Suriname Additions and corrections 1 2 315-320"
"ref-1752690119201042923","Plana, V. 2002 Proteaceae S.A. Mori et al. Guide to the Vascular Plants of Central French Guiana. Mem. New York Bot. Gard. 76 2 592-594"
"ref--7267818203585400178","Prance, G.T. et al. 2007 Proteaceae Flora Neotropica 100 1-216"
"ref-3252744024273040832","Sleumer, H. 1954 Proteaceae americanae Bot. Jahrb. Syst. 76 139-211"
"ref--1294741832534230380","Steyermark, J.A. 2004 Proteaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 8 384-393"
"ref--8541607772716467634","Détienne, P. & J. Jacquet. 1983 Atlas d’identification des bois de l’Amazonie et des régions voisines Centre Technique Forestier Tropical France 348 pp micrographs"
"ref-1978675410546875910","Edwards, K.S. & G.T. Prance. 2003 Four new species of Roupala (Proteaceae) Brittonia. 55 61-68"
"ref--3864309697081377768","Heimsch, C. 1942 Comparative anatomy of the secondary xylem in the Gruinales and Terebinthales of Wettstein with reference to taxonomic grouping Lilloa 8 83-198"
"ref-7813568932642224532","IAWA Committee. 1989 The IAWA list of microscopic features for hardwood identification IAWA Bull. n.s. 10 219-332"
"ref-8343483499776782673","InsideWood 2004-onwards Published on the Internet http://insidewood/ lib.ncsu.edu/search"
"ref--1427615614503987399","Lens, F., S. Jansen, P. Caris, L. Serlet & E. Smets. 2005 Comparative wood anatomy of the primuloid clade (Ericales s.l.) Syst. Bot. 30 163-183"
"ref-6782128793420951611","Mennega, A.M.W. 1966 Wood anatomy of the genus Euplassa and its relation to other Proteaceae of the Guianas and Brazil Acta Bot. Neerl. 15 117-129"
"ref--6794132800802546065","Prance, G.T. & V. Plana. 1998 The American Proteaceae Austral. Syst. Bot. 11 287-299"
"ref-1625296061331105039","Record, S.J. & R.W. Hess. 1936 Identification of woods with conspicuous rays Trop. Woods 48 1-30"
"ref--3978956435261177786","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven 640 pp"
"ref--8359646886706797621","Vliet, G.L.C.M. van 1976 Radial vessels in rays IAWA Bull. 3 35-37"
"ref-8958124905861646973","W.E. Roth Schomburgk’s Travels in British Guiana 1840-1844 vol. 2 1923"
"ref--2774086321408810882","Stace Fl. Neotrop. Monogr. in press"
"ref-9139577630699700515","Alwan, A.R.A. 1983 The taxonomy of Terminalia (Combretaceae) and related genera Unpublished PhD-thesis University of Leicester"
"ref--1475344543118655646","Bornstein, A.J. 1989 Combretaceae R.A. Howard Flora of the Lesser Antilles 5 451-463"
"ref--2745940793257644252","Brandis, D. 1893 Combretaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien 3 7 106-130"
"ref-2580274825069355353","De Candolle, A.P. 1828 Prodromus systematis naturalis regni vegetabilis Combretaceae 3 9-24"
"ref-3854395586508284437","Eichler, A.W. 1867 Combretaceae C.F.P. von Martius Flora Brasiliensis 14 2 77-128"
"ref--8607327197019268188","Exell, A.W. 1931 The genera of Combretaceae J. Bot. 69 113-128"
"ref--2414274795319033591","Exell. A.W. 1935 Combretaceae A.A. Pulle Flora of Suriname 3 1 164-177"
"ref-4171163197227834155","Exell, A.W. & C.A. Stace. 1963 A revision of the genera Buchenavia and Ramatuella Bull. Brit. Mus. (Nat. Hist.), Bot. 3 3-46"
"ref--3030791908145904136","Exell, A.W. & C.A. Stace. 1966 Revision of the Combretaceae Bol. Soc. Brot. ser. 2. 40 5-25"
"ref--3874750825680749354","Görts-van Rijn, A.R.A. 1986 Combretaceae A.L. Stoffers & J.C. Lindeman Flora of Suriname, additions and corrections 3 2 354-355"
"ref-4173929528132113938","Hickey, L.J. 1973 Classification of the architecture of dicotyledonous leaves Amer. J. Bot. 60 17-33"
"ref--3188316178551134048","Kawasaki, M.L. 2002 Combretaceae S.A. Mori et al. Guide to the Vascular Plants of Central French Guiana. Part 2. Mem. New York Bot. Gard. 76 2 224-227"
"ref-7168470595670154991","Pulle, A. 1906 An enumeration of the vascular plants known from Surinam, together with their distribution and synonymy. Combretaceae pp. 341-343"
"ref-7305692665554526257","Stace, C.A. 1965 The significance of the leaf epidermis in the taxonomy of the Combretaceae. l. A general review of tribal, generic and specific characters J. Linn. Soc., Bot. 59 229-252"
"ref-4105490411185802210","Stace, C.A. 1971 The type specimens of the species of Thiloa, Buchenavia and Ramatuella described by Ducke Taxon 20 337-343"
"ref-4667462644219573963","Stace, C.A. 1981 The significance of the leaf epidermis in the taxonomy of the Combretaceae: conclusions Bot. J. Linn. Soc. 81 327-339"
"ref-8591424712370855896","Stace, C.A. & A.R.A. Alwan. 1998 Combretaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 4 329-352"
"ref-7363433799988075988","Stace, C.A. 2007a Combretaceae K. Kubitzki The families and genera of flowering plants 9 67-82"
"ref-24223194650985514","Stace, C.A. 2007b Combretaceae G. Harling & L. Andersson Flora of Ecuador 81 1-63"
"ref-5463844432417951668","Stace, C.A. Combretaceae Flora Mesoamericana in press"
"ref-2565558162715104164","Stace, C.A. Combretaceae Flora Neotropica in press"
