"taxonID","scientificName","namePublishedIn","taxonomicStatus"
"taxon-1-Cyrilla_racemiflora","brevifolia","Trans. Linn. Soc. London Bot. ser. 2. 6 22 t. 1, f. 7-16 1901","synonym"
"taxon-1-Cyrilla_racemiflora","racemiflora","Acta Bot. Venez. 2 234 1967","synonym"
"taxon-2a-Clavija_lancifolia","Clavija ornata","Prodr. 8 148 1844","synonym"
"taxon-2b-Clavija_lancifolia","chermontiana","Publ. Field Mus. Nat. Hist. Bot. Ser. 8 148 1930","synonym"
"taxon-3-Clavija_macrophylla","Theophrasta macrophylla","Syst. Veg. 4 187 1819","synonym"
"taxon-1-Rhabdodendron_amazonicum","Lecostemon amazonicum","Hooker’s J. Bot. Kew Gard. Misc. 5 295 1853","synonym"
"taxon-1-Rhabdodendron_amazonicum","Lecostemom crassipes","J. Bot. Kew Gard. Misc. 5 295 1853","synonym"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron crassipes","Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5 428 1909","synonym"
"taxon-1-Rhabdodendron_amazonicum","Lecostemon crassipes","Hooker’s J. Bot. Kew Gard. Misc. 5 296 1853","synonym"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron duckei","Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5 428 1909","synonym"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron paniculatum","Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5 429 1909","synonym"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron longifolium","Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5 430 1909","synonym"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron arirambae","Bol. Mus. Goeldi Hist. Nat. Ethnogr. 5 430 1909","synonym"
"taxon-1-Rhabdodendron_amazonicum","Lecostemon sylvestre","Bull. Torrey Bot. Club 54 608 1927","synonym"
"taxon-1-Rhabdodendron_amazonicum","Rhabdodendron sylvestre","Maguire et al. Bull. Torrey Bot. Club 75 397 1948","synonym"
"taxon-1-Euplassa_glaziovii","Adenostephanus glaziovii","Bot. Jahrb. Syst. 12 Beibl. 27 10 1890","synonym"
"taxon-1-Euplassa_glaziovii","Euplassa venezuelana","Fieldiana Bot. 28 217 1951","synonym"
"taxon-2-Euplassa_pinnata","Roupala pinnata","Tabl. Encycl. 1 243 1792","synonym"
