"taxonID","habitat"
"taxon-4-Terminalia_guyanensis","Habitat: tropical moist forest, never far inland, on clay soils, at 200-600 m elev. in the Guianas."
"taxon-5-Terminalia_lucida","Habitat: inundated lowland forest, riversides, river deltas and beaches, usually on sandy soils, often in a zone behind the mangroves just above high-water level."
"taxon-6-Terminalia_oblonga","Habitat: tall dense humid primary forest, both inundated and on terra firme, on clays, limestones and alluvium, on low hills, slopes and ridges and in flood-plains, also in secondary forest, commonly up to 500 m elev."
"taxon-7-Terminalia_quintalata","Habitat: wide range of habitats in a small area, seasonally dry to wet riverine forest, rocky upland scrub, dwarf (4-6 m) forest, cerrado, savanna, at 300-1000 m elev. in Guyana."
"taxon-1-Dichapetalum_pedunculatum","Habitat: primary and secondary forests, and river margins, up to 1300 m elev."
"taxon-2-Dichapetalum_rugosum","Habitat: primary and secondary forests on non-flooded ground, savannas, and stream margins, up to 500 m elev."
"taxon-3-Dichapetalum_schulzii","Habitat: forested ridge at 325 m elev."
"taxon-1-Tapura_amazonica","Habitat: forest on non-flooded ground, up to 350 m elev."
"taxon-2-Tapura_capitulifera","Habitat: forests, up to 350 m elev."
"taxon-3-Tapura_guianensis","Habitat: primary forest on flooded and non-flooded ground, up to 800 m elev."
"taxon-4-Tapura_singularis","Habitat: forests mainly on non-flooded ground, but sometimes in lightly flooded areas."
"taxon-1-Echinodorus_bolivianus","Habitat: Along shores of lakes and small rivers, at elevations of 0-2000 m ."
"taxon-2-Echinodorus_grisebachii","Habitat: In wet ditches and marshes and along shores of lakes and small rivers, at 0-500 m elev."
"taxon-3-Echinodorus_horizontalis","Habitat: at 30-1300 m elev."
"taxon-4-Echinodorus_macrophyllus","Habitat: In marshes and along margins of lakes and ponds, at 50-300 m elev.."
"taxon-5-Echinodorus_paniculatus","Habitat: In marshes and along shores of lakes and streams, from sea level to 1500 m elev."
"taxon-7a-subalatus","Habitat: Marshes and shores of lakes, from sea level to 500 m elev."
"taxon-7b-subalatus","Habitat: Marshes and shores of lakes, at elevations of sea level to 700 m"
"taxon-8-Echinodorus_tenellus","Habitat: Along shores of lakes and small streams, at elevations from 0-1500 m"
"taxon-Sagittaria_guayanensis","Habitat: In marshes, pools, and lakes."
"taxon-Sagittaria_lancifolia","Habitat: Coastal areas."
"taxon-3-Sagittaria_rhombifolia","Habitat: In marshes and along margins of lakes and streams."
