WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000262620,ver-THA-0000262620.01,mak lo ka thoen (หมากลอกะเทิ่น)(Trat),,ref-THA-0000262620,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05092,Forest Herbarium,All rights reserved,"Areca laosensis . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 330. Accessed 2022-04-21",11,3
wfo-0000262825,ver-THA-0000262825.01,mak pa (หมากป่า)(Peninsular),,ref-THA-0000262825,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05093,Forest Herbarium,All rights reserved,"Areca montana . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 330. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.01,mak cha waek (หมากชะแวก)(Chanthaburi),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.02,mak ling (หมากลิง)(Chanthaburi),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.03,mak nang ling (หมากนางลิง)(Trat),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.04,mak no (หมากหน่อ)(Northern),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.05,mak iak (หมากเอียก)(Northern),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.06,mak hom (หมากหอม)(Bangkok),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.07,mak khiao (หมากเขียว)(Narathiwat),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263352,ver-THA-0000263352.08,krue-do (กรือดอ)(Malay-Narathiwat),,ref-THA-0000263352,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05094,Forest Herbarium,All rights reserved,"Areca triandra . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263373,ver-THA-0000263373.01,none recorded,,ref-THA-0000263373,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05095,Forest Herbarium,All rights reserved,"Areca tunku . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 331. Accessed 2022-04-21",11,3
wfo-0000263554,ver-THA-0000263554.01,"tan (ตาล)(Central, Chon Buri)",,ref-THA-0000263554,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05097,Forest Herbarium,All rights reserved,"Arenga caudata . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 334. Accessed 2022-04-21",11,3
wfo-0000263554,ver-THA-0000263554.02,tan kai (ตาลไก้)(Loei),,ref-THA-0000263554,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05097,Forest Herbarium,All rights reserved,"Arenga caudata . Flora of Thailand. Vol. 11. Part 3, 2013. Pg. 334. Accessed 2022-04-21",11,3
