WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0001107183,ver-THA-0001107183.01,prong thale (ปรงทะเล)(General),0.0,ref-THA-0001107183,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0368,Forest Herbarium,All rights reserved,"Acrostichum aureum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 258. Accessed 2021-07-31",3,2
wfo-0001107876,ver-THA-0001107876.01,prong (ปรง)(Southeastern),0.0,ref-THA-0001107876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0369,Forest Herbarium,All rights reserved,"Acrostichum speciosum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 258–259. Accessed 2021-07-31",3,2
wfo-0001109469,ver-THA-0001109469.01,phak waen han (ผักแว่นหัน)(Eastern),0.0,ref-THA-0001109469,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0313,Forest Herbarium,All rights reserved,"Adiantum capillus-veneris. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 214–215. Accessed 2021-07-31",3,2
wfo-0001109469,ver-THA-0001109469.02,kut pha (กูดผา)(Northern),0.0,ref-THA-0001109469,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0313,Forest Herbarium,All rights reserved,"Adiantum capillus-veneris. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 214–215. Accessed 2021-07-31",3,2
wfo-0001109469,ver-THA-0001109469.03,foen kan dam (เฟินก้านดำ)(Central),0.0,ref-THA-0001109469,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0313,Forest Herbarium,All rights reserved,"Adiantum capillus-veneris. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 214–215. Accessed 2021-07-31",3,2
wfo-0001107188,ver-THA-0001107188.01,kut namkhao (กูดน้ำข้าว)(Northern),0.0,ref-THA-0001107188,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0306,Forest Herbarium,All rights reserved,"Adiantum caudatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 207–208. Accessed 2021-07-31",3,2
wfo-0001107188,ver-THA-0001107188.02,tin tukkae (ตีนตุ๊กแก)(Central),0.0,ref-THA-0001107188,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0306,Forest Herbarium,All rights reserved,"Adiantum caudatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 207–208. Accessed 2021-07-31",3,2
wfo-0001107188,ver-THA-0001107188.03,hang nak bok (หางนาคบก)(Central),0.0,ref-THA-0001107188,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0306,Forest Herbarium,All rights reserved,"Adiantum caudatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 207–208. Accessed 2021-07-31",3,2
wfo-0001110777,ver-THA-0001110777.01,kut hu khwak (กูดหูควาก)(Southeastern),0.0,ref-THA-0001110777,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0310,Forest Herbarium,All rights reserved,"Adiantum philippense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211–212. Accessed 2021-07-31",3,2
wfo-0001110777,ver-THA-0001110777.02,hua khwak (หัวขวาก)(Southeastern),0.0,ref-THA-0001110777,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0310,Forest Herbarium,All rights reserved,"Adiantum philippense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211–212. Accessed 2021-07-31",3,2
wfo-0001110777,ver-THA-0001110777.03,ya khwak (หญ้าขวาก) (Southeastern),0.0,ref-THA-0001110777,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0310,Forest Herbarium,All rights reserved,"Adiantum philippense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211–212. Accessed 2021-07-31",3,2
wfo-0001110777,ver-THA-0001110777.04,phak kachot nu (ผักกะฉอดหนู)(Southeastern),0.0,ref-THA-0001110777,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0310,Forest Herbarium,All rights reserved,"Adiantum philippense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211–212. Accessed 2021-07-31",3,2
wfo-0001110777,ver-THA-0001110777.05,hang chingcha (หางชิงช้า)(Peninsular),0.0,ref-THA-0001110777,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0310,Forest Herbarium,All rights reserved,"Adiantum philippense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 211–212. Accessed 2021-07-31",3,2
