wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000337753,10787729,43222,Aechmea lugoi,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Aechmea,lugoi,,,,(Gilmartin & H.Luther) L.B.Sm. & M.A.Spencer,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000494680,10788007,43290,Pitcairnia ferrell-ingramiae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Pitcairnia,ferrell-ingramiae,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000337848,10788194,43225,Aechmea patriciae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Aechmea,patriciae,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000337919,10788315,43226,Aechmea roeseliae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Aechmea,roeseliae,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000338017,10788567,43228,Aechmea wuelfinghoffii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Aechmea,wuelfinghoffii,,,,E.Gross,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000431117,10788700,43229,Greigia atrobrunnea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Greigia,atrobrunnea,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000496362,10788754,43296,Pitcairnia prolifera,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Pitcairnia,prolifera,,,,Rauh,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000431668,10789090,43231,Guzmania aequatorialis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,aequatorialis,,,,L.B.Sm.,Vulnerable,D1,3.1,,Global
wfo-0000431680,10789265,43233,Guzmania alborosea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,alborosea,,,,H.Luther,Vulnerable,A4d,3.1,Decreasing,Global
wfo-0000431709,10789398,43235,Guzmania andreettae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,andreettae,,,,Rauh,Vulnerable,A4d; D2,3.1,Decreasing,Global
wfo-0000431737,10789532,43237,Guzmania atrocastanea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,atrocastanea,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000431763,10789654,43239,Guzmania bergii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,bergii,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000431965,10789878,43241,Guzmania corniculata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,corniculata,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000432014,10789943,43242,Guzmania dalstroemii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,dalstroemii,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0001417462,10790334,43248,Guzmania fusispica,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,fusispica,,,,Mez & Sodiro,Vulnerable,A4c,3.1,Decreasing,Global
wfo-0000432138,10790395,43249,Guzmania harlingii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,harlingii,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000432155,10790526,43251,Guzmania hirtzii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,hirtzii,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000432161,10790591,43252,Guzmania hollinensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,hollinensis,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000432165,10790667,43253,Guzmania inexpectata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,inexpectata,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000432168,10790732,43254,Guzmania izkoi,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,izkoi,,,,Manzanares & W.Till,Vulnerable,D2,3.1,,Global
wfo-0000432173,10790842,43256,Guzmania kentii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,kentii,,,,H.Luther,Vulnerable,D2,3.1,,Global
wfo-0000432608,10790902,43262,Guzmania puyoensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,puyoensis,,,,Rauh,Vulnerable,D2,3.1,,Global
wfo-0000432790,10791206,43267,Guzmania sieffiana,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Guzmania,sieffiana,,,,H.Luther,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000497064,10791943,43300,Pitcairnia stevensonii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Pitcairnia,stevensonii,,,,H.Luther & Whitten,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000603229,10792007,43359,Vriesea lutheri,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Vriesea,lutheri,,,,Manzanares & W.Till,Vulnerable,D2,3.1,,Global
wfo-0000497259,10792072,43301,Pitcairnia unilateralis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Pitcairnia,unilateralis,,,,L.B.Sm.,Vulnerable,A4c,3.1,Decreasing,Global
wfo-0000603147,10792127,43358,Vriesea limonensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Vriesea,limonensis,,,,Rauh,Vulnerable,A2a; B1ab(iii),3.1,,Global
wfo-0000497321,10792192,43302,Pitcairnia violascens,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Pitcairnia,violascens,,,,L.B.Sm.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000604012,10792508,43360,Vriesea penduliscapa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Vriesea,penduliscapa,,,,Rauh,Vulnerable,D2,3.1,,Global
wfo-0000040877,10792791,43371,Cronquistianthus niveus,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Cronquistianthus,niveus,,,,(Kunth) R.M.King & H.Rob.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000125409,10792949,43372,Cronquistianthus origanoides,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Cronquistianthus,origanoides,,,,(Kunth) R.M.King & H.Rob.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000505032,10794108,43313,Puya pichinchae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Puya,pichinchae,,,,Mez & Sodiro,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000080507,10794832,43383,Dendrophorbium dodsonii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Dendrophorbium,dodsonii,,,,(H. Rob. & Cuatrec.) B. Nord.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000508284,10794888,43318,Racinaea blassii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Racinaea,blassii,,,,(L.B.Sm.) M.A.Spencer & L.B.Sm.,Vulnerable,A4c; D2,3.1,Decreasing,Global
wfo-0000508367,10795011,43319,Racinaea euryelytra,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Racinaea,euryelytra,,,,J.R.Grant,Vulnerable,A4ac,3.1,Decreasing,Global
wfo-0000029737,10795092,43385,Dendrophorbium ingens,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Dendrophorbium,ingens,,,,(Benoist) B. Nord.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000508426,10795479,43320,Racinaea hauggiae,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Racinaea,hauggiae,,,,(Rauh) J.R.Grant,Vulnerable,D2,3.1,,Global
wfo-0000123615,10795552,43387,Dendrophorbium pericaule,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Dendrophorbium,pericaule,,,,(Greenm.) B.Nord.,Vulnerable,D2,3.1,,Global
wfo-0000061626,10795682,43388,Dendrophorbium pururu,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Dendrophorbium,pururu,,,,(Cuatrec.) C. Jeffrey,Vulnerable,D2,3.1,,Global
wfo-0000020206,10795800,43389,Dendrophorbium scytophyllum,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Dendrophorbium,scytophyllum,,,,(Kunth) C. Jeffrey,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000001658,10796069,43390,Dendrophorbium solisii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Dendrophorbium,solisii,,,,(Cuatrec.) B. Nord.,Vulnerable,B1ab(iii); D2,3.1,,Global
wfo-0000508856,10796123,43325,Racinaea tandapiana,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,BROMELIACEAE,Racinaea,tandapiana,,,,(H. Luther) M.A.Spencer & L.B.Sm.,Vulnerable,B1ab(iii),3.1,,Global
wfo-0000118837,10796475,43393,Diplostephium asplundii,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Diplostephium,asplundii,,,,Cuatrec.,Vulnerable,D2,3.1,,Global
wfo-0000022775,10796620,43394,Diplostephium barclayanum,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Diplostephium,barclayanum,,,,Cuatrec.,Vulnerable,D2,3.1,,Global
