wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0001268081,754695,157961,Urogentias ulugurensis,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,GENTIANACEAE,Urogentias,ulugurensis,,,,Gilg & Gilg-Ben.,Near Threatened,B1a+2a,3.1,Unknown,Global
wfo-0000648611,755006,157968,Diospyros bussei,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,bussei,,,,Gürke,Near Threatened,B2ab(iii),3.1,Decreasing,Global
wfo-0000730444,755097,157969,Impatiens engleri,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,BALSAMINACEAE,Impatiens,engleri,,,,Gilg,Near Threatened,B2ab(iii),3.1,Unknown,Global
wfo-0000038685,759682,158073,Helichrysum kalandanum,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Helichrysum,kalandanum,,,,Lisowski,Near Threatened,B2a,3.1,Decreasing,Global
wfo-0001101763,759966,158079,Oxygonum lobatum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Oxygonum,lobatum,,,,R.A.Graham,Near Threatened,B1a+2a,3.1,Unknown,Global
wfo-0000094284,760134,158084,Sphaeranthus spathulatus,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Sphaeranthus,spathulatus,,,,Peter,Near Threatened,B2a,3.1,Unknown,Global
wfo-0000702069,760292,158087,Gerrardanthus grandiflorus,PLANTAE,TRACHEOPHYTA,CUCURBITALES,MAGNOLIOPSIDA,CUCURBITACEAE,Gerrardanthus,grandiflorus,,,,Gilg ex Cogn.,Near Threatened,B2ab(iii),3.1,Decreasing,Global
wfo-0000620468,762518,158140,Cordia faulknerae,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,CORDIACEAE,Cordia,faulknerae,,,,Verdc.,Near Threatened,B2b(iii),3.1,Unknown,Global
wfo-0000497241,763135,158153,Saintpaulia ionantha,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Saintpaulia,ionantha,,,,I.Darbysh. & Pócs,Near Threatened,,3.1,Decreasing,Global
wfo-0001074160,766810,158211,Mostuea microphylla,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,GELSEMIACEAE,Mostuea,microphylla,,,,Engl.,Near Threatened,B2ab(iii),3.1,Unknown,Global
