wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000732368,1441100,176387,Isatis arnoldiana,PLANTAE,TRACHEOPHYTA,BRASSICALES,MAGNOLIOPSIDA,BRASSICACEAE,Isatis,arnoldiana,,,,N.Busch,Data Deficient,,3.1,Unknown,Global
wfo-0000454838,1572116,179241,Kyllinga oblonga,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Kyllinga,oblonga,,,,C.B.Clarke,Data Deficient,,3.1,Unknown,Global
wfo-0000885527,1572192,179242,Clerodendrum polyanthum,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Clerodendrum,polyanthum,,,,Gürke,Data Deficient,,3.1,Unknown,Global
wfo-0000954035,1573007,179261,Erythrococca sanjensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Erythrococca,sanjensis,,,,Radcl.-Sm.,Data Deficient,,3.1,Unknown,Global
wfo-0001083939,1576783,179381,Tinospora mossambicensis,PLANTAE,TRACHEOPHYTA,RANUNCULALES,MAGNOLIOPSIDA,MENISPERMACEAE,Tinospora,mossambicensis,,,,Engl.,Data Deficient,,3.1,Unknown,Global
wfo-0000766231,1578946,179449,Drimiopsis perfoliata,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ASPARAGACEAE,Drimiopsis,perfoliata,,,,Baker,Data Deficient,,3.1,Unknown,Global
wfo-0000193033,1579386,179462,Indigofera kuntzei,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Indigofera,kuntzei,,,,Harms,Data Deficient,,3.1,Unknown,Global
wfo-0000978926,1581437,179518,Habenaria villosa,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Habenaria,villosa,,,,Rolfe,Data Deficient,,3.1,Unknown,Global
wfo-0000696728,1581533,179524,Genlisea glandulosissima,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LENTIBULARIACEAE,Genlisea,glandulosissima,,,,R.E.Fr.,Data Deficient,,3.1,Unknown,Global
wfo-0000210057,1581993,179538,Crotalaria ovata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Crotalaria,ovata,,,,Polhill,Data Deficient,,3.1,Unknown,Global
wfo-0000931851,1583608,179596,Acalypha echinus,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Acalypha,echinus,,,,Pax & K.Hoffm.,Data Deficient,,3.1,Unknown,Global
wfo-0000914273,1586357,179672,Equilabium mafiense,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Equilabium,mafiense,,,,(A.J.Paton) Mwany. & A.J.Paton,Data Deficient,,3.1,Unknown,Global
wfo-0000912148,1587765,179712,Coffea rhamnifolia,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Coffea,rhamnifolia,,,,(Chiov.) Bridson,Data Deficient,,3.1,Decreasing,Global
wfo-0001082285,1588108,179725,Dissotidendron bussei,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MELASTOMATACEAE,Dissotidendron,bussei,,,,(Gilg ex Engl.) Ver.-Lib. & G.Kadereit,Data Deficient,,3.1,Unknown,Global
wfo-0000280482,1591225,179818,Polystachya lukwangulensis,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Polystachya,lukwangulensis,,,,P.J.Cribb,Data Deficient,,3.1,Unknown,Global
wfo-0000191008,1592799,179873,Indigofera bussei,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Indigofera,bussei,,,,J.B.Gillett,Data Deficient,,3.1,Unknown,Global
wfo-0000502802,1593142,179883,Bulbophyllum gilgianum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Bulbophyllum,gilgianum,,,,Kraenzl.,Data Deficient,,3.1,Unknown,Global
wfo-0000541096,1975767,191319,Aquilaria subintegra,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,THYMELAEACEAE,Aquilaria,subintegra,,,,Ding Hou,Data Deficient,,3.1,Unknown,Global
wfo-0000541061,1975809,191321,Aquilaria baillonii,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,THYMELAEACEAE,Aquilaria,baillonii,,,,Pierre  ex Lecomte,Data Deficient,,3.1,Unknown,Global
wfo-0000300107,1977180,191360,Salacca stolonifera,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Salacca,stolonifera,,,,Hodel,Data Deficient,,3.1,Unknown,Global
wfo-0001337731,1978621,191405,Liquidambar yunnanensis,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,ALTINGIACEAE,Liquidambar,yunnanensis,,,,(Rehder & E.H.Wilson) Ickert-Bond & J.Wen,Data Deficient,,3.1,Unknown,Global
wfo-0000582291,1979126,191420,Camellia connata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Camellia,connata,,,,(Craib) Craib,Data Deficient,,3.1,Decreasing,Global
wfo-0000582326,1979708,191424,Camellia dormoyana,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Camellia,dormoyana,,,,(Pierre ex Laness.) Sealy,Data Deficient,,3.1,Unknown,Global
wfo-0000582441,1980610,191430,Camellia krempfii,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Camellia,krempfii,,,,(Gagnep.) Sealy,Data Deficient,,3.1,Unknown,Global
wfo-0000924904,1980762,191431,Dankia langbianensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,THEACEAE,Dankia,langbianensis,,,,Gagnep.,Data Deficient,,3.1,Unknown,Global
