wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000743551,221000061,220978670,Ceropegia kaariyei,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Ceropegia,kaariyei,,,,Thulin,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global
wfo-0000875214,221000076,220998374,Hyparrhenia claytonii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Hyparrhenia,claytonii,,,,S.M.Phillips,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000743549,221000086,220978657,Ceropegia gypsophila,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Ceropegia,gypsophila,,,,Thulin,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global
wfo-0000814325,221000101,220980968,Lobelia tripartita,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Lobelia,tripartita,,,,Thulin,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000598171,221000106,220971496,Ceropegia ellenbeckii,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Ceropegia,ellenbeckii,,,,K.Schum.,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000183473,221000111,220985062,Indigofera curvirostrata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Indigofera,curvirostrata,,,,Thulin,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000028613,221000126,220979964,Solanecio harennensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Solanecio,harennensis,,,,Mesfin,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000960878,221000141,220981754,Euphorbia awashensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Euphorbia,awashensis,,,,M.G.Gilbert,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000520082,221000206,220997707,Adenia pulchra,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PASSIFLORACEAE,Adenia,pulchra,,,,M.G.Gilbert & W.J.de Wilde,Critically Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0000912653,221000211,220982849,Euphorbia kabridarensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Euphorbia,kabridarensis,,,,Thulin,Critically Endangered,B2ab(iii); D,3.1,Unknown,Global
wfo-0000838820,221000226,220982364,Tragia crenata,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Tragia,crenata,,,,M.G.Gilbert,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000155185,221000281,220981289,Merremia warderensis,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,CONVOLVULACEAE,Merremia,warderensis,,,,Sebsebe,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000066660,221000296,220980014,Vernonia yabelloana,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Vernonia,yabelloana,,,,Mesfin,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000157545,221000326,220981285,Ipomoea sofomarensis,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,CONVOLVULACEAE,Ipomoea,sofomarensis,,,,Sebsebe,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000917301,221000336,220998717,Cenchrus thulinii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Cenchrus,thulinii,,,,(S.M.Phillips) Morrone,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000519975,221000351,220996923,Adenia gedoensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PASSIFLORACEAE,Adenia,gedoensis,,,,W.J.de Wilde,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000155024,221000381,220981132,Convolvulus bidrensis,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,CONVOLVULACEAE,Convolvulus,bidrensis,,,,Sebsebe,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000384660,221000421,220971929,Orbea gilbertii,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Orbea,gilbertii,,,,(Plowes) Bruyns,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000763559,221000436,220978838,Chlorophytum pterocarpum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ASPARAGACEAE,Chlorophytum,pterocarpum,,,,Nordal & Thulin,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000743500,221000441,220978582,Caralluma wilhelmii,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Caralluma,wilhelmii,,,,Thulin,Critically Endangered,D,3.1,Unknown,Global
wfo-0000507007,221000456,220971370,Diplolophium boranense,PLANTAE,TRACHEOPHYTA,APIALES,MAGNOLIOPSIDA,APIACEAE,Diplolophium,boranense,,,,Bidgood & Vollesen,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000209507,221000461,220983657,Crotalaria ruspoliana,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Crotalaria,ruspoliana,,,,Chiov.,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000914469,221000506,220981349,Seddera ogadenensis,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,CONVOLVULACEAE,Seddera,ogadenensis,,,,Sebsebe,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000467336,221000526,220985725,Pelargonium wonchiense,PLANTAE,TRACHEOPHYTA,GERANIALES,MAGNOLIOPSIDA,GERANIACEAE,Pelargonium,wonchiense,,,,Vorster & M.G.Gilbert,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0001075667,221000536,220987254,Plicosepalus robustus,PLANTAE,TRACHEOPHYTA,SANTALALES,MAGNOLIOPSIDA,LORANTHACEAE,Plicosepalus,robustus,,,,Wiens & Polhill,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000914471,221000541,220981366,Seddera rhodantha,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,CONVOLVULACEAE,Seddera,rhodantha,,,,R.R.Mill,Critically Endangered,"B2ab(iii,v); D",3.1,Decreasing,Global
wfo-0000210163,221000561,220983753,Crotalaria sacculata,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Crotalaria,sacculata,,,,Chiov.,Critically Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0000212984,221000586,220985288,Trifolium chilaloense,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Trifolium,chilaloense,,,,Thulin,Critically Endangered,B2ab(iii),3.1,Unknown,Global
