wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000508621,512509,133722,Calocedrus rupestris,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Calocedrus,rupestris,,,,"Aver., Hiep & L.K.Phan",Endangered,A2cd,3.1,Decreasing,Global
wfo-0001289792,547980,151198,Turbinicarpus subterraneus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Turbinicarpus,subterraneus,,,,(Backeb.) A.D.Zimmerman,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000676067,550981,151697,Eriosyce esmeraldana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,esmeraldana,,,,(F.Ritter) Katt.,Endangered,B1ab(v),3.1,Unknown,Global
wfo-0001287025,551964,151705,Mammillaria melaleuca,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,melaleuca,,,,Karw. ex Salm-Dyck,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000621932,552377,151708,Corryocactus tarijensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Corryocactus,tarijensis,,,,Cárdenas,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000398451,552754,151711,Parodia stockingeri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,stockingeri,,,,(Prestlé) Hofacker & P.J.Braun,Endangered,"B1ab(i,iii,v); C1",3.1,Decreasing,Global
wfo-0000686283,553855,151720,Ferocactus flavovirens,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Ferocactus,flavovirens,,,,(Scheidw.) Britton & Rose,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000369343,556540,151742,Melocactus andinus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Melocactus,andinus,,,,R.Gruber ex N.P.Taylor,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global
wfo-0001256051,556878,151745,Parodia nigrispina,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,nigrispina,,,,(K.Schum.) F.H.Brandt ,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000676040,557247,151748,Eriosyce crispa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,crispa,,,,(F.Ritter) Katt.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000358063,557859,151753,Leptocereus arboreus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Leptocereus,arboreus,,,,Britton & Rose,Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0000609388,558142,151756,Cleistocactus winteri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,winteri,,,,D.R.Hunt,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000661163,558601,151760,Echinocereus barthelowanus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Echinocereus,barthelowanus,,,,Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000712597,561045,151783,Gymnocalycium oenanthemum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,oenanthemum,,,,Backeb.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000662240,564164,151811,Echinopsis pampana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Echinopsis,pampana,,,,(Britton & Rose) D.R.Hunt,Endangered,A2acd,3.1,Decreasing,Global
wfo-0000676028,564478,151813,Eriosyce calderana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,calderana,,,,(F.Ritter) Ferryman,Endangered,C2a(i),3.1,Decreasing,Global
wfo-0000399824,564735,151816,Rebutia krugerae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Rebutia,krugerae,,,,(Cárdenas) Backeb.,Endangered,B1ab(iii),3.1,Decreasing,Global
