wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000924605,2381395,195373,Acalypha dikuluwensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Acalypha,dikuluwensis,,,,P.A. Duvign. & Dewit,Extinct,,3.1,,Global
wfo-0000561004,2381622,195376,Basananthe cupricola,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PASSIFLORACEAE,Basananthe,cupricola,,,,Robyns ex G.A. Levin,Extinct,,3.1,,Global
wfo-0000254800,2612719,199821,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Acalypha,wilderi,,,,Merr.,Extinct,,3.1,,Global
wfo-0000648495,2793597,30521,Diospyros angulata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,angulata,,,,Poir.,Extinct,,3.1,,Global
wfo-0001181979,2887512,39158,Flabellidium spinosum,PLANTAE,BRYOPHYTA,HYPNALES,BRYOPSIDA,BRACHYTHECIACEAE,Flabellidium,spinosum,,,,Herzog,Extinct,,3.1,,Global
wfo-0000142635,2989932,43920,Dryopteris ascensionis,PLANTAE,TRACHEOPHYTA,POLYPODIALES,POLYPODIOPSIDA,DRYOPTERIDACEAE,Dryopteris,ascensionis,,,,(Hook.) Kuntze,Extinct,,3.1,,Global
wfo-0000254688,2990410,43923,Oldenlandia adscensionis,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Oldenlandia,adscensionis,,,,(DC.) Cronk,Extinct,,3.1,,Global
wfo-0000901106,2990995,43927,Sporobolus durus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Sporobolus,durus,,,,Brongn.,Extinct,,3.1,,Global
wfo-0001034504,5571714,162307,Euphrasia mendoncae,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,OROBANCHACEAE,Euphrasia,mendoncae,,,,Samp.,Extinct,,3.1,,Global & Europe
wfo-0000510610,5990668,165210,Viola cryana,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,VIOLACEAE,Viola,cryana,,,,Gillot,Extinct,,3.1,,Global & Europe
wfo-0000133627,5994236,165235,Centaurea pseudoleucolepis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Centaurea,pseudoleucolepis,,,,Kleopow,Extinct,,3.1,,Global & Europe
wfo-0000061375,8844089,191546,Vernonia sechellensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Vernonia,sechellensis,,,,Baker,Extinct,,3.1,,Global
wfo-0000254524,8860728,193438,Oeceoclades seychellarum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Oeceoclades,seychellarum,,,,(Rolfe ex Summerh.) Garay & P.Taylor,Extinct,,3.1,,Global
wfo-0000722234,9536660,30397,Hibiscadelphus wilderianus,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Hibiscadelphus,wilderianus,,,,Rock,Extinct,,2.3,,Global
wfo-0000493004,9544750,30406,Santalum fernandezianum,PLANTAE,TRACHEOPHYTA,SANTALALES,MAGNOLIOPSIDA,SANTALACEAE,Santalum,fernandezianum,,,,F.Phil.,Extinct,,2.3,,Global
