"wfo_id","description","source","bibliographicCitation","URL"
"wfo-0000001656","Annual herb 0.3–1 m tall; stems erect, simple or branching from the base, finely ribbed, thinly hirsute. Leaves pale green, narrowly obovate to narrowly spatulate, 1.5–10 cm long, 0.2–3 cm wide, the base long-attenuate (in more proximal leaves) to cuneate (in more distal leaves), the margin serrate-dentate to almost lobed, to almost entire in more distal leaves, the apex obtuse and mucronate, or pinnatipartite with 2–3 pairs of lobes, tapering to the base, the lobes divided almost to the midrib, narrowly oblong to linear, the margins entire, dentate or lobed, mucronate, pubescent on both sides or rarely glabrous, densely glandular. Capitula 2–5 mm long, united in laxly corymbose or subglobose cymes, which in turn form a terminal lax leafy panicle or corymb; stalks of individual capitula 2–5 mm long, glabrous to pubescent; phyllaries oblong or lanceolate, 1–3 mm long, 0.4–0.6 mm wide, the margins fimbriate or serrate, hyaline towards the apex, acute or obtuse, (sparsely) pubescent, glandular; receptacle toroid, with spinules. Ray florets yellow, 40–58, tube cylindrical, 1.2–1.4 mm long, ray 0.4–0.5 mm long and about as wide, 2–3-dentate or -lobed, style ± 1.5 mm long; disc florets yellow, 9–20, cylindrical proximally, campanulate distally, tube 1.3–1.5 mm long, lobes 0.4–0.6 mm long, pilose, occasionally glandular distally; anthers 0.7–0.9 mm long with triangular appendages; style 1.6–1.7 mm long with triangular appendages to the arms. Achenes ellipsoid, 0.7–1.1 mm long, pubescent to sparsely pilose; pappus of 11–15 barbellate setae 1.5–2 mm long.","4912A670-50D7-4B84-94CD-A9734D2FB06A","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:234461-1#descriptions"
"wfo-0000001985","Scrambling perennial herb, occasionally erect, 1–10.5 m long, rather succulent. Stems succulent, with purplish markings, usually floccose or finely pubescent, glabrescent. Leaves semi-succulent, aromatic, petiolate; blade sublyrate, oblong to triangular or ovate-triangular in outline, 3–15 cm long, 3–10 cm wide, base weakly cordate to subtruncate and shortly narrowly decurrent onto the petiole, margins very coarsely sinuate-bidentate or sinuate-laciniate, apex obtuse to acute, shortly acuminate-apiculate, thinly arachnoid or minutely puberulous to glabrous except for main veins above, finely densely to thinly shortly white-tomentose beneath; petiole narrowly winged in upper part, 2–5.7 cm long, thinly arachnoid, exauriculate, in the upper leaves often bearing 1–2 small, oblong lateral lobes. Capitula discoid, many in dense terminal compound corymbs; stalks of individual capitula thinly arachnoid, sparsely shortly pubescent or glabrous; involucre cylindrical, slender, 5.5–7 mm long, 2 mm in diameter; bracts of calyculus 2–5, lanceolate, shortly pubescent or at least ciliate, 1.2–3 mm long; phyllaries 8, light green with pale margins and tips, glabrous or almost so, 5–6.5 mm long. Ray florets absent; disc florets dull white, cream or pale yellow, corolla 5–9 mm long, tube glabrous, expanded above the middle, lobes 0.7–1.2 mm long. Achenes 2.3–3 mm long, ribbed, hairy; pappus 5.5–8 mm long.","66516DC5-89DA-4F8D-87A9-BF1E9BF93BA6","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:943125-1#descriptions"
"wfo-0000002043","Annual or short-lived perennial herb 12–60 cm tall; stems delicate, erect, sparsely pubescent, at least at the base, or almost glabrous. Leaves sessile; basal leaves obovate, oblanceolate or broadly elliptic, 1–3.6 cm long, 0.3–1.4 cm wide, cuneate or attenuate into a petioloid base, margins remotely denticulate, apex obtuse, apiculate; median and upper leaves oblanceolate-spatulate, oblanceolate to elliptic, 1.2–5.7 cm long, 0.3–1.3 cm wide, margins sinuate-denticulate, sparsely shortly pubescent. Capitula 1–3 in lax terminal corymbs, discoid; stalks of the individual capitula puberulous to pubescent, especially near apex; involucre cylindrical, 5.5–6.5 mm long, 1–2 mm in diameter; phyllaries 8, shortly pubescent especially near the apex, 5–6 mm long. Disc florets mauve or purple, corolla 4–5.3 mm long, lobes 1.2–1.7 mm long. Achenes 1.7–2.1 mm long, glabrous or with a few short hairs; pappus 3–4.5 mm long.","1CFBB7EF-3DE8-4F65-B109-36F58474FC61","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:943098-1#descriptions"
"wfo-0000002731","Erect annual herb 15–80 cm tall; stems ribbed, ascending-pubescent with asymmetrically T-shaped hairs and glandular. Leaves sessile, oblanceolate or narrowly elliptic, 1–6 cm long, 0.1–1 cm wide, base cuneate, margins remotely serrulate but ± revolute, obtuse and apiculate, scabridulous above, puberulous and glandular beneath. Capitula 2–4 per branch in corymbiform cymes; stalks of individual capitula slender; involucre 8–12 mm long; phyllaries 4–6-seriate, lanceolate, 3–12 mm long, very acute with purplish almost filiform tips, otherwise pale green, the inner pale brown. Corolla white, cream or mauve to purple, 8–12.5 mm long. Achenes ± 2.5 mm long, obscurely 5-ribbed, white-strigose, glandular; outer pappus of lanceolate scales 0.3–0.5 mm long, inner pappus of 9–17 setae, pale green or stramineous, 6–8 mm long. Fig. 39/8 (achene), p. 172.","065BBE5B-04B1-485D-80AF-8C3B2B472990","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:258597-1#descriptions"
"wfo-0000002864","Perennial herb 10–30 cm high. Basal leaves sessile, oblanceolate in outline, 5.7–11 cm long, 1.2–2.5 cm wide, tapered into a petioloid base, pinnately lobed with rounded denticulate lobes, apex obtuse; stem leaves sessile, oblong, 1.7–7.5 cm long, 0.4–1.7 cm wide, base auriculate and semi-amplexicaul; all leaves glandular above, glandular and thinly arachnoid beneath. Capitula radiate or subradiate with enlarged irregularly lobed outer disc florets, 6–30 in lax to congested terminal corymbs; stalks of the individual capitula finely glandular-hairy; involucre 9–10 mm long, 5–6 mm in diameter; bracts of calyculus 2–6, lax, lanceolate, 1–7 mm long, acute; phyllaries 12–23, 7–10 mm long, glandular. Ray florets or enlarged outer disc florets 8–14, very variable in colour, from white and pink to pale red and bright yellow, tube 4–7 mm long, glabrous, rays 4.5–10 mm long, 2.5–3.5 mm wide, 5–8-veined; disc florets yellow to dark red, corolla 6.8–7.5 mm long, lobes 1 mm long. Achenes 5 mm long, glabrous; pappus 7–7.5 mm long.","5FA247B3-3484-4C58-8016-F353974B3F6F","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:246954-1#descriptions"
"wfo-0000003216","Succulent perennial herb 75–140 cm high; stems often much branched, concolorous, glaucous when young. Leaves succulent, sessile, obovate to oblanceolate, 8–17 cm long, 2–6 cm wide, cuneate or attenuate into a petioloid base, margins entire, apex rounded, minutely obtusely apiculate, glabrous, glaucous at least when young. Capitula discoid, numerous in large lax spreading terminal paniculiform bracteolate glaucous cymes, nodding; involucre cylindrical, slightly contracted just below the apex, 11–18 mm long, 10–11 mm in diameter; bracts of calyculus few, lax, ovate or lanceolate, 7–8 mm long; phyllaries 7–9 or 13, usually 8, glaucous, tinged purple, 11–20 mm long. Ray florets absent; disc florets orange, dull orange-yellow or yellow, with strong musty odour, corolla 10–18 mm long, tube glabrous, expanded above the middle, lobes 1–1.3 mm long. Achenes glabrous, 6.5 mm long; pappus 7.5–11 mm long.","6BD41F33-31D8-40A1-9FEC-59E91F867E5C","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:227352-1#descriptions"
"wfo-0000003588","According to Hoffmann: annual herb 7–11 cm high, branched from the base with ascending branches; branches narrowly winged, glabrous. Leaves sessile, oblong, to 5 cm long, to 1.2 cm wide, base attenuate (but presumably decurrent), margins denticulate, apex obtuse and mucronate, more or less glabrous, glandular-punctate. Glomerule ovoid, looking like a small conifer-cone, 10–15 mm long, 6–7.5 mm in diameter, covered in glomerule bracts; peduncle ± 5 mm long; receptacle linear; glomerule bracts ovate and spreading (proximal) to oblanceolate and appressed (distal), 4–5 mm long, 1.3–2 mm wide; capitula sessile, with 2 lateral bracts ± 3.5 mm long, with a crested keel, obtuse and mucronate. Florets: outer florets 2–4, filiform, tube 1.3–1.4 mm long, lobes 0.1 mm long, style 1.5 mm long, branched; inner florets 2, tube widening slightly, slightly urceolate, 1.3–1.4 mm long (immature?), lobes 0.3–0.4 mm long, becoming corky, anthers 1.1–1.2 mm long; style 2 mm long, undivided and papillose. Achenes of the outer florets narrowly ovoid, 0.5–0.7 mm long, puberulous, those of inner florets narrow (sterile?), 0.5–0.6 mm long, occasionally shortly stalked, glabrous and glandular.","120B6DEB-19A9-490B-92CE-6140B739C63E","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:250511-1#descriptions"
"wfo-0000003627","Perennial stoloniferous herb; stems prostrate, to 1 m long, glabrous, rooting at the nodes and forming new rosettes there, usually unbranched; rootstock semi-woody, long. Leaves few to many, crowded at stem base, in little fascicles at the nodes, glaucous, sub-succulent, oblanceolate to spatulate, 1–11(–14) cm long, 0.5–2.5(–3) cm wide, base attenuate, subauriculate at the stem, margins entire to denticulate, rarely lobed, apex rounded or obtuse, glabrous; the fascicles often subtended by two broadly ovate bracts. Capitula solitary or few, from the root-crown, also at the nodes; stalks of individual capitula 1–3 cm long, simple, bracteate; involucre narrowly cylindric, 10–15 mm long; phyllaries green, lanceolate, 2–15 mm long, obtuse, glabrous or minutely ciliate distally. Florets 12–20 per capitulum; corolla yellow, tube 8 mm long, ligule 3–7 mm long. Achenes grey-brown, cylindric, 3.5–5 mm long, with slightly spongy ribs; pappus of fine setae 6–10 mm long. Fig. 26.","22F31C1B-6E04-406F-8838-1BBC82B955C9","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:113642-3#descriptions"
"wfo-0000003652","Perennial herb 0.3–1.3 m high; stem solitary, erect, unbranched, glandular-setose but glabrescent, the setae to 3 mm long; taproot woody. Leaves cauline, elliptic (proximal leaves) to linear (distal leaves), 3–26 cm long, 0.2–5 cm wide, base attenuate into a winged petiole in proximal leaves, sessile and semi-amplexicaul in distal leaves, margins sinuate-dentate and irregularly denticulate, apex obtuse and mucronate. Capitula in clusters of 2–6, these in turn arranged in lax leafy spiciform racemes up to 50 cm long, rarely in branched racemes; involucre 8–10 mm long, lengthening to 14 mm in fruit; phyllaries often purplish, lanceolate, 4–13 mm long, distally ciliolate. Florets ± 5 per capitulum; corolla yellow, tube cylindric, 4.5–6 mm long, ligule 4.5–6.5 mm long, papillose distally. Achenes dark brown to black, ellipsoid, flattened, 5–6 mm long including 0.5–1 mm long beak, 1-ribbed on each side; pappus white, 5–6 mm long. Fig. 20/5 (achene).","B5AED0AD-8192-4AAF-A925-446E11C5E939","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:228097-1#descriptions"
"wfo-0000003724","Perennial herb, usually weak-stemmed, from a stout rootstock, 0.4–1.5 m high; stems scrambling or straggly, to 9 m long; stems often reddish, hollow, glabrous or distally glandular-setose. Leaves shiny above, glaucous beneath, sessile, linear-elliptic to lanceolate, 4–20 cm long, 0.2–1.6 cm wide, base attenuate and shortly sagittate in proximal leaves, in distal leaves semi-amplexicaul and sub-auriculate, margins entire or less often with recurved teeth or spinules, sometimes lobed with the lobes narrowly triangular and to 2 cm long, apex attenuate, glabrous. Capitula solitary or in few-headed rather dense Groups, these in turn in lax leafy corymbs or panicles; stalks of individual capitula short, white-tomentose and sometimes with stalked glands extending further down the inflorescence; involucre cylindric to campanulate, eventually with reflexed phyllaries, 10–15(–18,K3) mm long; phyllaries green with reddish or purplish tinge or tips, narrowly ovate to lanceolate, 2.5–13 mm long, obtuse, white-tomentose proximally, becoming more glabrous distally and on the inner phyllaries, distally ciliate, sometimes the outer and distal part of the inner glandular-setose. Florets many per capitulum; corolla yellow, tube cylindric, 6–10 mm long, distally pilose; ligules 3–6.5 mm long, 0.5–1.2 mm wide. Achenes pale or reddish brown, narrowly ellipsoid, slightly flattened, 2.5–3.5 mm long, ribbed, rugulose but glabrous; pappus white, 7–11 mm long.","F8AA2D7A-D9B1-4235-ABA8-6F629A75AF34","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:250041-1#descriptions"
