WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0001228232,general,EN,"Woody climber, young stems yellowish-tomentose, older stems glabrescent, longitudinally ridged. Leaves broadly triangular-ovate, 5–10 cm long and broad, margin usually broadly and shallowly crenate, base shallowly cordate or truncate, sometimes obtuse, apex apiculate, usually broadly rounded, or obtuse, sometimes acute; palmately 5-nerved, flower surface tomentose or softly pubescent; upper surface sparsely pubescent, papyraceous; petiole yellowish-tomentose, 3–7 cm. Inflorescences yellowish-tomentose, 2–4 cm long. Male flowers white or yellow with pedicels ca 1 mm; sepals 9, hairy outside; outer 3 narrow, minute ca 0.5 mm long; middle 3 oblanceolate; inner 3 obovate, all 1 mm long; petals 6, obcuneate, 0.5 mm long, glabrous; stamens 6, 0.75 mm long. Female flowers: sepals and petals as in male; staminodes 6, filamentous; carpels 0.5 mm long; stigma bifid, recurved. Drupes purple to black, glabrous; endocarp rotund in outline, 5 mm diam, dorsally bearing 2 rows of ca 15 pointed projections, each of which is linked by a ridge to a laterally pointing projection, the latter being arranged in 2 lateral rows.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001228232,Forest Herbarium,All rights reserved,"Pericampylus glaucus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 351. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01478,5,3
wfo-0000476234,general,EN,"Shrub or climber up to 20 m high; thorns axillary, recurved, up to 1 cm. Leaves lanceolate, attenuate at base, acuminate-obtuse or rounded at apex, 4–10 by 2–5 cm, ± velutinous on both sides, rarely subglabrous. Petioles 1–2.5 cm. Inflorescences corymbose, brownish hairy. Peduncles 1.5–3 cm; bracteoles 1–3(–4) oblong, ca 1 mm. Pedicel 1–1.5 mm. Flowers unisexuai, dioecious or polygamous. Male flowers densely grouped. Perianth infundibuliform, 3 mm long, obconical in bud, truncate at apex with 5 furrows; at anthesis limb 4 mm diam., with 5, larger recurved lobes, alternating with 5 shorter ones. Stamens 6–8, exserted up to 1 mm; anthers subglobose. Female flowers sometimes accompanying the male in a loose panicle. Perianth campanulate-urceolate, 2 by 1.2 mm, lobes not recurved during anthesis; staminodes not present. Ovary elongate; stigma fimbriate, often with 3 bifid branches, exserted 1–1.5 mm. Anthocarp club-shaped, 10–15 by 2.5 mm, puberulous, with 5 ribs each with a biseriate row of viscid glands, ca 1 mm long. Seeds 1, 9–11 by 2–2.5 mm.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476234,Forest Herbarium,All rights reserved,"Pisonia aculeata. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 367. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01496,5,3
wfo-0001086710,general,EN,"Shrub or tree, up to 15 m (rarely higher); branches glabrous without thorns. Leaves opposite, ovate-lanceolate, slightly attenuate towards the base, acuminate-rounded at apex, 10–25 by 5–11 cm, glabrous. Petioles 1–4 cm. Inflorescences terminal, corymbose; peduncle 3.5–4 cm. Flowers bisexual or unisexua 1. Pedicels 1.5–6 mm with 1–3 small bracteoles. Perianth campanulate, 3–7 mm, 5-angled, slightly velutinous-papillose towards apex. Stamens (4–)6–14, unequal in length, exserted 2–3 mm; anthers subglobose, ca 1 mm. Ovary elongate; style with fimbriate stigma, exserted ca 1 mm. Anthocarp elongate, 2–4 cm long, with 5 viscid ribs; pedicel 1–1.5 cm.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001086710,Forest Herbarium,All rights reserved,"Pisonia umbellifera. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 369. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01497,5,3
wfo-0001238604,general,EN,"Leaves elliptic, 6–16 by 2.5–5.5 cm, apex acuminate, base acute to obtuse; reticulation conspicuous and prominent on both surfaces, glabrous (rarely puberulous along midrib and main nerves on lower surface); petioles 0.8–2(–3) cm. Inflorescences axillary or ramiflorous, fasciculate; peduncles 1–(or few-) flowered, 3–5(–10) mm, usually puberulous. Male flowers: sepals 9–12; outer ones minute, puberulous; inner 3–6 larger, rotund to broadly rotund, 1.25 by 1.25–1.75 mm, glabrous; petals 3, cuneiform, 0.5–0.75 mm long; stamens 6–12, 0.5 mm, shortly connate. Female flowers unknown. Drupes red, globose, 8–15 mm diam., glabrous; endocarp crustaceous.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001238604,Forest Herbarium,All rights reserved,"Pycnarrhena lucida. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 342. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01466,5,3
wfo-0001238606,general,EN,"Small liane or scandent shrub. Leaves elliptic-ovate to subovate, 11–16 by 4–6 cm, apex long and finely acuminate, base truncate, rounded or broadly cuneate; with 3–5 sub-basal nerves, lateral nerves prominent below, and strongly linking towards the margin, at least in distal half of lamina, puberulous below along midrib and main nerves, otherwise glabrous; petioles 3–6 cm. Male inflorescences axillary, several lax peduncied cymes per axil, 2–3 cm long, very slender, puberulous or subglabrous. Male flowers white, glabrous, on pedicels up to 3 mm or subsessile; sepals 6–9; outer ones smaller; innermost 3 elliptic to broadly elliptic, 3 mm long; petals 4–5, ovate, shortly clawed, 1.5 mm long; stamens 8–11, joined in a shortly stalked synandrium, 1.5 mm long. Female flowers and fruits unknown.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001238606,Forest Herbarium,All rights reserved,"Pycnarrhena poilanei . Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 340. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01465,5,3
wfo-0000507971,general,EN,"Liane with stem up to 10 cm diam. Leaves with petioles, 9–20 cm, pubescent, lamina broadly ovate to rotund, sometimes 3–7-lobed, up to half-way, 11–22 by 9–18 cm, base deeply cordate with sinus, sometimes very narrow, apex (also of any lobes) obtuse to acuminate and often mucronate, palmately 7-nerved at base with 2–3 pairs of distal lateral nerves, flower surface often glaucous and softly pubescent to subtomentellous, upper surface sparsely pubescent; thinly papyraceous. Inflorescences 12–33 cm long, flower lateral branches, up to 11 cm long; female inflorescences smaller and fewer-flowered, pubescent. Male fowers: pedicels ca 1 mm, pubescent, with 1–2 nanow bracteoles close to sepals; sepals 6, externally puberulous; outer 3 oblong to elliptic, 2–3 mm long; inner 3 broadly elliptic, 2–3 mm long; petals 6, fleshy, truncate, 1–1.5 mm long; stamens 2–3 mm long. Female flowers: sepals and petals as in male; staminodes 1 mm long; carpels 1 mm long. Drupes drying laterally compressed and irregularly rotund in outline, the raised lateral crests of the endocarp clearly visible under the pericarp, glabrous; endocarp semicircular-rotund, 5 mm diam.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000507971,Forest Herbarium,All rights reserved,"Sinomenium acutum cinereum. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 359. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=01488,5,3
wfo-0000505185,general,EN,"Small climber without tubers; stems very slender, glabrous or papillose-puberulous. Leaves broadly triangular-ovate, to triangular-oblate, 3–6 by 4–6 cm, base truncate or very slightly cordate, apex obtuse or slightly emarginate, glabrous, flower surface papillose and sometimes glaucous; thinly papyraceous; petiole 2.5–7 cm. Inflorescence: axillary or on leafless stems, a tiny umbelliform, few-flowered cyme, ca 5 mm long, sometimes papillose-puberulous. Male flowers pedicellate; sepals greenish, 6, elliptic, 1.25–1.75 mm long; the inner 3 slightly broader, externally puberulous; petals blue-violet, 3, ± obovate, 0.75 mm long, with an inwardly projecting transverse fold; synandrium 0.75 mm long. Female flowers symmetrical; sepals 3(–4), ± elliptic, 0.75–1.25 mm long; petals 3, minute, ca 0.25 mm long; carpels 0.75 mm long. Drupes unknown.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000505185,Forest Herbarium,All rights reserved,"Stephania brevipes. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 319. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01435,5,3
wfo-0001279147,general,EN,"Slender woody climber, up to ca 15 m, entirely glabrous, with subterranean fusiform tubers. Leaves lanceolate to broadly ovate, 6–17 by 2.5–10.5(–14) cm, base broadly rounded to cordate, apex usually attenuately acute or caudate, reticulation usually rather lax and not prominent, ± equally visible on both surfaces, papyraceous; petioles (2–)3–5(–10) cm. Male inflorescences usually axillary (sometimes borne on leafless parts of the stem) composed of several, peduncled, disciform capitula arising in the axils of persistent, triangular to linear bracts, 1–2 mm, along an axis usually less than 1 cm long, occasionally to 14 cm on old stems; capitula 3–6(–8) mm in diam., on filiform peduncles up to 20(–35) mm long. Male flowers sessile, yellow to green, very densely crowded on a disciform receptacle; sepals 2–3, ± oblong-elliptic, 0.5–0.75 mm long; petals 2–3, ± obovate, 0.25 mm long; synandrium 1 mm long, exserted. Female inflorescences as in male, but axis and peduncles thicker, especially at fruiting, also peduncles longer, up to 55 mm. Female flowers with very short pedicels, about 1 mm, sometimes partly united; sepals and petals as in male; carpels ± ovoid or ellipsoidal, ca 1 mm long. Drupas red, with slender pedicels, 5–10 mm; usually obovate in outline, (6–)8–11 mm long; endocarp perforate, dorsally bearing 4 rows of 10–14 capitate projections, divaricately lobed at their apices.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001279147,Forest Herbarium,All rights reserved,"Stephania capitata. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 317. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01432,5,3
wfo-0000505154,general,EN,"Slender climber, without a tuberous rootstock, entirely glabrous. Leaves broadly triangular-ovate, 12–17 by 9.5–16 cm, base truncate, apex broadly obtuse to acute, both surfaces with a very close fine raised reticulation, glaucous below; thinly papyraceous; petiole 10–13 cm. Male inflorescences an axillary umbelliform cyme, 4–7 cm long, 1–2 (? more) per axil. Male flowers on pedicels, 1–3 mm; sepals 6, yellowish, subequal, ± elliptic, 1.75–2 mm long; petals 3, oblate, 1 mm long, fleshy; synandrium 1.5 mm long, anther-ring very narrow. Female flowers unknown. Infructescences an axillary umbelliform cyme, ca 4 cm long. Drupes on pedicels, up to 4 mm, broadly obovate in outline, 6–6.5 by 5–5.5 mm; endocarp perforate with 4 dorsal rows of ca 10 thin transverse plates with entire margins, the plates of the outer 2 rows broader, the surface between the plates rough with irregular minor processes.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000505154,Forest Herbarium,All rights reserved,"Stephania crebra. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 321. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01438,5,3
wfo-0001083815,general,EN,"Slender climber, without tubers, entirely glabrous apart from any papillae. Leaves triangular-ovate, 6–10 by 4.5–7 cm, base usually truncate, apex finely acute, fine reticulation visible especially below; papyraceous; petiole 2–7 cm. Inflorescences axillary, a very slender umbelliform cyme, up to ca 2.5 cm long (to 7 cm in Himalayan specimens), reddish. Male flowers pedicellate; sepals violet or greenish-white, 6–8, ± obovate, 1.5 mm long, the inner 3 slightly broader, externally sometimes minutely papillose; petals 3–4, broadly obovate, 0.75 mm long; synandrium 1.5 mm long. Female flowers symmetrical; sepals and petals 3 (only very young flowers seen). Drupes obovate in outline; endocarp 6 mm long, with 2 dorsal rows of 7–8 irregular transverse ridges, the surface between them, ± papillose.",L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001083815,Forest Herbarium,All rights reserved,"Stephania elegans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 320. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01437,5,3
