WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000533338,mae nam nong (แม่น้ำนอง)(Northern),ver-THA-0000533338.01,0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000533338,thaowan thong (เถาวัลย์ทอง)(Southwestern),ver-THA-0000533338.02,0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000533338,wai din (หวายดิน)(Central),ver-THA-0000533338.03,0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000533338,kho khlan (โคคลาน)(Central),ver-THA-0000533338.04,0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000533338,thao khanom (เถาขะโนม)(Southeastern),ver-THA-0000533338.05,0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000533338,lumpri (ลุมพรี)(Southeastern),ver-THA-0000533338.06,0.0,ref-THA-0000533338,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01461,"Anamirta cocculus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 337. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000543220,khamin khruea (ขมิ้นเครือ)(Southeastern),ver-THA-0000543220.01,0.0,ref-THA-0000543220,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000543220,khamin ruesi (ขมิ้นฤาษี)(Peninsular),ver-THA-0000543220.02,0.0,ref-THA-0000543220,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000543220,hap (ฮับ)(Peninsular),ver-THA-0000543220.03,0.0,ref-THA-0000543220,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01463,"Arcangelisia flava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 339. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552372,on khao (ออนขาว)(Northern),ver-THA-0000552372.01,0.0,ref-THA-0000552372,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01409,"Aspidopterys hirsuta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 293. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552372,thi-khu (ทีคู่)(Karen-Northern),ver-THA-0000552372.02,0.0,ref-THA-0000552372,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01409,"Aspidopterys hirsuta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 293. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552383,khruea khao khon (เครือเขาขน)(Northern),ver-THA-0000552383.01,0.0,ref-THA-0000552383,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552383,khruea khao pun (เครือเขาปุน)(Northern),ver-THA-0000552383.02,0.0,ref-THA-0000552383,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552383,khruea to (เครือต่อ)(Northeastern),ver-THA-0000552383.03,0.0,ref-THA-0000552383,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408,"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552401,khruea prasong tua phu (เครือประสงค์ตัวผู้)(Southwestern),ver-THA-0000552401.01,0.0,ref-THA-0000552401,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01410,"Aspidopterys thorelii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 295. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552401,sut thao (สุดเถา)(Southwestern),ver-THA-0000552401.02,0.0,ref-THA-0000552401,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01410,"Aspidopterys thorelii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 295. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000552402,kai kom khruea (ก่านกอมเครือ)(Northern),ver-THA-0000552402.01,0.0,ref-THA-0000552402,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01407,"Aspidopterys tomentosa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 289. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567916,pang pae (ปังแป)(Northern),ver-THA-0000567916.01,0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567916,phak bia hin (ผักเบี้ยหิน)(Northern),ver-THA-0000567916.02,0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567916,phak khom fa (ผักขมฟ้า)(Northern),ver-THA-0000567916.03,0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567916,phak pang din (ผักปังดิน)(Northern),ver-THA-0000567916.04,0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567916,phak khom hin (ผักขมหิน)(Central),ver-THA-0000567916.05,0.0,ref-THA-0000567916,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01502,"Boerhavia diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567944,ya nuat maeo (หญ้าหนวดแมว)(Central),ver-THA-0000567944.01,0.0,ref-THA-0000567944,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01503,"Boerhavia erecta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000567944,phak khom hin (ผักขมหิน)(Peninsular),ver-THA-0000567944.02,0.0,ref-THA-0000567944,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01503,"Boerhavia erecta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 372. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000410969,chom phu phu kha (ชมพูภูคา)(General),ver-THA-0000410969.01,0.0,ref-THA-0000410969,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01345,"Bretschneidera sinensis. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 239. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000584657,nam kieo kai (หนามเกี่ยวไก่)(Peninsular),ver-THA-0000584657.01,0.0,ref-THA-0000584657,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01366,"Capparis diffusa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 254. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000584674,kieo kai (เกี่ยวไก่)(Eastern),ver-THA-0000584674.01,0.0,ref-THA-0000584674,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01350,"Capparis echinocarpa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 244. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000584708,krapong chaeng (กระโปงแจง)(Northern),ver-THA-0000584708.01,0.0,ref-THA-0000584708,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01371,"Capparis flavicans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 258. Accessed 2021-07-31",Forest Herbarium,All rights reserved
