taxonID,description,type,source,language,created,contributor,audience,license,rightsHolder,rights,
wfo-0000555197,Herbs,habit,98F0DC8A-0930-4F0B-8150-79A96DC83848,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000708612,Shrubs,habit,D7EB7EA7-9E8C-42EF-94BA-4DF894086E8B,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000410251,Herb,habit,2EF0F285-7BC7-4B86-AE05-22CE8C83A2F4,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000410130,shrub,habit,57E6DC16-4ECF-4572-8E55-9495B9DD772D,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000410024,vine,habit,A5555C40-B492-4F8E-B723-B0D4D55640B5,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540014,Suffrutescent herb to shrub,habit,DCCF3823-251F-42FC-B0CB-034005038029,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540071,Shrubs,habit,2A75B5CF-DED6-4060-9341-035EC591A378,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540263,Shrubs or suffrutescent herbs,habit,5CCC8A53-93DA-4E80-A444-DB918331CFE3,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540317,Shrubs,habit,CABE3D2F-72EC-447F-B117-C2F630ED3D21,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000566493,Herbs to subshrubs,habit,F6FA24BB-C7DA-4030-A623-AEB092786AD6,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000645881,Herb,habit,581916CD-AFA6-427C-9083-4A59C3A45933,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000645891,Shrub,habit,0656A723-BB56-436A-86C4-43AEE149DEB2,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646068,Herbs,habit,3B6271F6-1182-4243-9F05-9E3B816FACF2,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646080,Herbs,habit,E488F9D5-FA3C-425A-83AD-D4DA3D36CCA9,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000720846,Herbs,habit,97F5DCF9-A77D-49FA-90E1-5605863A9C0A,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000726797,Herbs,habit,47239B33-9736-405D-802F-D7181408F0ED,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000354147,Shrub,habit,2CCFDE2A-61F0-456D-9CBE-7B404E2A84A9,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044015,Herb,habit,83EB07B4-BEFD-4693-9F97-35B36668E595,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000353430,Herbs,habit,1329AE8A-DF70-42EE-9F23-BAC6958C1050,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044067,Herbs to subshrubs,habit,01450307-C6BD-461D-88F7-2D9FCA33846B,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000371159,Shrub,habit,46FBD11D-ED04-4624-8CB3-3F067F3E70ED,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000371144,vine,habit,BA322336-85C8-4439-B3A0-0519D4D2901C,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000666727,herb,habit,7D95786D-9FF1-45A6-B536-65C5F47DC8E9,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
