taxonID,description,type,source,language,created,contributor,audience,license,rightsHolder,rights,
wfo-0000732147,"Ranging from Panama to Guatemala, this species is nowhere commonly col- lected.",distribution,30EABEEA-F66B-43DB-B35E-3CFDD55BC9A9,English,2013-01-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000410436,"occurs from Costa Rica to Colombia, Venezuela and the Guianas.",distribution,132805BB-4B75-4E4E-9041-C1B314BDAD71,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000410164,"ranges through Brazil, British Guiana, Colombia, French Guiana, Peru, Trinidad, and Venezuela and extends into Central America and the West Indies.",distribution,CBC5CAF4-96E2-47EE-AF54-DCC2EE1F8CE4,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540010,"This species is found in damp areas of wooded mountain slopes and cloud forests in Panama, Colombia, and northern Venezuela.",distribution,CB826BD5-A50A-4AAE-AC28-5594B1260A8E,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540030,"This species is found in the provinces of Cocle and Panama in moist forest regions at ca. 1,000 m elevation.",distribution,A083A042-390F-4025-B1AE-964DC36AFD80,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540055,This species is found in lowland rain forests of Panama and Colombia.,distribution,38F8D5D3-3623-465B-A84A-E18E79843325,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540078,range extends from Colombia to Guatemala.,distribution,CD41C86B-633E-4529-93B4-372EA3B585C2,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540126,Colombia and Panama,distribution,8BE3AE1A-B0BB-4F4A-91D8-628C458B4284,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540170,Darien Province and adjacent Colombia.,distribution,6C0D2707-97A5-4310-8B96-A58518C101F3,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540254,Panama and Colombia.,distribution,DA91B7F2-963A-4C87-966F-B32731B69E2A,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540292,Costa Rica and Panama.,distribution,435B660B-0AFD-419E-8CA1-0C75DFA04386,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540298,Costa Rica and Panama.,distribution,1E9A3923-FF52-4364-A3A5-D60CD4DB3F7B,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540326,Costa Rica and Panama.,distribution,29131F92-2D58-4FFC-BDA8-5408ED0BE16E,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000566475,Costa Rica and Panama.,distribution,3C81028E-4EC4-4B71-B185-01BA1BAEF9DF,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000571881,"Peru, Colombia, Venezuela, and north to Oaxaca and Tamaulipas in Mexico.",distribution,4105BDBD-0ADA-49AE-8827-3F5F683B4D26,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000658421,Panama and Costa Rica,distribution,058D2C71-1D86-4A87-930F-5676EF2B58DD,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000715395,Costa Rica and adjacent Panama,distribution,425EB90C-5D0B-403F-B6FA-975FCCDF26FC,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000719381,This species is native to Malaysia and is cultivated in gardens in Latin Amer- ica from which it occasionally escapes.,distribution,A2C6E8CE-BBA2-41C0-AD5D-9EA9F69A3321,English,2013-07-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
