WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000600974,use,EN,Locally used for colds and stomach troubles.,K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000600974,Forest Herbarium,All rights reserved,"Chenopodium ambrosioides. Flora of Thailand. Vol. 7. Part 2, 2000. Pg. 254. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02401,7,2
wfo-0000725055,use,EN,"Cultivated as ornamental, eaten as a vegetable in China. Weedy in tea plantations in Java. It may be used by the hill tribes in northern Thailand as medicine.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000725055,Forest Herbarium,All rights reserved,"Houttuynia cordata. Flora of Thailand. Vol. 7. Part 2, 2000. Pg. 344. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02505,7,2
wfo-0000457857,use,EN,Seeds and fruits are used in local medicine.,K. Chayamarit,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000457857,Forest Herbarium,All rights reserved,"Tribulus terrestris. Flora of Thailand. Vol. 7. Part 2, 2000. Pg. 348. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02509,7,2
