taxonID,description,type,rightsHolder,source,bibliographicCitation,url,rights,license
wfo-0001031587,"Only known from the type locality in the little collected Chapare area of Cochabamba, Bolivia (Fig. 4).",distribution,The New York Botanical Garden,334741,"Knapp, S. J. 1992. Five new species of Solanum section Geminata (Solanaceae) from South America. Brittonia. 44: 61-68.",https://doi.org/10.2307/2807443,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001031684,"in the Cordillera de la Costa of Venezuela, at 1000-2000 m elev. in cloud forests (Fig. 6).",distribution,The New York Botanical Garden,332531,"Knapp, Sandra D. 1986. New species of Solanum section Geminata (Solanaceae) from South America. Brittonia. 38: 273-301.",https://doi.org/10.2307/2807355,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032158,"In subtropical semi-deciduous forest, usually in disturbed situations, in eastern Bolivia, 300-400 m elev. The type was collected from a population of wild plants growing in the native forest at the Jardin Botanico de Santa Cruz (Fig. 4).",distribution,The New York Botanical Garden,334741,"Knapp, S. J. 1992. Five new species of Solanum section Geminata (Solanaceae) from South America. Brittonia. 44: 61-68.",https://doi.org/10.2307/2807443,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032165,"known only from the ridges of the Península de Paria in eastern Venezuela, in cloud forest at ca 800 m elev. (Fig. 4).",distribution,The New York Botanical Garden,332531,"Knapp, Sandra D. 1986. New species of Solanum section Geminata (Solanaceae) from South America. Brittonia. 38: 273-301.",https://doi.org/10.2307/2807355,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032190,"A common weedy species throughout Mexico, Central America and the West Indies except for the arid deserts of interior northern Mexico. Frequently a member of open secondary-growth vegetation, in fields and along roads but also found along river banks and in barrancas.",distribution,The New York Botanical Garden,309077,"Roe, Keith E. 1967. A revision of Solanum sect. Brevantherum (Solanaceae) in North and Central America. Brittonia. 19: 353-373.",https://doi.org/10.2307/2805534,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032509,Andean slopes in western and central Bolivia in Departments of Cochabamba and La Paz at 1800-3000 m elevation.,distribution,The New York Botanical Garden,177372,"Nee, Michael H., et al. 2006. New species of Solanum and Capsicum (Solanaceae) from Bolivia, with clarification of nomenclature in  some Bolivian Solanum. Brittonia. 58 (4): 322-356.",https://doi.org/10.1663/0007-196x(2006)58[322:nsosac]2.0.co;2,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032564,"in the Amazon basin, known only from near the confluence of Rio Amazonas and Rio Napo in eastern Peru, at ca 120 m elev. (Fig. 15).",distribution,The New York Botanical Garden,332531,"Knapp, Sandra D. 1986. New species of Solanum section Geminata (Solanaceae) from South America. Brittonia. 38: 273-301.",https://doi.org/10.2307/2807355,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032697,"(Fig. 3), habitat, and phenology.- Guatemala (Quezaltenango, San Marcos); southern Mexico (Chiapas). Wet or moist cloud montane forests with Chiranthodendron (Sterculiaceae), 1300-3000 m. Flowering apparently occurs from September to March or April, reaching its peak in January-March. Fruiting occurs mainly in February and March.",distribution,The New York Botanical Garden,99460,"Lammers, Thomas G. 1998. Review of the neotropical endemics Burmeistera, Centropogon, and Siphocampylus (Campanulaceae: Lobelioideae), with description of 18 new species and a new section. Brittonia. 50: 233-262.",https://doi.org/10.2307/2807855,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032698,"(Fig. 3), habitat, and phenology.- Guatemala (Baja Verapaz, Chimaltenango, Quezaltenango, Quiche); southern Mexico (Chiapas). Wet or moist cloud forests (2300-2850 m) with Chiranthodendron.",distribution,The New York Botanical Garden,99460,"Lammers, Thomas G. 1998. Review of the neotropical endemics Burmeistera, Centropogon, and Siphocampylus (Campanulaceae: Lobelioideae), with description of 18 new species and a new section. Brittonia. 50: 233-262.",https://doi.org/10.2307/2807855,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001032965,"Venezuela, Guyana, French Guiana, Peru, Bolivia, Brazil; 0-1000 m.",distribution,The New York Botanical Garden,190137,"Prado, Jefferson & Moran, Robbin C. 2008. Revision of the neotropical species of Triplophyllum (Tectariaceae). Brittonia. 60 (2): 103-130.",https://doi.org/10.1007/s12228-008-9024-1,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001033238,"Sinningia nordestina occurs in northeastern Brazil, between and including the states of Ceará and Bahia, covering a range of some 1000 km.",distribution,The New York Botanical Garden,20315,"Chautems, Alain, et al. 2000. A new species of Sinningia (Gesneriaceae) from northeastern Brazil. Brittonia. 52: 49-53.",https://doi.org/10.2307/2666493,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001033286,Native to Haiti and Dominican Republic.,distribution,The New York Botanical Garden,299330,"Henrickson, James & Hilsenbeck, Richard A. 1979. New taxa and combinations in Siphonoglossa (Acanthaceae). Brittonia. 31: 373-378.",https://doi.org/10.2307/2806130,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001033287,"Native to Nuevo Leon and Tamaulipas, Mexico.",distribution,The New York Botanical Garden,299330,"Henrickson, James & Hilsenbeck, Richard A. 1979. New taxa and combinations in Siphonoglossa (Acanthaceae). Brittonia. 31: 373-378.",https://doi.org/10.2307/2806130,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001033289,"Native to the Cape region of Baja California del Sur, Mexico.",distribution,The New York Botanical Garden,299330,"Henrickson, James & Hilsenbeck, Richard A. 1979. New taxa and combinations in Siphonoglossa (Acanthaceae). Brittonia. 31: 373-378.",https://doi.org/10.2307/2806130,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034729,"Clidemia aurantiaca is known from undisturbed rain forest understory on the Caribbean slope of the Tilarán, Central and Talamanca mountain ranges of Costa Rica, the provinces of Bocas del Toro and Veraguas in Panama, and in the province of Cotopaxi, Ecuador, north west of El Corazón at 250-900",distribution,The New York Botanical Garden,204512,"Kriebel, Ricardo & Almeda, Frank. 2009. Three new species in the neotropical genus Clidemia (Melastomataceae: Miconieae). Brittonia. 61 (3): 206-217.",https://doi.org/10.1007/s12228-009-9098-4,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034730,"Clidemia subpeltata is endemic to Costa Rica where it is known from the Caribbean slope of the Guanacaste and Talamanca mountain ranges at (100) 9001200 m. Clidemia subpeltata is a very rare  species known from few collections; in the Guanacaste mountain range for example, it is known from the single specimen cited from that area. (Fig. 5).",distribution,The New York Botanical Garden,204512,"Kriebel, Ricardo & Almeda, Frank. 2009. Three new species in the neotropical genus Clidemia (Melastomataceae: Miconieae). Brittonia. 61 (3): 206-217.",https://doi.org/10.1007/s12228-009-9098-4,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034818,"Endemic to the eastern coastal Brazil (Bahia). Occurs in wet forests and cocoa plantations, at 0-50 m.",distribution,The New York Botanical Garden,19953,"Prado, Jefferson. 2000. A new species of Adiantum (Pteridaceae) from Bahia, Brazil. Brittonia. 52: 210-212.",https://doi.org/10.2307/2666515,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034904,"Mata Higrofila Sul Baiana, Floresta Ombrofila, ca. 578 m. Flowering specimens have been collected in February and March",distribution,The New York Botanical Garden,196774,"Kallunki, Jacquelyn A. 2009. Validation of Neoraputia (Galipeae, Rutaceae) and description of two new species from eastern Brazil. Brittonia. 61 (1): 28-34.",https://doi.org/10.1007/s12228-008-9054-8,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034921,"Bolivia, probably also in Peru and elsewhere in the tropical Andes (A. Vasco, pers. comm.). Shrubby humid vegetation above the closed timberline, where it grows in rock crevices among bushes and small trees of Baccharis, Oreopanax, and Polylepis pepei B. Simpson; 3700-3930 m.",distribution,The New York Botanical Garden,196800,"Ballenthien, E., et al. 2009. A new species of Elaphoglossum sect. Lepidoglossa subsect. Muscosa (Dryopteridaceae) with cristate spores. Brittonia. 61 (1): 46-49.",https://doi.org/10.1007/s12228-008-9057-5,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034933,"ecology.-Brazil (states of Cearat, Minas Gerais, Slio Paulo, Parandt, Santa Catarina, and Rio Grande do Sul). Wet forests, montane rain forests, restingas. Flow- ering October to June; fruiting October to May. Sacco (1980) identified this new species as P leptoclada Harms and cited it as a new occurrence for the state of Santa  Catarina Brazil.",distribution,The New York Botanical Garden,194382,"de Azevedo, Michaele  A. M. 2008. Three new species of Passiflora subgenus Decaloba (Passifloraceae) from Brazil. Brittonia. 60 (4): 310-317.",https://doi.org/10.1007/s12228-008-9023-2,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001034948,"Colombia (Macarena massif) and Bolivia, in areas of sandstone rocks; 350- 1000 m.",distribution,The New York Botanical Garden,190137,"Prado, Jefferson & Moran, Robbin C. 2008. Revision of the neotropical species of Triplophyllum (Tectariaceae). Brittonia. 60 (2): 103-130.",https://doi.org/10.1007/s12228-008-9024-1,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001037334,"Known from few collections from the campos rupestres of Serra da Caveira d'Anta, Minas Gerais state, and Petrópolis, Rio de Janeiro state. The species flowers from November to February and fruits from February to April.",distribution,The New York Botanical Garden,239389,"Assis, Leandro C. de S. & Mello-Silva, Renato de. 2010. Three new species of Ocotea (Lauraceae) from the campos rupestres of Brazil. Brittonia. 62 (1): 86-94.",https://doi.org/10.1007/s12228-009-9100-1,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001038492,"Thibaudia yungensis is endemic to the neighboring regions of the Peruvian and Bolivian altiplano (Cusco and La Paz departments, respectively); in cloud forests (""ceja de montana, bosque alto montano"", ""bosque húmedo montano de los Yungas""), 1835-3140 m.",distribution,The New York Botanical Garden,239374,"Pedraza-Peñalosa, Paola & Luteyn, James L. 2010. New species of Ericaceae (Vaccinieae) from the Andes of Bolivia and Peru. Brittonia. 62 (1): 39-56.",https://doi.org/10.1007/s12228-009-9096-6,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
wfo-0001038995,Restricted to the Chocó region of Colombia and adjacent Panama (Darién and Kuna Yala); lowland rain forests; 15-1000 m.,distribution,The New York Botanical Garden,270378,"Thomas, Wm. Wayt. 2011. Nothotalisia, a new genus of Picramniaceae from tropical America. Brittonia. 63 (1): 51-61.",https://doi.org/10.1007/s12228-010-9130-8,Content licensed under Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License,https://creativecommons.org/licenses/by-nc-sa/3.0/
