"taxonID","habitat"
"taxon-2-Oryctanthus_florulentus","Habitat: lowlands; mostly at low elevations ."
"taxon-5-PHTHIRUSA","Habitat: there is a strong preference for low elevations in Phthirusa ."
"taxon-9-Phthirusa_stelis","Habitat: lowland ."
"taxon-4-Psittacanthus_cucullaris","Habitat: lowlands ."
"taxon-8-TRIPODANTHUS","Habitat: at 2000 m elev."
"taxon-1-Tripodanthus_acutifolius","Habitat: at 2000 m elev."
"taxon-1-DENDROPHTHORA","Habitat: on the continent it is characterized by a rather strict preference for high elevations ."
"taxon-1-Dendrophthora_decipiens","Habitat: High altitudes ."
"taxon-6-Phoradendron_crassifolium","Habitat: usually at low elevations ."
"taxon-19-Phoradendron_piperoides","Habitat: at lower elevations"
