"referenceID","bibliographicCitation"
"ref-2429342417307649774","Barlow, B.A. 1964 Classification of the Loranthaceae and Viscaceae Proc. Linn. Soc. New South Wales ser. 2. 89 268-272"
"ref-3489387362144672925","Barlow, B.A. & D. Wiens. 1971 The cytogeography of the Loranthaceous mistletoes Taxon 20 291-312"
"ref-5895644653696295615","Kuijt, J. 1963 On the ecology and parasitism of the Costa Rican tree mistletoe, Gaiadendron punctatum (Ruiz & Pavon) G. Don. Canad. J. Bot. 41 929-938"
"ref-172809048004904743","Kuijt, J. 1968 Mutual affinities of Santalalean families Brittonia 20 136-147"
"ref--8013981239968460349","Kuijt, J. 1969 The biology of parasitic flowering plants"
"ref--5866254345806519275","Kuijt, J. 1988 Monograph of the Eremolepidaceae Syst. Bot. Monogr. 18 1-60"
"ref--2187696502587597416","Maas, P.J.M. & L.Y.T. Westra. 2005 Neotropical plant families ed. 3"
"ref--38842249608649432","Wiens, D. & B.A. Barlow. 1971 The cytogeography and relationships of the viscaceous and eremolepidaceous mistletoes Taxon 20 313-332"
"ref--5866254345806519275","Kuijt, J. 1988 Monograph of the Eremolepidaceae Syst. Bot. Monogr. 18 1-60"
"ref--1494412969575402850","Kuijt, J. 1998 Eremolepidaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 4 731-734"
"ref-2429342417307649774","Barlow, B.A. 1964 Classification of the Loranthaceae and Viscaceae Proc. Linn. Soc. New South Wales ser. 2. 89 268-272"
"ref-3489387362144672925","Barlow, B.A. & D. Wiens. 1971 The cytogeography of the Loranthaceous mistletoes Taxon 20 291-312"
"ref--1638428781059148006","Barlow, B.A. & D. Wiens. 1973 The classification of the generic segregates of Phrygilanthus (= Notanthera) of the Loranthaceae Brittonia 25 26-39"
"ref-3243687065470825749","Eichler, A.W. 1868 Loranthaceae C.F.P. von Martius Flora Brasiliensis 5 2 1-135"
"ref-3602124941817602408","Engler, H.G.A. & K. Krause. 1935 Loranthaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien ed. 2 16b 98-203"
"ref--8421267068693047573","Krause, K. 1932 Loranthaceae A.A. Pulle Flora of Suriname 1 1 4-24"
"ref-1091797577805819751","Kuijt, J. 1964 A revision of the Loranthaceae of Costa Rica Bot. Jahrb. Syst. 83 250-326"
"ref-172809048004904743","Kuijt, J. 1968 Mutual affinities of Santalalean families Brittonia 20 136-147"
"ref-4443414223917587628","Kuijt, J. 1978 Commentary on the mistletoes of Panama Ann. Missouri Bot. Gard. 65 736-763"
"ref--2358916644907955771","Kuijt, J. 1980 Miscellaneous mistletoe notes, 1-9 Brittonia 32 518-529"
"ref-6550047625766493517","Kuijt, J. 1981 Inflorescence morphology of Loranthaceae — an evolutionary synthesis Blumea 27 1-73"
"ref-6479194032940952787","Kuijt, J. 1982 Seedling morphology and its systematic significance in Loranthaceae of the New World, with supplementary comments on Eremolepidaceae Bot. Jahrb. Syst. 103 305-342"
"ref-1458377015581647667","Kuijt, J. 1986 Loranthaceae G. Harling & B. Sparre Flora of Ecuador 24 113-198"
"ref-4361883692877453256","Kuijt, J. 1987 Miscellaneous mistletoe notes, 10-19 Brittonia 39 447-459"
"ref--2736203123628685217","Kuijt, J. 1990 New species and combinations in neotropical mistletoes (Loranthaceae and Viscaceae) Proc. Kon. Ned. Akad. Wetensch., Biol. Chem. Geol. Phys. Med. Sci. 93 113-162"
"ref--1954519932325678574","Kuijt, J. 1991 Inflorescence structure and generic placement of some small-flowered species of Phthirusa (Loranthaceae) Syst. Bot. 16 283-291"
"ref-2373801821950554750","Kuijt, J. 1994 Typification of the names of New World mistletoe taxa (Loranthaceae and Viscaceae) described by Martius and Eichler Taxon 43 187-199"
"ref--5230001639630345723","Kuijt, J. 2001 Loranthaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 6 37-59"
"ref-3642784113094165880","Kuijt, J. 2003a Miscellaneous mistletoe notes, 37-47 Novon 13 72-88"
"ref--8105384377260469595","Kuijt, J. 2003b Two new South American species of Struthanthus (Loranthaceae) posing a challenge to circumscription of neotropical genera Bot. J. Linn. Soc. 142 469-474"
"ref--8697013699118022788","Kuijt, J. & D. Lye. 2005 A preliminary survey of foliar sclerenchyma in neotropical Loranthaceae Blumea 50 323-355"
