"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ--2781012523093572692","taxon-105a-EREMOLEPIDACEAE","EREMOLEPIDACEAE","Pipoly, J.J., et al.","10686","guyana"
"occ--3081247868866612010","taxon-105b-LORANTHACEAE","LORANTHACEAE","Acevedo, P., et al.","3273B","guyana"
"occ-5667075105914380355","taxon-105b-LORANTHACEAE","LORANTHACEAE","Anderson","561","guyana"
"occ--774432412136507292","taxon-105b-LORANTHACEAE","LORANTHACEAE","Archer, W.A.","2394","guyana"
"occ--8651119935511945209","taxon-105b-LORANTHACEAE","LORANTHACEAE","Boom, B.M., et al.","9081","guyana"
"occ-2643595874606477270","taxon-105b-LORANTHACEAE","LORANTHACEAE","Clarke, D., et al.","243","guyana"
"occ--277074371068556920","taxon-105b-LORANTHACEAE","LORANTHACEAE","","996","guyana"
"occ-9055098744155552892","taxon-105b-LORANTHACEAE","LORANTHACEAE","","1650","guyana"
"occ-2864144271938942822","taxon-105b-LORANTHACEAE","LORANTHACEAE","","3729","guyana"
"occ-4204334460204134239","taxon-105b-LORANTHACEAE","LORANTHACEAE","","4400","guyana"
"occ-7427118575629112446","taxon-105b-LORANTHACEAE","LORANTHACEAE","","4758","guyana"
"occ--7768562952955002086","taxon-105b-LORANTHACEAE","LORANTHACEAE","","4819","guyana"
"occ-3782893686856351114","taxon-105b-LORANTHACEAE","LORANTHACEAE","","5609","guyana"
"occ--6117416363535424832","taxon-105b-LORANTHACEAE","LORANTHACEAE","","5734","guyana"
"occ-4990280268172729656","taxon-105b-LORANTHACEAE","LORANTHACEAE","","5764","guyana"
"occ-2219804244375028402","taxon-105b-LORANTHACEAE","LORANTHACEAE","","6790","guyana"
"occ-7794709369952407762","taxon-105b-LORANTHACEAE","LORANTHACEAE","","7029","guyana"
"occ--6963104680440215888","taxon-105b-LORANTHACEAE","LORANTHACEAE","","7329","guyana"
"occ-735841821953911419","taxon-105b-LORANTHACEAE","LORANTHACEAE","Cowan, R.S.","39254","guyana"
"occ--5885392625930973116","taxon-105b-LORANTHACEAE","LORANTHACEAE","","39290","guyana"
"occ--3884925068265889491","taxon-105b-LORANTHACEAE","LORANTHACEAE","Cowan, R.S. & T.R. Soderstrom","1726","guyana"
"occ--475786871675558010","taxon-105b-LORANTHACEAE","LORANTHACEAE","","1765","guyana"
"occ--1851830243172299278","taxon-105b-LORANTHACEAE","LORANTHACEAE","","2103","guyana"
"occ--739849443436397335","taxon-105b-LORANTHACEAE","LORANTHACEAE","Cremers, G., et al.","10912","guyana"
