"taxonID","vernacularName","language","region","doubtful"
"taxon-3-Phoradendron_bathyoryctum","fowroedoti","","Suriname",""
"taxon-6-Phoradendron_crassifolium","fowroedoti","","Suriname",""
"taxon-6-Phoradendron_crassifolium","fouroedottie","","Suriname",""
"taxon-6-Phoradendron_crassifolium","pikien vouroedotie","","Suriname",""
"taxon-6-Phoradendron_crassifolium","pikien fowroedotie","","Suriname",""
"taxon-6-Phoradendron_crassifolium","koelatawéte","","Suriname",""
"taxon-6-Phoradendron_crassifolium","kurata weti","","Suriname",""
"taxon-18-Phoradendron_perrottetii","fowroedoti","","Suriname",""
"taxon-18-Phoradendron_perrottetii","pikien foroeka","","Suriname",""
"taxon-18-Phoradendron_perrottetii","pikin fowrukaka","","Suriname",""
"taxon-18-Phoradendron_perrottetii","kantakamma","","Suriname",""
"taxon-19-Phoradendron_piperoides","fowroedoti","","Suriname",""
"taxon-19-Phoradendron_piperoides","wérokarotika","","Suriname",""
"taxon-22-Phoradendron_pulleanum","fowroedoti","","Suriname",""
"taxon-22-Phoradendron_pulleanum","fouroedottie","","Suriname",""
"taxon-24-Phoradendron_racemosum","fowroedoti","","Suriname",""
"taxon-24-Phoradendron_racemosum","piki fo kaka","","Suriname",""
"taxon-24-Phoradendron_racemosum","wirikaro","","Suriname",""
"taxon-26-Phoradendron_trinervium","koedjibjosore","","Suriname",""
"taxon-26-Phoradendron_trinervium","kudibiu suru","","Suriname",""
