"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-Santalales","Santalales","","","","","","","accepted"
"taxon-105a-EREMOLEPIDACEAE","EREMOLEPIDACEAE","","family","EREMOLEPIDACEAE","","","","accepted"
"taxon-1-ANTIDAPHNE","ANTIDAPHNE","Poepp. & Endl.","genus","","","ANTIDAPHNE","Nov. Gen. Sp. 2 70 1838","accepted"
"taxon-1-Antidaphne_viscoidea","Antidaphne viscoidea","Poepp. & Endl.","species","","","Antidaphne","Nov. Gen. Sp. 2 70 t. 199 1838","accepted"
"taxon-105b-LORANTHACEAE","LORANTHACEAE","","family","LORANTHACEAE","","","","accepted"
"taxon-1-CLADOCOLEA","CLADOCOLEA","Tiegh.","genus","","","CLADOCOLEA","Bull. Soc. Bot. France 42 166 1895","accepted"
"taxon-1-Cladocolea_micrantha","Cladocolea micrantha","Kuijt","species","","","Cladocolea","Syst. Bot. 16 288 1991","accepted"
"taxon-2-Cladocolea_nitida","Cladocolea nitida","Kuijt","species","","","Cladocolea","Novon 13 74 2003","accepted"
"taxon-3-Cladocolea_sandwithii","Cladocolea sandwithii","Kuijt","species","","","Cladocolea","Syst. Bot. 16 289 1991","accepted"
"taxon-2-GAIADENDRON","GAIADENDRON","G. Don","genus","","","GAIADENDRON","Gen. Hist. 3 431 1834","accepted"
"taxon-1-Gaiadendron_punctatum","Gaiadendron punctatum","G. Don","species","","","Gaiadendron","Gen. Syst. 3 431 1834","accepted"
"taxon-3-ORYCTANTHUS","ORYCTANTHUS","Eichler","genus","","","ORYCTANTHUS","Mart. Fl. Bras. 5 2 87 1868","accepted"
"taxon-1-Oryctanthus_alveolatus","Oryctanthus alveolatus","Kuijt","species","","","Oryctanthus","Bot. Jahrb. Syst. 95 504 1976","accepted"
"taxon-2-Oryctanthus_florulentus","Oryctanthus florulentus","Tiegh.","species","","","Oryctanthus","Bull. Mus. Hist. Nat. (Paris) 2 339 1896","accepted"
"taxon-3-Oryctanthus_occidentalis","Oryctanthus occidentalis","Eichler","species","","","Oryctanthus","Mart. Fl. Bras. 5 2 89 1868","accepted"
"taxon-Oryctanthus_occidentalis","Oryctanthus occidentalis","Eichler","species","","","Oryctanthus","Bot. Jahrb. Syst. 114 181 1992","accepted"
"taxon-4-ORYCTINA","ORYCTINA","Tiegh.","genus","","","ORYCTINA","Bull. Soc. Bot. France 42 168 1895","accepted"
"taxon-1-Oryctina_atrolineata","Oryctina atrolineata","Kuijt","species","","","Oryctina","Brittonia 55 169 2003","accepted"
"taxon-2-Oryctina_myrsinites","Oryctina myrsinites","Kuijt","species","","","Oryctina","Syst. Bot. 16 290 1991","accepted"
"taxon-5-PHTHIRUSA","PHTHIRUSA","Mart.","genus","","","PHTHIRUSA","Flora 13 110 1830","accepted"
"taxon-1-Phthirusa_coarctata","Phthirusa coarctata","A.C. Sm.","species","","","Phthirusa","Lloydia 2 175 1939","accepted"
"taxon-2-Phthirusa_disjectifolia","Phthirusa disjectifolia","Kuijt","species","","","Phthirusa","Proc. Kon. Ned. Akad. Wetensch. Biol. Chem. Geol. Phys. Med. Sci. 93 114 1990","accepted"
"taxon-3-Phthirusa_guyanensis","Phthirusa guyanensis","Eichler","species","","","Phthirusa","Mart. Fl. Bras. 5 2 64 1868","accepted"
"taxon-4-Phthirusa_nitens","Phthirusa nitens","Eichler","species","","","Phthirusa","Mart. Fl. Bras. 5 2 59 1868","accepted"
"taxon-5-Phthirusa_podoptera","Phthirusa podoptera","Kuijt","species","","","Phthirusa","Taxon 43 198 1994","accepted"
"taxon-6-Phthirusa_pycnostachya","Phthirusa pycnostachya","Eichler","species","","","Phthirusa","Mart. Fl. Bras. 5 2 62 1868","accepted"
"taxon-7-Phthirusa_pyrifolia","Phthirusa pyrifolia","Eichler","species","","","Phthirusa","Mart. Fl. Bras. 5 2 63 t. 17 1868","accepted"
"taxon-8-Phthirusa_rufa","Phthirusa rufa","Eichler","species","","","Phthirusa","Mart. Fl. Bras. 5 2 61 1868","accepted"
"taxon-9-Phthirusa_stelis","Phthirusa stelis","Kuijt","species","","","Phthirusa","Taxon 43 193 1994","accepted"
"taxon-10-Phthirusa_stenophylla","Phthirusa stenophylla","Eichler","species","","","Phthirusa","Mart. Fl. Bras. 5 2 60 t. 19, f. 6 1868","accepted"
"taxon-11-Phthirusa_trichodes","Phthirusa trichodes","Rizzini","species","","","Phthirusa","Revista Fac. Agron. (Maracay) 8 92 1975","accepted"
"taxon-6-PSITTACANTHUS","PSITTACANTHUS","Mart.","genus","","","PSITTACANTHUS","Flora 13 106 1830","accepted"
"taxon-1-Psittacanthus_acinarius","Psittacanthus acinarius","Mart.","species","","","Psittacanthus","Flora 13 108 1830","accepted"
"taxon-2-Psittacanthus_clusiifolius","Psittacanthus clusiifolius","Eichler","species","","","Psittacanthus","Mart. Fl. Bras. 5 2 30 1868 as 'clusiaefolius'.","accepted"
"taxon-3-Psittacanthus_cordatus","Psittacanthus cordatus","Blume","species","","","Psittacanthus","Schult. & Schult. f. Syst. Veg. 7 1730 1830","accepted"
"taxon-4-Psittacanthus_cucullaris","Psittacanthus cucullaris","Blume","species","","","Psittacanthus","Schult. & Schult. f. Syst. Veg. 7 1730 1830","accepted"
"taxon-5-Psittacanthus_eucalyptifolius","Psittacanthus eucalyptifolius","G. Don","species","","","Psittacanthus","Gen. Hist. 3 417 1834","accepted"
"taxon-6-Psittacanthus_grandifolius","Psittacanthus grandifolius","Mart.","species","","","Psittacanthus","Flora 13 108 1830","accepted"
"taxon-7-Psittacanthus_lasianthus","Psittacanthus lasianthus","Sandwith","species","","","Psittacanthus","Bull. Misc. Inform. Kew 1939 18 1939","accepted"
"taxon-8-Psittacanthus_melinonii","Psittacanthus melinonii","Engl.","species","","","Psittacanthus","Engl. & Prantl Nat. Pflanzenfam. ed. 2 16b 180 1935","accepted"
"taxon-9-Psittacanthus_peronopetalus","Psittacanthus peronopetalus","Eichler","species","","","Psittacanthus","Mart. Fl. Bras. 5 2 31 1868","accepted"
"taxon-10-Psittacanthus_plagiophyllus","Psittacanthus plagiophyllus","Eichler","species","","","Psittacanthus","Mart. Fl. Bras. 5 2 37 1868","accepted"
"taxon-11-Psittacanthus_redactus","Psittacanthus redactus","Rizzini","species","","","Psittacanthus","Rodriguésia 18-19 30-31 145 1956","accepted"
"taxon-12-Psittacanthus_robustus","Psittacanthus robustus","Mart.","species","","","Psittacanthus","Flora 13 108 1830","accepted"
"taxon-7-STRUTHANTHUS","STRUTHANTHUS","Mart.","genus","","","STRUTHANTHUS","Flora 13 102 1830 nom. cons.","accepted"
"taxon-1-Struthanthus_concinnus","Struthanthus concinnus","Mart.","species","","","Struthanthus","Flora 13 105 1830","accepted"
"taxon-2-Struthanthus_dichotrianthus","Struthanthus dichotrianthus","Eichler","species","","","Struthanthus","Mart. Fl. Bras. 5 2 75 1868","accepted"
"taxon-3-Struthanthus_gracilis","Struthanthus gracilis","Steyerm. & Maguire","species","","","Struthanthus","Mem. New York Bot. Gard. 17 1 443 1967","accepted"
"taxon-4-Struthanthus_syringifolius","Struthanthus syringifolius","Mart.","species","","","Struthanthus","Flora 13 102 1830 as 'syringaefolius'.","accepted"
"taxon-8-TRIPODANTHUS","TRIPODANTHUS","Tiegh.","genus","","","TRIPODANTHUS","Bull. Soc. Bot. France 42 178 1895","accepted"
"taxon-1-Tripodanthus_acutifolius","Tripodanthus acutifolius","Tiegh.","species","","","Tripodanthus","Bull. Soc. Bot. France 42 179 1895","accepted"
"taxon-106-VISCACEAE","VISCACEAE","","family","VISCACEAE","","","","accepted"
"taxon-1-DENDROPHTHORA","DENDROPHTHORA","Eichler","genus","","","DENDROPHTHORA","Mart. Fl. Bras. 5 2 102 1868","accepted"
"taxon-1-Dendrophthora_decipiens","Dendrophthora decipiens","Kuijt","species","","","Dendrophthora","Proc. Kon. Ned. Akad. Wetensch. Biol. Chem. Geol. Phys. Med. Sci. 93 131 1990","accepted"
