"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0000434886","monhlohlo","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000970985","morobe","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000478760","pherefere","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000580859","molalakgwedi","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000593393","mogatakgomo","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000802966","morokolo","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000003890","mphahla","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0001284771","mokgwaripa","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0001065930","motlepe","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000430319","mokgalô","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0001284778","mosehla","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000694422","mokongono","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000408491","mogônônô","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0001140847","mohlabaphala","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0001057638","mohlanare","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0000197953","sehlokootswa","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
"wfo-0001141109","mokgwakgwatha","40EF8CCE-4069-4E28-B253-87235261F4F0","Pedi; Sepedi; Northern Sotho","vernacular","",""
