"multimediaID","taxonID","identifier","title","description"
"media-ID_260","taxon-2-Vouarana_guianensis","fotg-a-29-260.gif","Fig. 1",""
"media-ID_261","taxon-2-Vouarana_guianensis","fotg-a-29-261.gif","Fig. 2",""
"media-ID_262","taxon-2-Vouarana_guianensis","fotg-a-29-262.gif","Fig. 3",""
"media-ID_263","taxon-2-Vouarana_guianensis","fotg-a-29-263.gif","Fig. 4",""
"media-ID_264","taxon-2-Vouarana_guianensis","fotg-a-29-264.gif","Fig. 5",""
"media-ID_265","taxon-2-Vouarana_guianensis","fotg-a-29-265.gif","Fig. 6",""
"media-ID_266","taxon-2-Vouarana_guianensis","fotg-a-29-266.gif","Fig. 7",""
"media-ID_267","taxon-2-Vouarana_guianensis","fotg-a-29-267.gif","Fig. 8",""
"media-ID_268","taxon-2-Vouarana_guianensis","fotg-a-29-268.gif","Fig. 9",""
"media-ID_269","taxon-2-Vouarana_guianensis","fotg-a-29-269.gif","Fig. 10",""
"media-ID_270","taxon-2-Vouarana_guianensis","fotg-a-29-270.gif","Fig. 11",""
"media-ID_271","taxon-2-Vouarana_guianensis","fotg-a-29-271.gif","Fig. 12",""
"media-ID_272","taxon-2-Vouarana_guianensis","fotg-a-29-272.gif","Fig. 13",""
"media-ID_273","taxon-2-Vouarana_guianensis","fotg-a-29-273.gif","Fig. 14",""
"media-ID_274","taxon-2-Vouarana_guianensis","fotg-a-29-274.gif","Fig. 15",""
"media-ID_275","taxon-2-Vouarana_guianensis","fotg-a-29-275.gif","Fig. 16",""
"media-ID_276","taxon-2-Vouarana_guianensis","fotg-a-29-276.gif","Fig. 17",""
"media-ID_277","taxon-2-Vouarana_guianensis","fotg-a-29-277.gif","Fig. 18",""
"media-ID_278","taxon-2-Vouarana_guianensis","fotg-a-29-278.gif","Fig. 19",""
"media-ID_279","taxon-2-Vouarana_guianensis","fotg-a-29-279.gif","Fig. 20",""
"media-ID_280","taxon-2-Vouarana_guianensis","fotg-a-29-280.gif","Fig. 21",""
"media-ID_281","taxon-2-Vouarana_guianensis","fotg-a-29-281.gif","Fig. 22",""
"media-ID_282","taxon-2-Vouarana_guianensis","fotg-a-29-282.gif","Fig. 23",""
"media-ID_283","taxon-2-Vouarana_guianensis","fotg-a-29-283.gif","Fig. 24",""
"media-ID_284","taxon-2-Vouarana_guianensis","fotg-a-29-284.gif","Fig. 25",""
"media-ID_285","taxon-2-Vouarana_guianensis","fotg-a-29-285.gif","Fig. 26",""
"media-ID_286","taxon-2-Vouarana_guianensis","fotg-a-29-286.gif","Fig. 27",""
"media-ID_287","taxon-2-Vouarana_guianensis","fotg-a-29-287.gif","Fig. 28",""
"media-ID_288","taxon-2-Vouarana_guianensis","fotg-a-29-288.gif","Fig. 29",""
"media-ID_289","taxon-2-Vouarana_guianensis","fotg-a-29-289.gif","Fig. 30",""
"media-ID_290","taxon-2-Vouarana_guianensis","fotg-a-29-290.gif","Fig. 31",""
"media-ID_291","taxon-2-Vouarana_guianensis","fotg-a-29-291.gif","Fig. 32",""
"media-ID_292","taxon-2-Vouarana_guianensis","fotg-a-29-292.gif","Fig. 33",""
"media-ID_293","taxon-2-Vouarana_guianensis","fotg-a-29-293.gif","Fig. 34",""
"media-ID_294","taxon-2-Vouarana_guianensis","fotg-a-29-294.gif","Fig. 35",""
"media-ID_295","taxon-2-Vouarana_guianensis","fotg-a-29-295.gif","Fig. 36",""
"media-ID_296","taxon-2-Vouarana_guianensis","fotg-a-29-296.gif","Fig. 37",""
"media-ID_297","taxon-2-Vouarana_guianensis","fotg-a-29-297.gif","Fig. 38",""
"media-ID_298","taxon-2-Vouarana_guianensis","fotg-a-29-298.gif","Fig. 39",""
"media-ID_299","taxon-2-Vouarana_guianensis","fotg-a-29-299.gif","Fig. 40",""
