"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ-8706779714157566381","taxon-SAPINDACEAE","SAPINDACEAE","Abraham, A.A.","219","guyana"
"occ--6271562977280897475","taxon-SAPINDACEAE","SAPINDACEAE","Acevedo-Rdgz., P., et al.","3296","guyana"
"occ-881243833503352607","taxon-SAPINDACEAE","SAPINDACEAE","","3316","guyana"
"occ-4986498240945343639","taxon-SAPINDACEAE","SAPINDACEAE","","3346","guyana"
"occ--5695413350481648841","taxon-SAPINDACEAE","SAPINDACEAE","","3361","guyana"
"occ--8007783440995296583","taxon-SAPINDACEAE","SAPINDACEAE","","3401","guyana"
"occ--6477244296255078045","taxon-SAPINDACEAE","SAPINDACEAE","","3410","guyana"
"occ-1848001928170203116","taxon-SAPINDACEAE","SAPINDACEAE","","3444","guyana"
"occ-8199261376123815942","taxon-SAPINDACEAE","SAPINDACEAE","","3447","guyana"
"occ-4796945900590316387","taxon-SAPINDACEAE","SAPINDACEAE","","3456","guyana"
"occ-3691520519739794707","taxon-SAPINDACEAE","SAPINDACEAE","","3458","guyana"
"occ-4839911071873786147","taxon-SAPINDACEAE","SAPINDACEAE","","3469","guyana"
"occ-3224233440286749881","taxon-SAPINDACEAE","SAPINDACEAE","","3512","guyana"
"occ--966115698945852173","taxon-SAPINDACEAE","SAPINDACEAE","Andel, T.R. van, et al.","1140","guyana"
"occ--5563787654503311034","taxon-SAPINDACEAE","SAPINDACEAE","","1564","guyana"
"occ--3518493602405728374","taxon-SAPINDACEAE","SAPINDACEAE","Appun, C.F.","1295","guyana"
"occ-3954432972638511934","taxon-SAPINDACEAE","SAPINDACEAE","Archer, W.A.","2246","guyana"
"occ--7629666941088286448","taxon-SAPINDACEAE","SAPINDACEAE","","2290","guyana"
"occ--5183810864979769179","taxon-SAPINDACEAE","SAPINDACEAE","","2309","guyana"
"occ-4259471050264492946","taxon-SAPINDACEAE","SAPINDACEAE","","2319","guyana"
"occ--6818770965004633712","taxon-SAPINDACEAE","SAPINDACEAE","","2327","guyana"
"occ--6301015160310023596","taxon-SAPINDACEAE","SAPINDACEAE","","2329","guyana"
"occ--5199243150239089324","taxon-SAPINDACEAE","SAPINDACEAE","","2378","guyana"
"occ--450678057949354785","taxon-SAPINDACEAE","SAPINDACEAE","","2462","guyana"
"occ--7606265521197916012","taxon-SAPINDACEAE","SAPINDACEAE","Boom, B.M.","7161","guyana"
"occ-2021699904845684796","taxon-SAPINDACEAE","SAPINDACEAE","","8057","guyana"
"occ-8426032249723345081","taxon-SAPINDACEAE","SAPINDACEAE","Chanderbali, A. & D. Gopaul","56","guyana"
"occ-504348578820692109","taxon-SAPINDACEAE","SAPINDACEAE","Clarke, H.D.","203","guyana"
"occ-183631744902799369","taxon-SAPINDACEAE","SAPINDACEAE","","301","guyana"
"occ--1454830655309590247","taxon-SAPINDACEAE","SAPINDACEAE","","387","guyana"
"occ--6196268088700233851","taxon-SAPINDACEAE","SAPINDACEAE","","1035","guyana"
"occ-4913482928717078457","taxon-SAPINDACEAE","SAPINDACEAE","","1630","guyana"
"occ--8031321750518879593","taxon-SAPINDACEAE","SAPINDACEAE","","2015","guyana"
"occ--4658516679632136379","taxon-SAPINDACEAE","SAPINDACEAE","","2835","guyana"
"occ--7306742111434719288","taxon-SAPINDACEAE","SAPINDACEAE","","3049","guyana"
"occ--4718405807056441241","taxon-SAPINDACEAE","SAPINDACEAE","","3734","guyana"
"occ--4624201169922031653","taxon-SAPINDACEAE","SAPINDACEAE","","3904","guyana"
"occ--5508449030261675154","taxon-SAPINDACEAE","SAPINDACEAE","","3964","guyana"
"occ--7313864054263408017","taxon-SAPINDACEAE","SAPINDACEAE","","3989","guyana"
"occ--5021484041723647254","taxon-SAPINDACEAE","SAPINDACEAE","","4048","guyana"
"occ-1432601654573512507","taxon-SAPINDACEAE","SAPINDACEAE","","4239","guyana"
"occ--8918830980220642307","taxon-SAPINDACEAE","SAPINDACEAE","","4625","guyana"
"occ--2186503811826879129","taxon-SAPINDACEAE","SAPINDACEAE","","4844","guyana"
