"referenceID","bibliographicCitation"
"ref-4665488422348066260","Acevedo-Rodríguez, P. 1993 Systematics of Serjania (Sapindaceae). Part I: A revision of Serjania Sect. Platycoccus. Mem. New York Bot. Gard. 67 1-93"
"ref-8592049028745249815","Acevedo-Rodríguez, P. 1997 Sapindaceae J. Boggan et al. Checklist of the plants of the Guianas 2nd ed. Smithsonian Institution Washington D.C"
"ref--3024828070132201460","Acevedo-Rodríguez, P. 1998 Paullinia lingulata a new species from French Guiana Brittonia 50 514-516"
"ref-2592529309228674006","Acevedo-Rodríguez, P. 2002 Sapindaceae S.A. Mori et al. Manual to the Vascular Plants of Central French Guiana. Mem. New York Bot. Gard. 77 2 653-667"
"ref--6303528574718371298","Acevedo-Rodríguez, P. 2003 Melicocceae (Sapindaceae). Talisia and Melicoccus. Fl. Neotrop. 87 1-179"
"ref--6986071807936059042","Acevedo-Rodríguez P., 2005 Sapindaceae (excluding Paullinia) J.A. Steyermark et al. Flora of the Venezuelan Guayana 9 46-89 Timber Press"
"ref-3615529730091325169","Acevedo-Rodríguez, P., P. C. van Welzen, F. Adema and R.W.J.M. van der Ham. 2011 Sapindaceae K. Kubitzki The Families and Genera of Vascular Plants. Flowering Plants. Eudicots: Sapindales, Cucurbitales, Myrtaceae: 357-407 Springer Berlin"
"ref--4599230566759278411","Aublet, F. 1775 Histoire des Plantes de la Guiane Françoise Vol. I-IV London"
"ref-1529521435146826113","Bawa, K.S. 1976 The reproductive biology of Cupania guatemalensis Radlk. (Sapindaceae) Evolution 31 52-63"
"ref-1128350494044517507","Beck, H.T. 1990 A survey of the useful species of Paullinia L. (Sapindaceae) Adv. Econ. Bot. 8 41-56"
"ref-2005084116444349518","Brunner, M., L.J. Kucera, and E. Zürcher. 1994 Major timber trees of Guyana, a lens key. Tropenbos Series 10 1-183 The Netherlands"
"ref--7253562600916167485","Ferrucci, M.S. 1991 Sapindaceae Spichiger & Ramella Flora del Paraguay Conservatoire et Jardin botaniques de la Ville de Genève & Missouri Botanical Garden"
"ref-1754951945076963235","Ferrucci, M.S. 2000 Revisión taxonómica de los géneros Cardiospermum y Urvillea para el neotrópico (Sapindaceae). Ph.D. dissertation Universidad Nacional de Córdoba, Argentina 262 pp"
"ref--3240469853435152512","Funk, V.A., T. Hollowell, P. Berry, C. Kelloff and S.N. Alexander. 2007 Checklist of the plants of the Guiana Shield (Venezuela: Amazonas, Bolivar, Delta Amacuro; Guyana, Surinam, French Guiana) Contrib. United States Natl. Herb. 55 1-584"
"ref-2008134214387828847","Klaassen, R.K.W.M. 1999 Wood anatomy of Sapindaceae IAWA Journal Suppl. 2 1-214"
"ref--5641132448051524409","Kramer, K.U. 1972 Studies in the New World Sapindaceae. I. Notes on the genus Talisia Aublet. Act. Bot. Neerl. 21 671-678"
"ref--8393631201580230715","Kramer, K.U. 1976 Sapindaceae (additions and corrections) J. Lanjouw & A.L. Stoffers Flora of Suriname, 2 2 487-511"
"ref-1938975947697691333","Leenhouts, P.W. 1967 A conspectus of the genus Allophylus (Sapindaceae). The problem of the complex species Blumea 15 301-358"
"ref-3719600112104351404","Lippold, H. 1978 Die Gattung Dodonaea Miller (Sapindaceae) in Amerika Wiss. Z. Friedrich-Schiller-Univ. Jena, Math.-Naturwiss. Reihe 6 79-126"
"ref--2828948181738082754","Mennega, A.M. 1972 Wood structure of the genus Talisia (Sapindaceae) Acta Bot. Neerl. 21 578-586"
"ref-3826338603017927620","Metcalfe, C.R. & L. Chalk. 1957 Anatomy of Dicotyledons Clarendon Press Oxford"
"ref-3815497209675468064","Milanez, F.R. 1959 Anatomia do fruto de guaraná Arquivos do jardim Botânico de Rio de Janeiro. 16 59-129"
"ref--9183932574163500975","Muller, J. and P. W. Leenhouts. 1976 A general survey of pollen types in Sapindaceae in relation to taxonomy I.K. Ferguson & J. Muller The evolutionary significance of the exine Linnaean Soc. Symposium Ser. 1 407-445 Academic Press London"
"ref-2169274265355376075","Polak, A.M. 1992 Major timber trees of Guyana. A field guide Tropenbos Series 2 1-272 The Netherlands"
"ref--6078452302608634368","Radlkofer, L. 1890 Ueber die Gliederung der Familie der Sapindaceen Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 20 105-379"
"ref--3690262349234797056","Radlkofer, L. 1931-34 Sapindaceae Pages 1-1539 A. Engler (ed.) Das Pflanzenreich IV 165 Heft 98a-h Verlag von Wilhelm Engelmann Leipzig"
"ref-1099578341234707986","Rashford, J. 2001 Those that do not smile will kill me: The ethnobotany of the Ackee in Jamaica Econ. Bot. 55 190-211"
"ref-3292988820651299519","Uittien, H. 1937 Sapindaceae A. Pulle Flora of Suriname 2 1 345-396"
"ref-2538601150658635344","Veer, W. 2001 Vruchten in Suriname Conservation International Suriname 102 pp"
"ref-4401463827542108582","West, J.G. 1984 A revision of Dodonaea Miller (Sapindaceae) in Australia Brunonia 7 1-194"
"ref-7061668899406677719","Radlk. Warming Symbolae 37 244 [Nov] 1890"
