"taxonID","vernacularName","language","region","doubtful"
"taxon-4-Allophylus_leucoclados","tai’ ilowapa’a","Wayapi","French Guiana",""
"taxon-1-Blighia_sapida","ackee","","Suriname",""
"taxon-2-Cupania_diphylla","kwassikwassihoedoe","","Suriname",""
"taxon-2-Cupania_diphylla","zwarte pintolokus","","Suriname",""
"taxon-3-Cupania_hirsuta","kulishiri","","Guyana",""
"taxon-3-Cupania_hirsuta","tohnopara","","Guyana",""
"taxon-3-Cupania_hirsuta","be puma gawinti","Saramacca","Suriname",""
"taxon-3-Cupania_hirsuta","behaarde gawetri","Arawak","Suriname",""
"taxon-3-Cupania_hirsuta","djedoe","Paramacca","Suriname",""
"taxon-3-Cupania_hirsuta","harige gawetri","","Suriname",""
"taxon-3-Cupania_hirsuta","gawetrei","","Suriname",""
"taxon-3-Cupania_hirsuta","kulishiri","","Suriname",""
"taxon-3-Cupania_hirsuta","sinjabasoe","","Suriname",""
"taxon-3-Cupania_hirsuta","gangouti","","French Guiana",""
"taxon-3-Cupania_hirsuta","gawenti","","French Guiana",""
"taxon-3-Cupania_hirsuta","singabassou","","French Guiana",""
"taxon-7-Cupania_scrobiculata","bread-tree","","Guyana",""
"taxon-7-Cupania_scrobiculata","bread-and-cheese","","Guyana",""
"taxon-7-Cupania_scrobiculata","kuleshiri","","Guyana",""
"taxon-7-Cupania_scrobiculata","white kulishiri","","Guyana",""
"taxon-7-Cupania_scrobiculata","djoendjoe-oeba","","Suriname",""
"taxon-7-Cupania_scrobiculata","gawetrie","","Suriname",""
"taxon-7-Cupania_scrobiculata","gawtri","","Suriname",""
"taxon-7-Cupania_scrobiculata","Koelesiri-konokidikoro","","Suriname",""
"taxon-7-Cupania_scrobiculata","kottotikie","","Suriname",""
"taxon-7-Cupania_scrobiculata","witte-gauetrie","","Suriname",""
"taxon-7-Cupania_scrobiculata","zuarte-gautrie","","Suriname",""
"taxon-7-Cupania_scrobiculata","encens-blanc","","French Guiana",""
"taxon-7-Cupania_scrobiculata","gangouti","","French Guiana",""
"taxon-1-Matayba_arborescens","basrakromantiehoedoe","","Suriname",""
"taxon-1-Matayba_arborescens","gauetrie","","Suriname",""
"taxon-1-Matayba_arborescens","kwassiewassitikie","","Suriname",""
