WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000199731,ecology,EN,Evergreen forests; alt. ca 50 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199731,Forest Herbarium,All rights reserved,"Acacia torta. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00816,4,2
wfo-0001387138,ecology,EN,"Evergreen forests, mixed deciduous forests, also along forest margins and open fields; alt. up to ca 400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001387138,Forest Herbarium,All rights reserved,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789,4,2
wfo-0000209692,ecology,EN,In mixed deciduous forests.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000209692,Forest Herbarium,All rights reserved,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,4,2
wfo-0000192577,ecology,EN,Evergreen forests and savannas on rocky ground; alt. up to 1200 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000192577,Forest Herbarium,All rights reserved,"Albizia attopeuensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 183. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00834,4,2
wfo-0000182103,ecology,EN,"Evergreen and deciduous forests, savannas, riverbanks; alt. up to ca 1800 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000182103,Forest Herbarium,All rights reserved,"Albizia chinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 188. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837,4,2
wfo-0000196892,ecology,EN,"Dry evergreen forests, forest margins, open savannas on disturbed soil; alt. sea level to 1100 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000196892,Forest Herbarium,All rights reserved,"Albizia corniculata. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 197. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00845,4,2
wfo-0000196901,ecology,EN,Upper mixed deciduous forests and grassland; alt. 500–2000 In (in Thailand recorded only up to 720 m).,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000196901,Forest Herbarium,All rights reserved,"Albizia crassiramea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 192. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00841,4,2
wfo-0000199744,ecology,EN,Open lower montane forests on rocky ground; alt. ca 1500 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199744,Forest Herbarium,All rights reserved,"Albizia garrettii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 184. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00835,4,2
wfo-0000199751,ecology,EN,In margins of evergreen forests and especiallymin deciduous forests; alt. up to ca 400 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199751,Forest Herbarium,All rights reserved,"Albizia Iebbekoides. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 194. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00842,4,2
wfo-0000184271,ecology,EN,Often common in deciduous forests; alt. up to 500 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000184271,Forest Herbarium,All rights reserved,"Albizia lebbeck. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 186. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00836,4,2
