WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000185607,nam huang (หนามเฮี้อง)(Northern),ver-THA-0000185607.01,0.0,ref-THA-0000185607,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199691,nam tanin (หนามตะหนิน)(Eastern),ver-THA-0000199691.01,0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199691,nam han (หนามหัน)(Northern),ver-THA-0000199691.02,0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199691,narn huang (หนามเฮื้อง)(Northern),ver-THA-0000199691.03,0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199691,han kradang (หันกระด้าง)(Northern),ver-THA-0000199691.04,0.0,ref-THA-0000199691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000186090,som khon (ส้มขอน)(Northern),ver-THA-0000186090.01,0.0,ref-THA-0000186090,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000186090,som poi (ส้มป่อย)(Northern),ver-THA-0000186090.02,0.0,ref-THA-0000186090,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199698,kamlang chang san (กำลังช้างสาร)(Southwestern),ver-THA-0000199698.01,0.0,ref-THA-0000199698,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000195712,krathin thet (กระถินเทศ)(Central),ver-THA-0000195712.01,0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000195712,krathin hom (กระถินหอม)(Central),ver-THA-0000195712.02,0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000195712,kham tai (คำไต้)(Northern),ver-THA-0000195712.03,0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000195712,dok kham tai (ดอกคำใต้)(Northern),ver-THA-0000195712.04,0.0,ref-THA-0000195712,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199701,krathin pa (กระถินป่า)(Southwestern),ver-THA-0000199701.01,0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199701,chalaep khao (แฉลบขาว)(Southwestern),ver-THA-0000199701.02,0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199701,pi man (ปี้มาน)(Northern),ver-THA-0000199701.03,0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199701,"phiman (พิมาน)(Northern, Northeastern)",ver-THA-0000199701.04,0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199701,"ma khi man (มะขี้มาน)(Northern, Northeastern)",ver-THA-0000199701.05,0.0,ref-THA-0000199701,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000186118,chalaep daeng (แฉลบแดง)(Central),ver-THA-0000186118.01,0.0,ref-THA-0000186118,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000186118,phaya mai (พญาไม้)(Southwestern),ver-THA-0000186118.02,0.0,ref-THA-0000186118,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199709,khi raet (ขี้แรด)(Central),ver-THA-0000199709.01,0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199709,hang lai daeng (หางไหลแดง)(Central),ver-THA-0000199709.02,0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199709,han daeng (หันแดง)(Northern),ver-THA-0000199709.03,0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199709,lai daeng (ไหลแดง)(Northern),ver-THA-0000199709.04,0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199709,lae (แหล)(Shan-Northern),ver-THA-0000199709.05,0.0,ref-THA-0000199709,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00830,"Acacia megaladena indochinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199707,phak lae (ผักและ)(Northern),ver-THA-0000199707.01,0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199707,nam han (หนามหัน)(Northern),ver-THA-0000199707.02,0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199707,nam khi raet (หนามขี้แรด)(Southwestern),ver-THA-0000199707.03,0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199707,hai (ฮาย)(Peninsular),ver-THA-0000199707.04,0.0,ref-THA-0000199707,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00829,"Acacia megaladena megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 180. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199726,krathin phiman (กระถินพิมาน)(Central),ver-THA-0000199726.01,0.0,ref-THA-0000199726,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199726,khaya (คะยา)(Northern),ver-THA-0000199726.02,0.0,ref-THA-0000199726,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000199726,nam khao (หนามขาว)(Northern),ver-THA-0000199726.03,0.0,ref-THA-0000199726,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00811,"Acacia tomentosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 161. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0001387138,bon si (บนซี)(Penjnsular),ver-THA-0001387138.01,0.0,ref-THA-0001387138,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0001387138,phai (ไพ)(Penjnsular),ver-THA-0001387138.02,0.0,ref-THA-0001387138,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0001387138,phai ngoen kam (ไพเงินก่ำ)(Penjnsular),ver-THA-0001387138.03,0.0,ref-THA-0001387138,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0001387138,ma klam ta kai (มะกล่ำตาไก่)(Northern),ver-THA-0001387138.04,0.0,ref-THA-0001387138,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789,"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,ma klam ton (มะกล่ำต้น)(General),ver-THA-0000209692.01,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,ma klam ta chang (มะกล่ำตาช้าง)(General),ver-THA-0000209692.02,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,ma daeng (มะแดง)(Northern),ver-THA-0000209692.03,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,ma hua daeng (มะหัวแดง)(Northern),ver-THA-0000209692.04,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,ma hok daeng (มะโหกแดง)(Northern),ver-THA-0000209692.05,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,ma khaek (มะแค้ก)(Shan-Northcrn),ver-THA-0000209692.06,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000209692,mak khaek (หมากแค้ก)(Shan-Northcrn),ver-THA-0000209692.07,0.0,ref-THA-0000209692,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788,"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000182103,kang luang (กางหลวง)(Northern),ver-THA-0000182103.01,0.0,ref-THA-0000182103,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837,"Albizia chinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 188. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000182103,san kham (สารคำ)(Northern),ver-THA-0000182103.02,0.0,ref-THA-0000182103,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837,"Albizia chinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 188. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000182103,san ngoen (สารเงิน)(Northern),ver-THA-0000182103.03,0.0,ref-THA-0000182103,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837,"Albizia chinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 188. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000182103,khang hung (ค้างฮุง)(Northeastern),ver-THA-0000182103.04,0.0,ref-THA-0000182103,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00837,"Albizia chinensis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 188. Accessed 2021-07-31",Forest Herbarium,All rights reserved
