wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000210915,urn:kew.org:ftea:spec:ref:24693,"Taub. in A. Engler, Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 23: 178 (1896).",Taub.,1896,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:488858-1#bibliography,urn:lsid:ipni.org:names:488858-1
wfo-0000210915,urn:kew.org:ftea:spec:ref:24694,"Bak. f. in Journal of the Linnean Society of London, Botany 42: 384 (1914).",Bak. f.,1914,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:488858-1#bibliography,urn:lsid:ipni.org:names:488858-1
wfo-0000210915,urn:kew.org:ftea:spec:ref:24695,"Wilczek in Flore du Congo Belge et du Ruanda-Urundi, 4: 230, fig. 15 (1953).",Wilczek,1953,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:488858-1#bibliography,urn:lsid:ipni.org:names:488858-1
wfo-0000213499,urn:kew.org:ftea:spec:ref:24699,"Harms in A. Engler, Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 28: 401 (1900)",Harms,1900,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504954-1#bibliography,urn:lsid:ipni.org:names:504954-1
wfo-0000213499,urn:kew.org:ftea:spec:ref:24700,"Harms in A. Engler & O. Drude, Die Vegetation Der Erde, IX, Pflanzenwelt Afrikas 3 (1): 559 (1915).",Harms,1915,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504954-1#bibliography,urn:lsid:ipni.org:names:504954-1
wfo-0000213499,urn:kew.org:ftea:spec:ref:24701,"Bak. f., Leguminosae of Tropical Africa: 60 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504954-1#bibliography,urn:lsid:ipni.org:names:504954-1
wfo-0000213499,urn:kew.org:ftea:spec:ref:24702,"J.P.M. Brenan, Check-lists of the Forest Trees and Shrubs of the British Empire no. 5, part II, Tanganyika Territory p. 431 (1949).",Brenan,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504954-1#bibliography,urn:lsid:ipni.org:names:504954-1
wfo-0000213501,urn:kew.org:ftea:spec:ref:24703,"Benth., Pl. Hartw.: 169 (1845).",Benth.,1845,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504972-1#bibliography,urn:lsid:ipni.org:names:504972-1
wfo-0000213501,urn:kew.org:ftea:spec:ref:24704,"C. P. Smith, Sp. Lupin.: 172 (1940).",C. P. Smith,1940,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504972-1#bibliography,urn:lsid:ipni.org:names:504972-1
wfo-0000213492,urn:kew.org:ftea:spec:ref:24705,Schlecht. in Linnaea 12: 33 (1838).,Schlecht.,1838,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504398-1#bibliography,urn:lsid:ipni.org:names:504398-1
wfo-0000213492,urn:kew.org:ftea:spec:ref:24706,"C. P. Smith, Sp. Lupin.: 43 (1938).",C. P. Smith,1938,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:504398-1#bibliography,urn:lsid:ipni.org:names:504398-1
wfo-0000213178,urn:kew.org:ftea:spec:ref:24707,Harms in Ber. Deutsch. Bot. Ges. 35: 186 (1917).,Harms,1917,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475201-1#bibliography,urn:lsid:ipni.org:names:475201-1
wfo-0000213178,urn:kew.org:ftea:spec:ref:24708,"Bak. f., Leguminosae of Tropical Africa: 67 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475201-1#bibliography,urn:lsid:ipni.org:names:475201-1
