"referenceID","bibliographicCitation"
"ref-1677373617430317605","Burger, W.C. 1977 Ulmaceae. Flora Costaricensis Fieldiana Bot. 40 83-93"
"ref--7061302348894974654","Engler, H.G.A. 1889 Ulmaceae H.G.A. Engler & K.A.Prantl. Die Nattirlichen Pflanzenfamilien 3 1 59-66"
"ref-3183606096315414042","Miquel, F.AW. 1853 Urticineae: Ulmaceae C.F.P. von Martius Flora Brasiliensis 4 1 170-182"
"ref-3663400176948918372","Planchon, J.E. 1873 Ulmaceae A.L.P.P. de Candolle Prodr. 17 151-210"
"ref-275446313591731866","Anonymus. 1982 Nomenclature generale des bois tropicaux A.T.I.B.T. Nogent-sur-Marne"
"ref-3994601320003962123","Anonymus. 1989 Bois des dom-tom. Tome I. Guyane C.T.F.T. Nogent-sur-Marne"
"ref--4241797379610400249","Bena, P. 1960 Essences forestieres de Guyane. Bureau Agricole et Forestier guyanais lmprimerie Nationale Paris"
"ref-7338207100797923694","Benoist, R. 1931 Les bois de la Guyane Francaise Archives de botanique tome 5 Memoire I"
"ref-2098224994391903414","Berni, C.A., E. Baiza & F.J. Christensen 1979 South American Timbers. The characteristics, properties and uses of 190 species. C.S.I.R.O. Melbourne"
"ref-438139207539215248","Bonsen, K.J. & B.J.H. ter Welle. 1983 Comparative wood and leaf anatomy of the Cecropiaceae (Urticales) Adansonia 2 151-177"
"ref-5321296145881787774","Bonsen, K.J. & B.J.H. ter Welle. 1984 Systematic wood anatomy and affinities of the Urticaceae. Bot. Jahrb. Syst. 105 1 49-71"
"ref--8959669836365183661","Chudnoff, M. 1984 Tropical timbers of the world Agriculture handbook number number 607. U.S. Forest Service Madison"
"ref-1033598202785688341","Detienne, P., P. Jacquet & A. Mariaux. 1982 Manuel d'identification des bois tropicaux Tome 3. Guyane Francaise C.T.F.T. Nogent-sur-Marne"
"ref-5122946743524554250","Detienne, P. & P. Jacquet. 1983 Atlas d'identification des bois de l'Amazonie et des regions voisines C.T.F.T. Nogent-sur-Marne"
"ref--2688227331627397422","Fanshawe, D.B. 1948 Forest products of British Guiana. Part 1. Principal Timbers Forestry Bulletin 1 (New series)"
"ref--4797885780386266503","Fanshawe, D.B. 1949 Check-list of the indigenous woody plants of British Guiana Forestry Bulletin 3 (New series)"
"ref-5765028623343157058","Japing, C.H. & H.W. Japing. 1960 Houthandboek Surinaamse houtsoorten 's-Lands Bosbeheer Paramaribo"
"ref-7207289093577265280","Koek-Noorman, J., S.M.C. Topper & B.J.H. ter Welle 1984A The systematic wood anatomy of the Moraceae (Urticales) I. Tribe Castilleae IAWA Bull. n.s. 5 3 183-195"
"ref-7729055508535086623","Koek-Noorman, J., S.M.C. Topper & B.J.H. ter Welle 1984B The systematic wood anatomy of the Moraceae (Urticales) II. Tribe Dorstenieae IAWA Bull. n.s. 5 3 317-329"
"ref-7418439293458245891","Koek-Noorman, J., S.M.C. Topper & B.J.H. ter Welle 1984C The systematic wood anatomy of the Moraceae (Urticales) III. Tribe Ficeae IAWA Bull. n.s. 5 3 330-334"
"ref--7473561274851976707","Lindeman, J.C. & A.M.W. Mennega. 1963 Bomenboek voor Suriname 's-Lands Bosbeheer Paramaribo"
"ref--263142859074595457","Mennega, E.A., W.C.M. Tammens-de Rooij & M.J. Jansen-Jacobs (Eds.) 1988 Check-list of woody plants of Guyana Tropenbos Technical Series 2 Tropenbos Foundation Ede"
