"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ-6880788966015204560","taxon-URTICALES","URTICALES","Abraham, A.A.","90","guyana"
"occ--8578031640059425845","taxon-URTICALES","URTICALES","","318","guyana"
"occ--6838110015367598561","taxon-URTICALES","URTICALES","Anderson, C.W.","188","guyana"
"occ-820733832057948096","taxon-URTICALES","URTICALES","","467/CT45","guyana"
"occ-1252393290263356636","taxon-URTICALES","URTICALES","","589A","guyana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","guyana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","guyana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","guyana"
"occ-9118890669144904511","taxon-URTICALES","URTICALES","Appun, C.F.","296","guyana"
"occ-4742248426112104270","taxon-URTICALES","URTICALES","Archer, W.A.","2485","guyana"
"occ--6538048304679602793","taxon-URTICALES","URTICALES","","2494","guyana"
"occ-5430523753515680275","taxon-URTICALES","URTICALES","Asbeck, W.A. van","19","suriname"
"occ--4452653036648722979","taxon-URTICALES","URTICALES","","19a","suriname"
"occ--8076478221220941988","taxon-URTICALES","URTICALES","Aublet, J.B.C. Fusee d'","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ-3524170764144821570","taxon-URTICALES","URTICALES","","s.n.","french guiana"
"occ--8906931622193057041","taxon-URTICALES","URTICALES","Aubreville, A.","15","french guiana"
"occ-1463951471162603968","taxon-URTICALES","URTICALES","","268","french guiana"
"occ--1499019304140117717","taxon-URTICALES","URTICALES","","354","french guiana"
"occ-4080591407452645863","taxon-URTICALES","URTICALES","Aubry-Lecompte, C.E.","s.n.","french guiana"
"occ-2881081477346055672","taxon-URTICALES","URTICALES","Bailey, I.W.","3","guyana"
"occ-8720133146523771285","taxon-URTICALES","URTICALES","","4","guyana"
"occ-7976324383451911332","taxon-URTICALES","URTICALES","","5","guyana"
"occ-1632866036220189163","taxon-URTICALES","URTICALES","","6","guyana"
"occ-1169857496229333930","taxon-URTICALES","URTICALES","","8","guyana"
"occ-7327042139670019927","taxon-URTICALES","URTICALES","","9","guyana"
"occ-2621121628674911979","taxon-URTICALES","URTICALES","","14","guyana"
"occ--4191871630251116678","taxon-URTICALES","URTICALES","","15","guyana"
"occ--7954806729946576976","taxon-URTICALES","URTICALES","","17","guyana"
"occ--8074050930860467847","taxon-URTICALES","URTICALES","","18","guyana"
"occ--4051339393271090152","taxon-URTICALES","URTICALES","","19","guyana"
"occ--5639039801319054156","taxon-URTICALES","URTICALES","","20","guyana"
"occ-4903086596693515344","taxon-URTICALES","URTICALES","","146","guyana"
"occ-6600626279999108823","taxon-URTICALES","URTICALES","","147","guyana"
"occ--1067061258865782928","taxon-URTICALES","URTICALES","Barrier, S. (et al.)","2525","french guiana"
"occ--6824603343303176238","taxon-URTICALES","URTICALES","","2604","french guiana"
"occ--5923056561255609842","taxon-URTICALES","URTICALES","","3815","french guiana"
"occ--2067065987217664042","taxon-URTICALES","URTICALES","","3858","french guiana"
"occ-8024590016626678250","taxon-URTICALES","URTICALES","","3859","french guiana"
"occ-2730961603744987016","taxon-URTICALES","URTICALES","","3879","french guiana"
"occ-8869826485985597026","taxon-URTICALES","URTICALES","","3887","french guiana"
"occ--8146253084930456482","taxon-URTICALES","URTICALES","","3925","french guiana"
"occ-7397977465748118219","taxon-URTICALES","URTICALES","","3935","french guiana"
"occ--8779498585035758492","taxon-URTICALES","URTICALES","","3943","french guiana"
"occ-227056613854570306","taxon-URTICALES","URTICALES","","3951","french guiana"
"occ-570299270656264026","taxon-URTICALES","URTICALES","","3955","french guiana"
"occ--1980999278182015961","taxon-URTICALES","URTICALES","","4047","french guiana"
"occ-3044489948357912696","taxon-URTICALES","URTICALES","","4066","french guiana"
"occ--3575818954406058774","taxon-URTICALES","URTICALES","","4137","french guiana"
"occ-2916573248659804308","taxon-URTICALES","URTICALES","","4148","french guiana"
"occ--6107672587724244993","taxon-URTICALES","URTICALES","","4158","french guiana"
"occ-7112239182753620674","taxon-URTICALES","URTICALES","","4179","french guiana"
"occ-9181726260927921846","taxon-URTICALES","URTICALES","","4187","french guiana"
"occ--7582636512905665507","taxon-URTICALES","URTICALES","","4225","french guiana"
"occ-9210549035459845317","taxon-URTICALES","URTICALES","","4224","french guiana"
"occ-8262682952344361838","taxon-URTICALES","URTICALES","","4251","french guiana"
