"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-URTICALES","URTICALES","","","","","","","accepted"
"taxon-20-ULMACEAE","ULMACEAE","","family","ULMACEAE","","","","accepted"
"taxon-1-AMPELOCERA","AMPELOCERA","Klotzsch","genus","","","AMPELOCERA","Linnaea 20 541 1847","accepted"
"taxon-1-Ampelocera_edentula","Ampelocera edentula","Kuhlm.","species","","","Ampelocera","Anais Reuniao Sul-Amer. Bot. 3 75 t. 1 1938","accepted"
"taxon-2-CELTIS","CELTIS","L.","genus","","","CELTIS","Sp. Pl 1043 1753","accepted"
"taxon-1-Celtis_iguanaea","Celtis iguanaea","Sarg.","species","","","Celtis","Silva 7 64 1895","accepted"
"taxon-3-TREMA","TREMA","Lour.","genus","","","TREMA","Fl. Cochinch. ed. 1 539, 562 1790","accepted"
"taxon-1-Trema_micrantha","Trema micrantha","Blume","species","","","Trema","Ann. Mus. Lugd.-Bat. 2 58 1853","accepted"
"taxon-21-MORACEAE","MORACEAE","","family","MORACEAE","","","","accepted"
"taxon-Moreae","Moreae","","tribe","","","","","accepted"
"taxon-Artocarpeae","Artocarpeae","","tribe","","","","","accepted"
"taxon-Dorstenieae","Dorstenieae","","tribe","","","","","accepted"
"taxon-Castilleae","Castilleae","","tribe","","","","","accepted"
"taxon-Ficeae","Ficeae","","tribe","","","","","accepted"
"taxon-1-ARTOCARPUS","ARTOCARPUS","J.R. & G. Forster","genus","","","ARTOCARPUS","Char. Gen. Pl. ed. 1 101 t. 51 1775 (""1776"") nom. cons.","accepted"
"taxon-1-Artocarpus_altilis","Artocarpus altilis","Fosb.","species","","","Artocarpus","J. Wash. Acad. Sci. 31 95 1941","accepted"
"taxon-2-Artocarpus_heterophyllus","Artocarpus heterophyllus","Lam.","species","","","Artocarpus","Encycl. 3 209 1789","accepted"
"taxon-2-BAGASSA","BAGASSA","Aubl.","genus","","","BAGASSA","Hist. Pl. Guiane 2 Suppl. 15 1775","accepted"
"taxon-1-Bagassa_guianensis","Bagassa guianensis","Aubl.","species","","","Bagassa","Hist. Pl. Guiane 2 Suppl. 15","accepted"
"taxon-3-BATOCARPUS","BATOCARPUS","H. Karst.","genus","","","BATOCARPUS","Fl. Columb. 2 67 1863","accepted"
"taxon-1-Batocarpus_amazonicus","Batocarpus amazonicus","Fosb.","species","","","Batocarpus","Proc. Bioi. Soc. Wash. 55 99 1942","accepted"
"taxon-4-BROSIMUM","BROSIMUM","Sw.","genus","","","BROSIMUM","Prodr. 12 1788 nom. cons.","accepted"
"taxon-1-Brosimum_acutifolium","Brosimum acutifolium","Huber","species","","","Brosimum","Bol. Mus. Paraense Hist. Nat. 6 6 1910","accepted"
"taxon-1a-Brosimum_acutifolium","Brosimum acutifolium","Huber","species","","","Brosimum","","accepted"
"taxon-1b-Brosimum_acutifolium","Brosimum acutifolium","Huber","species","","","Brosimum","Acta Bot. Neerl. 19 326 1970","accepted"
"taxon-2-Brosimum_alicastrum","Brosimum alicastrum","Sw.","species","","","Brosimum","Prodr. 12 1788","accepted"
"taxon-Brosimum_alicastrum","Brosimum alicastrum","Sw.","species","","","Brosimum","Acta Bot. Neerl. 19 326 1970","accepted"
"taxon-3-Brosimum_guianense","Brosimum guianense","Huber","species","","","Brosimum","Bol. Mus. Paraense Hist. Nat. 5 337 1909","accepted"
"taxon-4-Brosimum_lactescens","Brosimum lactescens","C.C. Berg","species","","","Brosimum","Acta Bot. Neerl. 19 326 1970","accepted"
"taxon-5-Brosimum_parinarioides","Brosimum parinarioides","Ducke","species","","","Brosimum","Arch. Jard. Bot. Rio de Janeiro 3 27","accepted"
"taxon-Brosimum_parinarioides","Brosimum parinarioides","Ducke","species","","","Brosimum","","accepted"
"taxon-6-Brosimum_rubescens","Brosimum rubescens","Taub.","species","","","Brosimum","Bot. Jahrb. Syst. 12 Beibl. 27 4 1980","accepted"
"taxon-7-Brosimum_utile","Brosimum utile","Pitt.","species","","","Brosimum","Contr. U.S. Natl. Herb. 20 102 1918","accepted"
"taxon-Brosimum_utile","Brosimum utile","Pitt.","species","","","Brosimum","Acta Bot. Neerl. 19 328 1970","accepted"
"taxon-5-CLARISIA","CLARISIA","Ruiz & Pav.","genus","","","CLARISIA","Fl. Peruv. Prodr. 128 1794 nom. cons.","accepted"
"taxon-1-Clarisia_ilicifolia","Clarisia ilicifolia","Lanj. & Rossberg","species","","","Clarisia","Recueil Trav. Bot. Neerl. 33 717 1936","accepted"
"taxon-2-Clarisia_racemosa","Clarisia racemosa","Ruiz & Pav.","species","","","Clarisia","Syst. Veg. Fl. Peruv. Chil. 255 1798","accepted"
"taxon-6-DORSTENIA","DORSTENIA","L.","genus","","","DORSTENIA","Sp. Pl. 121 1753","accepted"
"taxon-1-Dorstenia_brasiliensis","Dorstenia brasiliensis","Lam.","species","","","Dorstenia","Encycl. 2 317 1786","accepted"
"taxon-2-Dorstenia_cayapia","Dorstenia cayapia","Veil.","species","","","Dorstenia","Fl. Flum. 52 1829 (""1825"")","accepted"
"taxon-Dorstenia_cayapia","Dorstenia cayapia","Veil.","species","","","Dorstenia","Proc. Kon. Ned. Akad. Wetensch. Ser. C. 88 143 1986","accepted"
