"taxonID","description"
"taxon-20-ULMACEAE","Trees, shrubs or climbers, terrestrial, monoecious (or dioecious), sap watery. Leaves alternate, distichous; stipules free, lateral ; blade entire, pinnately veined. Inflorescences in the leaf axils or just below the leaves, bisexual or unisexual, branched or unbranched, bracteate. Flowers unisexual (or bisexual); tepals (3), 4 or 5 ; stamens (3), 4, 5, or up to 8 , straight in the bud; ovary free, unilocular, ovule 1 , subapically attached, stigmas 2 , entire or furcate . Fruit drupaceous; endosperm lacking or present; cotyledons various."
"taxon-1-AMPELOCERA","Trees, without spines, monoecious or dioecious (?). Inflorescences uni-sexual or bisexual (?). Tepals (3 or) 4 ; stamens (3-)4-8 ; stigmas unbranched. Fruit at least 10 mm long ."
"taxon-1-Ampelocera_edentula","Tree up to 25 m tall . Branchlets 1.5-3 mm thick , glabrous . Stipules 2-4 mm long , appressed-puberulous , caducous or subpersistent; petiole ca. 0.5-1.5 cm long ; blade (sub)coriaceous , elliptic to narrowly elliptic or ovate to narrowly ovate, 4-20 x 2-8.5 cm , more or less unequal-sided , apex acuminate , base acute to rounded , both surfaces glabrous ; secondary veins 5-9 pairs . Inflorescences paired or solitary, dichotomously branched, up to 1.5 cm long , bracteate. Flowers bisexual (or unisexual?), with very short pedicel; tepals (3 or) 4 , basally connate ; stamens (3-)4(-8) , (if more than 4, then often not opposite the tepals) ; stigmas subulate , ca. 1 mm long . Fruit ellipsoid , 10-15 mm long , at maturity yellow ."
"taxon-2-CELTIS","Climbers, shrubs or treelets with spines, monoecious. Inflorescences bisexual or unisexual. Tepals 5 ; stamens 5 and opposite the tepals ; stigmas furcate. Fruit at least 10 mm long ."
"taxon-1-Celtis_iguanaea","Climber, shrub or treelet, up to ca. 6 m tall , with solitary or paired, up to 1.5 cm long , curved spines . Branchlets 1-4 mm thick , puberulous to pubescent or subglabrous . Stipules 0.2-0.5 cm long , puberulous to subglabrous , caducous; petiole 0.5-1.5 cm long ; blade chartaceous , narrowly ovate to ovate to narrowly elliptic to elliptic , 3-14 x 2-6.5 cm , apex acute to acuminate , base obtuse to subcordate , margin serrate to crenate-dentate , both surfaces smooth to scabridulous , puberulous to hispidulous to pubescent or subglabrous ; secondary veins 2-4 pairs . Inflorescences in the leaf axils or just below the leaves. Staminate flowers sessile; tepals 5 , 1-1.5 mm long . Pistillate flowers short-pedicellate; tepals 5 , ca. 1.5 mm long ; stigmas 5-8 mm long . Fruit ellipsoid to ovoid , (when dry) ca. 10-15 mm long , at maturity orange to red ."
"taxon-3-TREMA","Trees or shrubs without spines, dioecious or monoecious. Inflorescences bisexual or unisexual. Tepals 5 ; stamens 5 and opposite the tepals ; stigmas unbranched. Fruit up to 3 mm long ."
"taxon-1-Trema_micrantha","Tree up to 15(-20) m tall . Branchlets 1.5-4 mm thick , puberulous . Stipules 0.2-0.5 cm long , puberulous , caducous (or subpersistent); petiole 0.2-1 cm long ; blade chartaceous , narrowly ovate, 3.5-18 x 1-6 cm , more or less unequal-sided , apex faintly acuminate to subcaudate , base truncate to subcordate , margin serrate (to crenate) , scabrous , hispidulous above, smooth to scabrous , sparsely to densely hirtellous to subtomentose or puberulous to hispidulous beneath ; secondary veins 4-5 pairs . Inflorescences (in pairs) in the leaf axils, up to 2 cm long , branched or unbranched. Staminate flowers subsessile; tepals 5 , ca. 1.5 mm long . Pistillate flowers pedicellate; tepals 5 , 1-1.5 mm long . Drupes ellipsoid to subglobose , 2-2.5 mm long , at maturity orange or reddish ."
"taxon-21-MORACEAE","Plants woody or rarely herbaceous, terrestrial or hemi-epiphytic, dioecious or monoecious, with milksap. Leaves alternate, in spirals or distichous, rarely opposite; petiolate; stipules fully amplexicaul to lateral , free or connate ; blade basally attached, simple, venation pinnate, (sub)palmate . Inflorescences bisexual or unisexual, racemose, spicate, globose-capitate, or organised in pseudanthia with a fleshy receptacle and then discoid-capitate to cup-shaped and involucrate, or urceolate , many- to one-flowered , with or without bracts . Flowers unisexual, free or connate or adnate to a receptacle . Staminate flowers: tepals 2-4(-7) , free or connate , or perianth lacking; stamens 4-1 , straight or inflexed before anthesis ; pistillode present or absent. Pistillate flowers: tepals (3-)4(-7) , free or connate ; pistil 1 , ovary unilocular, free or adnate to the perianth , stigmas 2 or 1 , ovule 1 , (sub)apically attached. Fruit an achene, or more or less drupaceous, or forming a drupaceous whole with the enlarged, fleshy perianth or forming a one- to many-seeded drupaceous whole with both the perianth and the fleshy receptacle ; seed large and without endosperm, or small and with endosperm, cotyledons flat or thick, equal or unequal ."
"taxon-Moreae","plants woody, with or without uncinate hairs ; staminate inflorescences racemose, spicate or globose-capitate ; stamens inflexed in bud."
"taxon-Artocarpeae","plants woody, with or without uncinate hairs ; staminate inflorescences racemose or spicate ; pistillate inflorescences globose-capitate, racemose to spicate or one-flowered ; stamens 4 or less , straight in bud ."
"taxon-Dorstenieae","plants woody or herbaceous, with uncinate hairs ; inflorescences bisexual, secondarily unisexual; receptacle discoid, turbinate or globose, not involucrate , bracts often (sub)peltate ."
"taxon-Castilleae","plants woody, with self-pruning lateral branches , without tuncinate hairs ; inflorescences unisexual, receptacle discoid to cup-shaped, involucrate , bracts basally attached."
"taxon-Ficeae","plants woody, without uncinate hairs ; inflorescences bisexual, receptacle urceolate , bracts basally attached."
"taxon-1-ARTOCARPUS","Trees, monoecious. Leaves in spirals; stipules fully amplexicaul, free; blade entire or pinnately incised, innately veined. Inflorescences unisexual, in the leaf axils or on the main branches and the trunk, usually with bracts . Staminate inflorescences clavate to subspicate ; perianth tubular ; stamens 1 . Pistillate inflorescences globose to ellipsoid capitate , flowers numerous ; stigmas 1-2 , subulate to spathulate . Infructescences large, with a firm outer layer and a soft layer containing the fruits; seed large, without endosperm, cotyledons equal and thick ."
