"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Ampelocera_edentula","adabadan","Arow.","",""
"taxon-1-Ampelocera_edentula","kwaskwasi-oedoe","Sran.","",""
"taxon-1-Trema_micrantha","kabuyakoro","Arow.","",""
"taxon-1-Trema_micrantha","kopi-kopi","Sran.","",""
"taxon-1-Artocarpus_altilis","belphoet","Hindi","",""
"taxon-1-Artocarpus_altilis","bredebon","Cre.","",""
"taxon-1-Artocarpus_altilis","brood- vruchtboom","Dutch","",""
"taxon-1-Artocarpus_altilis","man-van-woord","Sran.","",""
"taxon-1-Artocarpus_altilis","breadfruit","English","",""
"taxon-1-Artocarpus_altilis","njamsi-bredebon","Cre.","",""
"taxon-1-Artocarpus_altilis","soekoen","Jav.","",""
"taxon-1-Artocarpus_altilis","breadnut","English","",""
"taxon-1-Artocarpus_altilis","kaloeweh","Jav.","",""
"taxon-1-Artocarpus_altilis","kastanjebroodvrucht","Sran.","",""
"taxon-1-Artocarpus_altilis","katahar","Hindi","",""
"taxon-1-Artocarpus_altilis","sine-bredebon","Cre.","",""
"taxon-2-Artocarpus_heterophyllus","jack","English","",""
"taxon-2-Artocarpus_heterophyllus","jaquier","French","",""
"taxon-2-Artocarpus_heterophyllus","meolki katahar","Hindi","",""
"taxon-2-Artocarpus_heterophyllus","nangka","Jav.","",""
"taxon-1-Bagassa_guianensis","bacasse","Car.","",""
"taxon-1-Bagassa_guianensis","bagasse","Cre.","",""
"taxon-1-Bagassa_guianensis","bakassa","English","",""
"taxon-1-Bagassa_guianensis","bakasse","Sur.","",""
"taxon-1-Bagassa_guianensis","cow wood","Paramak.","",""
"taxon-1-Bagassa_guianensis","kaw-oedoe","Arow.","",""
"taxon-1-Bagassa_guianensis","odon","","",""
"taxon-1-Bagassa_guianensis","odou","","",""
"taxon-1-Bagassa_guianensis","odoun","","",""
"taxon-1-Bagassa_guianensis","yawahedan","","",""
"taxon-1a-Brosimum_acutifolium","iari","Arow.","",""
"taxon-1a-Brosimum_acutifolium","takini","Arow.","",""
"taxon-1a-Brosimum_acutifolium","taquini","Car.","",""
"taxon-1a-Brosimum_acutifolium","tauni","Palikur","",""
"taxon-1a-Brosimum_acutifolium","walti","Saramak.","",""
"taxon-3-Brosimum_guianense","bois de lettre","French","",""
"taxon-3-Brosimum_guianense","kapiteinletterhout","Sran.","",""
"taxon-3-Brosimum_guianense","letterhout","English","",""
"taxon-3-Brosimum_guianense","letter wood","French","",""
"taxon-3-Brosimum_guianense","lettre mouchette","Sur. Dutch","",""
"taxon-3-Brosimum_guianense","manletterhout","Car.","",""
"taxon-3-Brosimum_guianense","paida","Palikur","",""
"taxon-3-Brosimum_guianense","pakael","Wayapi","",""
"taxon-3-Brosimum_guianense","pakasa","English","",""
"taxon-3-Brosimum_guianense","snake wood","Arow.","",""
"taxon-3-Brosimum_guianense","sokone ibiberoe","? Guyana","","true"
"taxon-3-Brosimum_guianense","tibikishe","","",""
"taxon-4-Brosimum_lactescens","faux bois d'arc","French","",""
"taxon-4-Brosimum_lactescens","kumakaballi","Arow.","",""
"taxon-4-Brosimum_lactescens","manletterhout","Guyana","",""
"taxon-4-Brosimum_lactescens","pailala","Sran.","",""
"taxon-Brosimum_parinarioides","doekali","Sur.","",""
"taxon-Brosimum_parinarioides","doekaliballi","Arow.","",""
"taxon-6-Brosimum_rubescens","bois d'arc","French","",""
"taxon-6-Brosimum_rubescens","bois de lettre","Creole","",""
"taxon-6-Brosimum_rubescens","bois satine","French","",""
"taxon-6-Brosimum_rubescens","doekaliballi ibiberoebaria","Arow.","",""
"taxon-6-Brosimum_rubescens","lettre ravane","French","",""
"taxon-6-Brosimum_rubescens","lettres rouges","French","",""
"taxon-6-Brosimum_rubescens","pairi seine","Paliku","",""
