"taxonID","habitat"
"taxon-1-Ampelocera_edentula","Habitat: in non-inundated (or in riverine) forest."
"taxon-1-Celtis_iguanaea","Habitat: in (dry) forest and secondary vegetation."
"taxon-1-Trema_micrantha","Habitat: very common as pioneer in secondary vegetation."
"taxon-1-Bagassa_guianensis","Habitat: in evergreen to semi-evergreen, non-inundated, high forest, also in secondary vegetation ."
"taxon-1-Batocarpus_amazonicus","Habitat: in evergreen, non-inundated, high forest."
"taxon-1a-Brosimum_acutifolium","Habitat: in evergreen, non-inundated, high forest."
"taxon-1b-Brosimum_acutifolium","Habitat: in evergreen, non-inundated, high forest."
"taxon-Brosimum_alicastrum","Habitat: in semi-deciduous and evergreen, non-inundated forest, also in secondary growth."
"taxon-3-Brosimum_guianense","Habitat: in evergreen to semi-deciduous, non-inundated forest, also in secondary growth and in savanna forest."
"taxon-4-Brosimum_lactescens","Habitat: in evergreen, non-inundated, high forest."
"taxon-Brosimum_parinarioides","Habitat: in evergreen, non-inundated, high forest."
"taxon-6-Brosimum_rubescens","Habitat: in evergreen, non-inundated, high forest."
"taxon-Brosimum_utile","Habitat: in evergreen, non-inundated, high forest."
"taxon-1-Clarisia_ilicifolia","Habitat: in the undergrowth of evergreen, non-inundated, high forest."
"taxon-2-Clarisia_racemosa","Habitat: in evergreen to semi-evergreen, non-inundated, high forest."
"taxon-1-Dorstenia_brasiliensis","Habitat: in cerrado and savanna vegetation, often near streams, among boulders ."
"taxon-Dorstenia_cayapia","Habitat: usually in cerrado and savanna vegetation, in shade or half-shade."
"taxon-1-Ficus_albert-smithii","Habitat: in high forest and savanna forest ."
"taxon-2a-Ficus_guianensis","Habitat: common, especially in savanna forest."
"taxon-2b-Ficus_subapiculata","Habitat: forest."
"taxon-2c-Ficus_mathewsii","Habitat: in forest and savanna."
"taxon-2d-Ficus_greiffiana","Habitat: in forest."
"taxon-2e-Ficus_americana","Habitat: The West Indies, extending through Central America to Ecuador, at low altitudes; also in eastern Venezuela (Bolivar) and Guyana at altitudes between 1200 and 2200 m ."
"taxon-3-Ficus_blepharophylla","Habitat: possibly occurring on rocks."
"taxon-4-Ficus_broadwayi","Habitat: in upland riverine forest."
"taxon-5-Ficus_caballina","Habitat: in upland and riverine forest."
"taxon-6-Ficus_catappifolia","Habitat: in various types of forest and in savannas."
"taxon-7a-Ficus_amazonica","Habitat: in various types of forest."
"taxon-7b-Ficus_eximia","Habitat: in various types of forest."
"taxon-8-Ficus_cremersii","Habitat: in forest."
"taxon-9-Ficus_donnell-smithii","Habitat: in forest."
"taxon-10-Ficus_hebetifolia","Habitat: in forest."
"taxon-Ficus_insipida","Habitat: in more or less open (e.g. riverine) forest."
"taxon-12-Ficus_krukovii","Habitat: in various types of forest."
"taxon-13-Ficus_leiophylla","Habitat: in forest."
"taxon-14-Ficus_malacocarpa","Habitat: in various types of forest."
"taxon-15-Ficus_maroniensis","Habitat: in forest ."
"taxon-16-Ficus_matiziana","Habitat: in forest."
"taxon-17-Ficus_maxima","Habitat: often in riverine, marshy, or secondary forest."
"taxon-18-Ficus_nymphaeifolia","Habitat: in various types of forest."
"taxon-19-Ficus_pakkensis","Habitat: in forest."
"taxon-20-Ficus_paludica","Habitat: in marshy places."
"taxon-21-Ficus_panurensis","Habitat: in (riverine) forest."
"taxon-22-Ficus_paraensis","Habitat: common, especially along rivers."
"taxon-23a-Ficus_pertusa","Habitat: in various types of forest."
"taxon-23b-Ficus_padifolia","Habitat: in forest."
"taxon-23c-Ficus_schumacheri","Habitat: in various types of forest, often along rivers."
"taxon-24-Ficus_piresiana","Habitat: mostly in riverine forest."
"taxon-25-Ficus_tepuiensis","Habitat: at altitudes between 1000 and 1800 m ."
"taxon-26-Ficus_trigona","Habitat: usually on periodically inundated banks."
"taxon-27b-Ficus_gomelleira","Habitat: in various types of forest."
"taxon-1-Helicostylis_pedunculata","Habitat: in non-inundated forest."
"taxon-2-Helicostylis_tomentosa","Habitat: in non-inundated forest ."
"taxon-Maclura_tinctoria","Habitat: in forest and secondary growth."
"taxon-1-Maquira_guianensis","Habitat: in non-inundated forest."
"taxon-2-Maquira_sclerophylla","Habitat: in non-inundated forest."
"taxon-1-Naucleopsis_amara","Habitat: in non-inundated forest."
"taxon-2-Naucleopsis_glabra","Habitat: in non-inundated forest."
"taxon-3-Naucleopsis_guianensis","Habitat: in non-inundated forest."
"taxon-Perebea_guianensis","Habitat: in non-inundated forest."
"taxon-2a-Perebea_mollis","Habitat: in non-inundated forest."
"taxon-2b-Perebea_mollis","Habitat: in non-inundated forest."
"taxon-1-Pseudolmedia_laevigata","Habitat: in forest at altitudes up to 1300 m ."
"taxon-2-Pseudolmedia_laevis","Habitat: in non-inundated forest."
"taxon-Sorocea_hirtella","Habitat: in non-inundated (e.g., Wallaba or mixed) forest, in the Pakaraima Mts. at altitudes up to 2200 m ."
"taxon-2a-Sorocea_muriculata","Habitat: in undergrowth of non-inundated forest."
"taxon-2b-Sorocea_muriculata","Habitat: in undergrowth of non-inundated forest."
