"taxonID","locality","localityType","distributionText"
"taxon-20-ULMACEAE","Pantropical, extending to north- and south-temperate regions","world","Distribution: Pantropical, extending to north- and south-temperate regions : 15 genera and approx. 150 species; in the Neotropics 6 (or 7) genera and 20-25 species; in the Guianas 3 genera, with one species each."
"taxon-20-ULMACEAE","Neotropics","world","Distribution: Pantropical, extending to north- and south-temperate regions : 15 genera and approx. 150 species; in the Neotropics 6 (or 7) genera and 20-25 species; in the Guianas 3 genera, with one species each."
"taxon-20-ULMACEAE","Guianas","region","Distribution: Pantropical, extending to north- and south-temperate regions : 15 genera and approx. 150 species; in the Neotropics 6 (or 7) genera and 20-25 species; in the Guianas 3 genera, with one species each."
"taxon-1-AMPELOCERA","Neotropics","world","Distribution: Neotropics about 5 species, one of them in the Guianas ."
"taxon-1-AMPELOCERA","Guianas","region","Distribution: Neotropics about 5 species, one of them in the Guianas ."
"taxon-1-Ampelocera_edentula","Guianas","region","Distribution: Guianas and Amazon Basin ."
"taxon-1-Ampelocera_edentula","Amazon Basin","region","Distribution: Guianas and Amazon Basin ."
"taxon-2-CELTIS","Neotropics","world","Distribution: In the tropics, extending to temperate regions, 50-60 species; in the Neotropics 10(-15) species; in the Guianas one species."
"taxon-2-CELTIS","Guianas","region","Distribution: In the tropics, extending to temperate regions, 50-60 species; in the Neotropics 10(-15) species; in the Guianas one species."
"taxon-1-Celtis_iguanaea","West Indies","region","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
"taxon-1-Celtis_iguanaea","Mexico","country","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
"taxon-1-Celtis_iguanaea","southern Brazil","region","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
"taxon-1-Celtis_iguanaea","Guianas","region","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
"taxon-1-Celtis_iguanaea","Guyana","country","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
"taxon-1-Celtis_iguanaea","Kanuku Mts.","region","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
"taxon-1-Celtis_iguanaea","Surinam","country","Distribution: West Indies and Mexico to southern Brazil ; not com- mon in the Guianas : Guyana ( Kanuku Mts. ), Surinam ( Kabalebo region ) and French Guiana (Montagne du Mahury)."
