taxonID,description,type,rightsHolder,source,license,rights
wfo-0000654286,De l'Abyssinie au Sud du Territoire du Tanganyika,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000625624,De la Côte d'Ivoire à l'Angola de l'Uganda au Territoire du Tanganyika,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000374730,Du Sierra Leone à l'Angola de l'Uganda (jusqu'à 1200 m d'altitude) jusqu'à l'Usambara,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000374724,"Du Sierra Leone à l'Uganda, Angola (Afrique orientale?)",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000456573,De la Sénégambie au Cameroun et à l'Angola de l'Uganda au Nyasaland,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000538843,Du Sierra Leone à Fernando Po,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000569613,"De la Côte d'Ivoire à l'Angola, Nyasaland, Zambèze",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000690537,Toute l'Afrique orientale depuis l'Égypte et la côte des Somalies jusqu'en Angola (variétés) et au Nyasaland.; Arabie; Comores,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000689380,"Du Sierra Leone à l'Angola, Uganda, Kenya, Territoire du Tanganyika",distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000687678,Iles du Cap Vert toute l'Afrique tropicale et l'Afrique méridionale,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000690786,En Afrique tropicale du Sierra Leone à l'Éthiopie au Nord et au Nyasaland au Sud,distribution,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
