taxonID,description,type,rightsHolder,source,license,rights
wfo-0000216117,Probablement Vulnérable (VU) ; connu de 7 localités situées pour la plupart en dehors des aires protégées. Son existence est menacée par la dégradation et la réduction de son habitat.,conservation,Meise Botanic Garden,FAC-0000216117,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000216238,Savanes côtières ; dans le territoire de la Flore et ailleurs de 0 à 100 m d’altitude.,conservation,Meise Botanic Garden,FAC-0000216238,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000216286,"Savane de terre basse dans les zones sablonneuses sèches, le long des cours d’eau en conditions tropicales ; dans le territoire de la Flore entre 700 et 900 m d’altitude, ailleurs jusqu’à 1300 m.",conservation,Meise Botanic Garden,FAC-0000216286,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000218102,"Peu répandu, mais connu de plus de 30 spécimens et d’un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000218102,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000220101,Probablement Préoccupation mineure (LC) ; connu de plus de 80 localités.,conservation,Meise Botanic Garden,FAC-0000220101,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000220543,"Probablement En Danger (EN) ; connu de 5 localités, dont certaines ne sont pas protégées.",conservation,Meise Botanic Garden,FAC-0000220543,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000220564,"Probablement Préoccupation mineure (LC) ; espèce largement répandue, connue de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000220564,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000220678,Probablement Préoccupation mineure (LC) ; connu de plus de 20 localités dont certaines ne sont pas protégées.,conservation,Meise Botanic Garden,FAC-0000220678,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000220726,Probablement Préoccupation mineure (LC) ; connu de plus de 50 localités.,conservation,Meise Botanic Garden,FAC-0000220726,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000220780,Probablement Préoccupation mineure (LC) ; connu de plus de 20 localités.,conservation,Meise Botanic Garden,FAC-0000220780,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000221737,"Forêts denses humides, forêts denses semi-décidues, forêts marécageuses ; dans le territoire de la Flore à 300–400m d’altitude ; ailleurs à 0–500 m.",conservation,Meise Botanic Garden,FAC-0000221737,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000221741,"Forêts denses humides ou semi-décidues, forêts marécageuses ou périodiquement inondées, recrus forestiers, forêts à Gilbertiodendron dewevrei, Brachystegia laurentii et Entandrophragma angolense, ; dans le territoire de la Flore à 290–1000 m d’altitude, ailleurs jusqu’à 1500 m.",conservation,Meise Botanic Garden,FAC-0000221741,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000221743,"Forêts semi-décidues, forêts secondaires, forêts sur sols marécageux ou de terre ferme, forêts à Gilbertiodendron dewevrei ou Brachystegia laurentii, clairières, bords des routes ; dans le territoire de la Flore à 280–520 m d’altitude, ailleurs à 100–500 m.",conservation,Meise Botanic Garden,FAC-0000221743,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000221744,"Forêts denses humides ou semi-décidues, forêts marécageuses, forêts à Gilbertiodendron dewevrei, Brachystegia laurentii ou Entandrophragma angolense, aussi en forêt secondarisée ou en îlots forestiers ; dans le territoire de la Flore à 280–950 m d’altitude, ailleurs jusqu’à 1500 m.",conservation,Meise Botanic Garden,FAC-0000221744,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222718,"Avec une distribution restreinte, dans un habitat commun ; probablement En Danger (EN), mais plus de données nécessaires du Gabon.",conservation,Meise Botanic Garden,FAC-0000222718,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222725,"Peu répandu, dans un habitat assez commun, mais avec une plage d’altitude limitée ; peut-être Préoccupation Mineure (LC), mais davantage de données sont nécessaires.",conservation,Meise Botanic Garden,FAC-0000222725,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222726,Répandu dans de nombreux habitats communs ; probablement Préoccupation Mineure (LC).,conservation,Meise Botanic Garden,FAC-0000222726,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222731,"Assez répandu, avec de nombreuses collections en République démocratique du Congo et dans de nombreux habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222731,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222739,"Assez répandu, avec de nombreux spécimens d’un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222739,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222746,"Avec une aire de répartition limitée, mais dans des habitats communs et une large gamme d’altitude, sans menace évidente ; probablement Préoccupation Mineure (LC), mais des données spécifiques sur les raisons pour lesquelles l’espèce n’est que rarement récoltée sont nécessaires.",conservation,Meise Botanic Garden,FAC-0000222746,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222750,"Assez répandu, connu d’un grand nombre de spécimens et d’un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222750,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222762,"Assez répandu, dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222762,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222772,"Répandu, avec de nombreux spécimens dans des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222772,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222778,"Assez répandu, dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222778,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222790,"Répandu, dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222790,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222794,"Répandu, dans une série d’habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222794,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222797,"Avec une distribution limitée, mais avec de nombreux spécimens et dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222797,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222799,"Avec une distribution assez restreinte, mais dans des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222799,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222801,"Moyennement répandu, dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222801,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222806,"Avec une distribution restreinte et peu de spécimens, tout en étant dans un habitat commun, mais avec une plage d’altitude limitée ; peut-être encore Préoccupation Mineure (LC), mais davantage de données sont nécessaires.",conservation,Meise Botanic Garden,FAC-0000222806,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222807,"Assez répandu, avec de nombreux spécimens en habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222807,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222837,"Largement répandu, dans de nombreux habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222837,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000222844,"Assez répandu, avec de nombreux spécimens dans un habitat légèrement restreint, qui pourrait être sous pression en de nombreux endroits ; probablement encore Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000222844,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
