taxonID,description,type,rightsHolder,source,license,rights
wfo-7000000471,"Arbustes , lianes ou herbes, à substances aromatiques et à goût piquant.'Feuilles'entières, alternes, opposées ou verticillées.'Épis'axillaires, terminaux ou opposés aux feuilles, solitaires ou groupés, cylindriques, denses, pouvant se transformer en grappes après la fécondation.'Fleurs'petites, nues, ♂, ♀ ou ☿, situées à l'aisselle d'une bractée généralement peltée abritant l'ovaire et les étamines avant leur maturité; étamines 1-6; ovaire à 1-6 carpelles, 1-loculaire, à 1 ovule orthotrope.'Baies ou drupes, en général peu charnues; graines à périsperme très développé et riches en réserves autour de l'embryon.\n\t\t\tFamille renfermant 2 des plus grands genres du règne végétal :'Piper'et'Peperomia , caractéristiques des forêts intertropicales où ils constituent, dans certaines régions, un élément important du sous-bois, mais dont le rôle au Congo belge est assez secondaire.",morphology,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000029808,"Arbustes'ou lianes à feuilles toujours alternes.'Fleurs'☿ ou ♂♀, en épis dressés; étamines 1-6 (en général 2-3) à anthères caduques; ovaire sessile; stigmates 2-3 (6).'Baies globuleuses, sessiles ou pédonculées.\n\t\t\t\tGenre comprenant ± 650 espèces dont beaucoup sont riches en alcaloïdes (pipérine, cubébine, chavicine, etc.) accompagnés d'huiles essentielles (phellandrène, cadinène, etc.) et sont utilisées comme condiment ( P. nigrum'L. cultivé couramment en Indo-Malaisie), comme excitant ( P. betle'L.) et comme ingrédient dans la composition de médicaments toniques, stomachiques, vermifuges, vulnéraires et antigonorrhéiques.'Piper guineense fournit le pipéronal employé en parfumerie.",morphology,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000028681,"Herbes'terrestres ou épiphytes; tiges dressées ou rampantes, souvent ascendantes, portant des feuilles alternes, opposées ou verticillées.'Fleurs'toujours ☿, ± espacées, formant des épis dressés; étamines 2; ovaire sessile à stigmate porté par un style charnu souvent élargi en plateau oblique.'Baies globuleuses ou ovoïdes ne dépassant pas 1 mm de long.\n\t\t\t\tGenre groupant ± 420 espèces et remarquable par ses nombreuses espèces épiphytes.",morphology,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000288,"Herbes'dioïques, submergées acaules, à souche tubéreuse émettant de grandes feuilles pennées ou bipennées, rarement simples, couvertes d'émergences verruqueuses, subulées ou ramifiées.'Inflorescences'en épis denses.'Fleurs'♂ ♀, très petites, nues, abritées par une bractée persistante, les ♂ à 1 étamine à filet très court; les ♀ à ovaire 2-carpellaire, à placentas pariétaux; styles 2, longs, filiformes soudés à la base.'Capsule enveloppée par la bractée concave, s'ouvrant en 2 valves; graines nombreuses, très petites.\n\t\t\tUn genre avec environ 15 espèces, la plupart à Madagascar, les autres en Afrique tropicale, au Sud de l'Équateur, 1 seule dépassant celui-ci.\n\t\t\tHabitant exclusivement les chutes d'eau et les rapides, fixées aux roches dans les courants les plus violents, les Hydrostachyacées ont été longtemps réunies aux Podostémacées, avec lesquelles elles n'ont de commun que l'habitat; ENGLER en fit, en 1930, un ordre distinct. Elles ne fleurissent qu'émergées, quand les eaux baissent. Leur pollinisation est sans doute anémophile.\n\t\t\tLes Hydrostachyacées congolaises ne sont connues que par de rares exemplaires, ne provenant que de six localités, dont une seule est située au Nord de l'Équateur (rapides de l'Aruwimi). D'abondantes récoltes de ces curieux végétaux (en y comprenant du matériel en liquide conservateur) et des observations sur le vif, sont hautement désirables.",morphology,Meise Botanic Garden,FAC-538,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000018564,Caractères de la famille,morphology,Meise Botanic Garden,FAC-538,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000400,"Arbustes'ou arbres, dioïques, plus rarement monoïques.'Feuilles'alternes, dépourvues de stipules, penninerves, à bords entiers, ondulés ou dentés, généralement persistantes et coriaces, parsemées de glandes surtout en dessous et aromatiques.'Épis'axillaires, solitaires, fasciculés, réunis en glomérules ou en épis composés.'Fleurs'♂ ♀, nues, insérées à l'aisselle d'une bractée. Les ♂ à 1-12 étamines; anthères 2-loculaires à déhiscence longitudinale. Les ♀ à ovaire 1-loculaire, muni à la base de bractéoles1; ovule 1, orthotrope, unitégumenté; style court divisé en deux branches stigmatiques lancéolées ou linéaires à filiformes.'Fruits'drupacés, ± globuleux, verruqueux et glandulaires, souvent recouverts d'un enduit cireux.'Graines à testa membraneux, dépourvues d'albumen; embryon droit.\n\t\t\tUn genre, bien représenté à l'époque tertiaire et groupant actuellement ± 70 espèces réparties dans les régions tempérées et les régions tropicales surtout de haute altitude.",morphology,Meise Botanic Garden,FAC-571,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000025124,Caractères de la famille,morphology,Meise Botanic Garden,FAC-571,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000630,"Arbres'ou arbustes, souvent polygames, à feuilles alternes, distiques, presque toujours asymétriques, à stipules latérales, libres, généralement petites et caduques.'Fleurs'petites, ♂, ♀ ou ☿, isolées ou réunies en cymes; périanthe simple à 4-6 segments; étamines en même nombre que les segments du périanthe et opposées à ceux-ci, rarement plus nombreuses, dressées dans le bouton; ovaire supère à 1 (2) carpelle, 1-loculaire, à 1 ovule penduleux inséré au sommet de la loge ou plus bas; style divisé en 2 branches souvent divisées à leur tour.'Fruit : samare ou drupe.\n\t\t\tQuatorze genres et environ 120 espèces : 4 genres et 10 espèces au Congo belge, jouant un rôle assez important dans les forêts primaires, surtout de la périphérie de la cuvette centrale, et spécialement'Trema guineensis , dans les reboisements.",morphology,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000018105,"Arbres'à feuilles entières.'Inflorescences'naissant sur les rameaux sans feuilles de l'année antérieure, formées de fleurs ☿ et de quelques fleurs ♂.'Fleurs'à périanthe de 3-8 segments linéaires lancéolés; étamines 8-10 (12); ovaire comprimé surmonté de 2 styles courts.'Samare arrondie échancrée au sommet montrant la base des styles persistant au fond de l'échancrure.",morphology,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000007143,"Arbres'ou arbustes monoïques (dioïques &quest; ou polygames, à feuilles souvent coriaces et asymétriques, persistantes ou caduques, à 1 ou 3 nervures principales.'Inflorescences'♂ ou ♂ ♀.'Fleurs'♂, ♀ ou ☿ les ♀ toujours moins nombreuses et plus longuement pédicellées; périanthe à 5 (4) segments libres (ou presque) et imbriqués; étamines 5 (4); ovaire sessile; style divisé en 2 branches simples ou bifurquées.'Drupe ± ovoïde, parfois carénée; embryon à très larges cotylédons appliqués l'un contre l'autre.\n\t\t\t\tEnviron 60 espèces des régions chaudes ou tempérées-chaudes; 7 au Congo belge, toutes sans épines, souvent très variables dans la forme et les dimensions de leurs feuilles et (sauf'C. brieyi endémique au Congo belge) à très vaste distribution en Afrique, ce qui explique l'abondante synonymie. Plusieurs espèces jouent un rôle important dans la composition de la forêt guinéenne.",morphology,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000038807,"Arbres'ou arbustes à feuilles penniverves, finement dentées, à stipules caduques.'Fleurs'♂, ♀ ou ☿, réunies en cymes axillaires; périanthe à préfloraison indupliquée-valvaire, à 5 (4) segments; étamines 5 (4); ovaire sessile (rudimentaire dans les ♂).'Drupes ovoïdes ou subglobuleuses; embryon courbe à cotylédons étroits.\n\t\t\t\tEnviron 20 espèces des régions chaudes, 1 au Congo belge.",morphology,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000007491,"Arbres'ou arbustes monoïques, à rameaux épineux.'Feuilles'coriaces plurinerves, à longues stipules soudées l'une à l'autre par un bord et enveloppant le bourgeon terminal, mais rapidement caduques.'Fleurs'très petites unisexuées, les ♂ en cymes axillaires denses, à préfloraison valvaire, à 5 étamines avec un rudiment de pistil entouré de poils, les ♀ solitaires ou peu nombreuses, à préfloraison imbriquée; ovaire sessile; style divisé dès la base en deux longues branches stigmatiques.'Drupe sphérique; embryon recourbé dont un cotylédon est beaucoup plus épais que l'autre.",morphology,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000395,"Arbres , arbustes ou herbes, monoïques ou dioïques, parfois polygames, à tubes laticifères.'Feuilles'alternes simples, penni- ou palminerves, parfois très grandes, à stipules en général caduques, latérales ou axillaires et laissant, dans ce cas, une cicatrice annulaire.'Fleurs'toujours 1-sexuées, réunies en cymes ± contractées 1- ou 2-sexuées, formant souvent des capitules denses sur des réceptacles globuleux, convexes, plans ou concaves, bordés parfois de bractées ou appendices; fleurs ♀ parfois solitaires.'Fleurs'♂ et ♀ souvent très différentes; périgone de 4-2 segments libres ou ± soudés, souvent réduit ou nul; étamines 1-4, à filament réfléchi ou droit dans le bouton, accompagnées ou non d'un pistillode; ovaire 2-carpellaire, 1-loculaire à 1 ovule en général pendant; style 1-2.'Fruits': akènes, baies ou drupes, en général petits, mais souvent réunis en syncarpe (infrutescences) ± volumineux et ± charnus, avec intervention du réceptacle ou du périgone ± accrescent.'Graines avec ou sans albumen; embryon souvent recourbé, à cotylédons souvent inégaux.\n\t\t\tEnviron 1200 espèces presque toutes tropicales; au Congo belge 15 genres dont 2 introduits et 146 espèces.\n\t\t\tFamille très importante au point de vue scientifique par la très grande diversité de ses organes (surtout de ses inflorescences), de ses curieuses particularités écologiques et par le rôle important joué dans les associations par beaucoup de ses espèces, ainsi qu'au point de vue pratique en raison des usages divers de certaines d'entre elles.\n\t\t\tSont à signaler : les inflorescences et les fruits composés (parfois énormes) des genres'Musanga, Treculia, Artocarpus, Ficus'(les figues); les adaptations des'Ficus'à l'épiphytisme et leur extraordinaire symbiose avec les insectes (espèces du genre'Blastophaga ) assurant leur pollinisation.'Musanga smithii , le parasolier, partout répandu, joue un rôle considérable dans le reboisement naturel, et fournit une sève potable,'Chlorophora excelsa ,'Treculia africana ,'Bosqueia angolensis ,'Antiaris \n\t\t\t\n\t\t\t\t Welwitschii'et de nombreux'Ficus'sont, parmi les grands arbres, des éléments importants de la forêt équatoriale, dont quelques-uns (Chlorophora surtout) livrent des bois précieux. Un'Cecropia , introduit d'Amérique et naturalisé, présente des adaptations myrmécophiles célèbres.\n\t\t\tLes graines de'Treculia africana'et de'Bosqueia angolensis'sont alimentaires. Comme producteur de caoutchouc, certains'Ficus'et surtout'Castilloa elastica'Cerv. ont été introduits mais ont été complètement supplantés par l' Hevea . Enfin, l'écorce de plusieurs'Ficus'et de l' Antiaris sert aux indigènes à préparer des tissus pour vêtements.",morphology,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000024882,"Arbre'ou arbuste, mono- ou dioïque.'Feuilles'palminerves, souvent lobées, à stipules latérales caduques.'Inflorescences'axillaires, subsolitaires.'Fleurs'♂ en châtons; périgone à 4 segments; étamines 4, réfléchies dans le bouton.'Fleurs'♀ en épis plus courts que les châtons ♂; périgone à 4 segments enveloppant l'ovaire; ovule pendant; style court, divisé en 2 longs stigmates, ou 2 styles libres.'Drupes'entourées du périgone devenu charnu, agglomérées en un syncarpe globuleux ou allongé.'Graines albuminées.\n\t\t\t\tUne quinzaine d'espèces des régions tempérées chaudes de l'hémisphère boréal, sauf 2 (ou 1&quest; centro-africaines; 2-3 au Congo belge, dont l'une cultivée (parfois subspontanée&quest;.",morphology,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000008014,"Arbres'à latex, dioïques.'Feuilles'pétiolées et stipules latérales caduques.'Inflorescences'en châtons axillaires et solitaires, les ♂ allongés, pendants, les ♀ plus gros et courts.'Fleurs'♂ à périgone membraneux 4-lobé, à 4 étamines, recourbées dans le bouton; fleurs ♀ à périgone ± profondément divisé en 4 segments velus entourés de poils à la base, charnus au sommet, enveloppant l'ovaire; style filiforme simple (en général).'Akènes'comprimés enveloppés du périgone accrescent et légèrement charnu.'Graines exalbuminées.",morphology,Meise Botanic Garden,FAC-569,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
