Volume,Part,type,description,bibliographicCitation,WFOID,language,contributor,audience,rightsHolder,created,creator,source,rights,license,URI
6,3,distribution,"Thailand, Nepal (type), Bhutan, India (Assam, Sikkim).","Anisadenia saxatilis. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 194. Accessed 2021-07-31",wfo-0000537190,EN,K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000537190,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01742
6,3,distribution,"Thailand, Laos, Cambodia (type), and Vietnam.","Aquilaria crassna. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 228. Accessed 2021-07-31",wfo-0000541072,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000541072,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01787
6,3,distribution,"Thailand, Peninsular Malaysia (type), Sumatra.","Aquilaria hirta. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 230. Accessed 2021-07-31",wfo-0000541078,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000541078,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01789
6,3,distribution,"Thailand, India (W. Bengal, Assam), Burma (Tenasserim) Malay Peninsula (type), Sumatra, N. & E. Borneo, Philippines.","Aquilaria malaccensis. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 227. Accessed 2021-07-31",wfo-0001142510,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001142510,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01786
6,3,distribution,"Thailand, known only from the Peninsular Provinces.","Aquilaria subintegra. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 230. Accessed 2021-07-31",wfo-0000541096,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000541096,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01788
6,3,distribution,"Thailand, Sikkim (type), China (W. Hunan. Yunnan), ?Vietnam.","Cardamine circaeoides. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 181. Accessed 2021-07-31",wfo-0000586648,EN,I. Hedge,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000586648,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01718
6,3,distribution,"Europe (type), Asia; an almost cosmopolitan weed.","Cardamine hirsuta. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 180. Accessed 2021-07-31",wfo-0000586924,EN,I. Hedge,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000586924,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01717
6,3,distribution,"Thailand, India, Burma, China (Yunnan), Cambodia, Vietnam, Malaysia, Sumatra, Borneo and West Java (type).","Daphne composita. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 243. Accessed 2021-07-31",wfo-0000637556,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000637556,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01807
6,3,distribution,"Thailand, E. Nepal, India (Sikkim, type, W. Bengal, Assam, Meghalaya), Bangladesh.","Daphne sureil. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 244. Accessed 2021-07-31",wfo-0000637911,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000637911,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01808
6,3,distribution,Known only from Eastern (type) and Northeastern provinces or Thailand.,"Enkleia thorelii. Flora of Thailand. Vol. 6. Part 3, 1997. Pg. 234. Accessed 2021-07-31",wfo-0000668124,EN,B. Peterson,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000668124,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01794
