taxonID,description,type,source,identifier,reference,license
wfo-0000253230,Commonly cultivated for culinary purposes,use,urn:kew.org:fwta:spec:desc:9696,urn:lsid:ipni.org:names:452874-1,,
wfo-0000253248,Commonly cultivated for medicinal purposes,use,urn:kew.org:fwta:spec:desc:9699,urn:lsid:ipni.org:names:452889-1,,
wfo-0000366658,Widely cultivated as a dye-plant (Henna).,use,urn:kew.org:fwta:spec:desc:10602,urn:lsid:ipni.org:names:553638-1,,
wfo-0000294951,The midribs' popular use as poles has prompted the common name of Bamboo-palm.,use,urn:kew.org:fwta:spec:desc:13604,urn:lsid:ipni.org:names:669541-1,,
wfo-0000204544,Frequently cultivated as a fish-poison.,use,urn:kew.org:fwta:spec:desc:14757,urn:lsid:ipni.org:names:521002-1,,
wfo-0000496465,Cultivated for its seed.,use,urn:kew.org:fwta:spec:desc:14939,urn:lsid:ipni.org:names:675994-1,,
wfo-0001131588,"Esteemed for its fruits, whose seeds yield a valuable oil.",use,urn:kew.org:fwta:spec:desc:15508,urn:lsid:ipni.org:names:676426-1,,
wfo-0000475752,Used in live fences in Bamenda.,use,urn:kew.org:fwta:spec:desc:18790,urn:lsid:ipni.org:names:832431-1,,
wfo-0000620125,One of the plants which yield jute.,use,urn:kew.org:fwta:spec:desc:18819,urn:lsid:ipni.org:names:320796-2,,
