taxonID,description,type,source,identifier,reference,license
wfo-0000170206,Native of tropical America.},distribution,urn:kew.org:fwta:spec:desc:3071,urn:lsid:ipni.org:names:512242-1,,
wfo-0000130261,Recorded from Sudan and Tanganyika.,distribution,urn:kew.org:fwta:spec:desc:4451,urn:lsid:ipni.org:names:202503-1,,
wfo-0000787926,In Tanzania and Kenya.,distribution,urn:kew.org:fwta:spec:desc:9491,urn:lsid:ipni.org:names:435936-1,,
wfo-7000000417,A small family found in both temperate and tropical regions of both hemispheres,distribution,urn:kew.org:fwta:fam:desc:4530,urn:lsid:ipni.org:names:77126577-1,,
wfo-7000000550,"Widely distributed in temperate regions, rare in the tropics",distribution,urn:kew.org:fwta:fam:desc:4688,urn:lsid:ipni.org:names:30001425-2,,
wfo-7000000156,"Widely distributed in temperate and tropical regions, especially in mountainous districts, rare in South America and Australasia",distribution,urn:kew.org:fwta:fam:desc:4698,urn:lsid:ipni.org:names:30000887-2,,
wfo-7000000641,"A large family of tropical America, with only a single genus in Africa",distribution,urn:kew.org:fwta:fam:desc:4707,urn:lsid:ipni.org:names:77126589-1,,
wfo-7000000488,"Besides the above indigenous genera, Antigonon leptopus Hook. & Arn., a native of Mexico, is often met with; it is widely cultivated as an ornamental and is known as ""Corallita.""",distribution,urn:kew.org:fwta:fam:desc:4868,urn:lsid:ipni.org:names:30000532-2,,
wfo-7000000487,Fairly abundantly represented in our area,distribution,urn:kew.org:fwta:fam:desc:4921,urn:lsid:ipni.org:names:30000688-2,,
wfo-7000000299,"Besides the above indigenous genera, several others are cultivated and some are more or less naturalized, such as monbretia (Crocosmia aurea Planch.) on Cameroon Mt., Neomarica caerulea (Lodd.) Sprague, N. gracilis (Herb.) Sprague and Trimezia martinicensis (Jacq.) Herb. All are from the New World",distribution,urn:kew.org:fwta:fam:desc:5032,urn:lsid:ipni.org:names:30001783-2,,
wfo-7000000077,"This indusium is really a false indusium or modified leaf margin and the photosynthetic lamina of the fertile frond of Eu–Blechnum, which forms a flange extending beyond the indusium is a new structure (see Bower Ferns 3: 165 (1928))",distribution,urn:kew.org:fwta:fam:desc:5803,urn:lsid:ipni.org:names:30002151-2,,
