WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000234615,fami (ฝามี)(Trang),ver-THA-0000234615.03,0.0,ref-THA-0000234615,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03499,"Mallotus macrostachyus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 407. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234615,lo khon (หลอขน)(Trang),ver-THA-0000234615.04,0.0,ref-THA-0000234615,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03499,"Mallotus macrostachyus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 407. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234615,lo (หลอ)(Narathiwat),ver-THA-0000234615.05,0.0,ref-THA-0000234615,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03499,"Mallotus macrostachyus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 407. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234620,plao thong (เปล้าทอง)(Northeastern),ver-THA-0000234620.01,0.0,ref-THA-0000234620,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03500,"Mallotus metcalfianus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 409. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234676,kra duk kai khao (กระดูกไก่ขาว)(Southwestern),ver-THA-0000234676.01,0.0,ref-THA-0000234676,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03504,"Mallotus pallidus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 414. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234677,sati ton (สตีต้น)(Loei),ver-THA-0000234677.01,0.0,ref-THA-0000234677,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03505,"Mallotus paniculatus paniculatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 416. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234677,"salat pang (สลัดป้าง)(Chanthaburi, Trat)",ver-THA-0000234677.02,0.0,ref-THA-0000234677,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03505,"Mallotus paniculatus paniculatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 416. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234677,"soi dao (สอยดาว)(Chanthaburi, Trat)",ver-THA-0000234677.03,0.0,ref-THA-0000234677,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03505,"Mallotus paniculatus paniculatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 416. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234677,lo khon (หลอขน)(Trang),ver-THA-0000234677.04,0.0,ref-THA-0000234677,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03505,"Mallotus paniculatus paniculatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 416. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234677,saet (แสด)(Peninsular),ver-THA-0000234677.05,0.0,ref-THA-0000234677,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03505,"Mallotus paniculatus paniculatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 416. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234686,salat (สลัด)(Chanthaburi),ver-THA-0000234686.01,0.0,ref-THA-0000234686,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03506,"Mallotus peltatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 418. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234686,khi tao (ขี้เต่า)(Ranong),ver-THA-0000234686.02,0.0,ref-THA-0000234686,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03506,"Mallotus peltatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 418. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,kai khat hin (กายขัดหิน)(Chiang Mai),ver-THA-0000234691.01,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,khi nuea (ขี้เนื้อ)(Chiang Mai),ver-THA-0000234691.02,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,makai khat (มะกายคัด)(Northern),ver-THA-0000234691.03,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,kue-bo (กือบอ)(Karen-Mae Hong Son),ver-THA-0000234691.04,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,sa-bo-se (ซาบอเส่)(Karen-Mae Hong Son),ver-THA-0000234691.05,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,thong khao (ทองขาว)(Loei),ver-THA-0000234691.06,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
