"wfo_id","description","source","bibiographicCitation","URL"
"wfo-0001027050","Chromosome number: 2n=24.","391B7DC4-13F1-4A5A-A00E-17D10999F273","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:818704-1#descriptions"
"wfo-0001028109","Chromosome number: 2n=24.","1896BF28-4515-46A5-8031-3391CF48C25C","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:819298-1#descriptions"
"wfo-0001028242","Chromosome number: 2n=48.","88AD320A-088B-449C-9A90-D368998398B6","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:819373-1#descriptions"
"wfo-0001029101","Chromosome number: 2n=24.","3E745357-6BE5-4989-AC4B-E127E526E4CF","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:930040-1#descriptions"
"wfo-0001029263","Chromosome number: 2n=24.","0C6F9BA5-2481-4880-A8A4-DBA9F763B325","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:819941-1#descriptions"
"wfo-0001029408","Chromosome number: 2n=24.","58D18ABA-FFA9-4506-8B66-1F3C40F61EB7","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:330666-2#descriptions"
"wfo-0001029815","Chromosome number: 2n=72.","5F0DBE92-D391-4484-A039-9E3F8FB76304","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30048260-2#descriptions"
"wfo-0001030827","Chromosome number: 2n=48.","A8631C1F-FDCC-4E7D-9017-6721FA7E4B6C","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:820760-1#descriptions"
"wfo-0001031144","Chromosome number: 2n=24.","2E1B62B6-EEF5-4993-847E-FBB66FF727D3","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:316949-2#descriptions"
"wfo-0001031661","Chromosome number: 2n=48.","DB2A072F-C078-48E6-BC3A-8AED0B53B2DC","Solanaceae, A.E. Gonçalves. Flora Zambesiaca 8:4. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:821213-1#descriptions"
