"wfo_id","description","source","bibiographicCitation","URL"
"wfo-0000080671","Recorded in the Flora Zambesiaca area as a cultivated herb and also as a garden escape, occurring on roadsides and in disturbed areas.","BE4C95D1-EE3E-44F8-8280-968CD7C602FE","Compositae, G. V. Pope. Flora Zambesiaca 6:1. 1992","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:194533-1#descriptions"
"wfo-0000213239","Margins of rainforest and plantations and streamsides; c. 2285 m.","18ACB7BB-5521-4CED-B70C-F0F7534953C5","Leguminosae, various authors. Flora Zambesiaca 3:7. 2003","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475277-1#descriptions"
"wfo-0000214735","Forest, dense thicket on Kalahari sands;850–1500 m.","A1226470-5649-4CE5-91F0-C06129073A79","Leguminosae, R.K. Brummitt, A.C. Chikuni, J.M. Lock and R.M. Polhill. Flora Zambesiaca 3:2. 2007","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:484098-1#descriptions"
"wfo-0000420130","Usually along river banks and dambos but occasionally in drier situations.","9FE06E0E-1C80-4BBA-BD7C-2CA67D142E78","Vahliaceae, D. M. Bridson. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:794918-1#descriptions"
"wfo-0000634449","Rocky hills.","0723C4F1-1F40-44C5-88FF-666BB51141DF","Vitaceae, H. Wild and R. B. Drummond. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:870167-1#descriptions"
"wfo-0000723613","In dry rocky or sandy soils.","DB918E3D-EF41-44F1-A494-A77948C476C0","Celastraceae, N. K. Robson. Flora Zambesiaca 2:2. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:161615-1#descriptions"
"wfo-0001279435","Ecology uncertain.","F773734D-DBE5-4105-ABF1-78261E3FB029","Cucurbitaceae, C. Jeffrey. Flora Zambesiaca 4. 1978","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:294358-1#descriptions"
