"taxonID","locality","localityType","distributionText"
"taxon-110-HIPPOCRATEACEAE","tropics and subtropics of both hemispheres","world","Distribution: Mainly in the tropics and subtropics of both hemispheres ; 23 genera with ca. 300 species, 12 genera in the New World , 11 of which in the Guianas with 40 species."
"taxon-110-HIPPOCRATEACEAE","New World","world","Distribution: Mainly in the tropics and subtropics of both hemispheres ; 23 genera with ca. 300 species, 12 genera in the New World , 11 of which in the Guianas with 40 species."
"taxon-110-HIPPOCRATEACEAE","Guianas","region","Distribution: Mainly in the tropics and subtropics of both hemispheres ; 23 genera with ca. 300 species, 12 genera in the New World , 11 of which in the Guianas with 40 species."
"taxon-1-ANTHODON","Neotropics","world","Distribution: 2 species in the Neotropics , 1 of which in French Guiana ."
"taxon-1-ANTHODON","French Guiana","country","Distribution: 2 species in the Neotropics , 1 of which in French Guiana ."
"taxon-1-Anthodon_decussatum","Colombia","country","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-1-Anthodon_decussatum","Venezuela","country","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-1-Anthodon_decussatum","French Guiana","country","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-1-Anthodon_decussatum","south to the Amazon basin","region","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-1-Anthodon_decussatum","Peru","country","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-1-Anthodon_decussatum","Brazil","country","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-1-Anthodon_decussatum","Bolivia","country","Distribution: Colombia , Venezuela , French Guiana , and south to the Amazon basin ( Peru , Brazil , and Bolivia )."
"taxon-2-CHEILOCLINIUM","Neotropics","world","Distribution: 11 species in the Neotropics , 5 of which occur in the Guianas ."
"taxon-2-CHEILOCLINIUM","Guianas","region","Distribution: 11 species in the Neotropics , 5 of which occur in the Guianas ."
"taxon-1-Cheiloclinium_anomalum","Panama","country","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Venezuela","country","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Guyana","country","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Suriname","country","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Peru","country","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Brazil","country","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Amazonas","state","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Para","state","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Rio de Janeiro","state","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-1-Cheiloclinium_anomalum","Guianas","region","Distribution: Panama , Venezuela , Guyana , Suriname , Peru and Brazil ( Amazonas , Para , Rio de Janeiro ); 26 collections studied, 7 from the Guianas (GU: 2; SU: 5)."
"taxon-2-Cheiloclinium_belizense","Central America","continental region","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Venezuela","country","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Guyana","country","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","French Guiana","country","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Colombia","country","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Brazil","country","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Amazonas","state","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Mato Grosso","state","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-2-Cheiloclinium_belizense","Guianas","region","Distribution: Central America , Venezuela , Guyana , French Guiana , Colombia , Brazil ( Amazonas , Mato Grosso ). ; about 30 collections studied, 9 from the Guianas (GU: 6; FG: 3)."
"taxon-3-Cheiloclinium_cognatum","Costa Rica","country","Distribution: Widespread from Costa Rica to Panama , Tobago , to Northern S. America , Peruvian and Bolivian Amazon , and in Brazil south to Minas Gerais ; more than 200 collections studied, ca. 90 from the Guianas (GU: 7; SU: 44; FG: 38)."
"taxon-3-Cheiloclinium_cognatum","Panama","country","Distribution: Widespread from Costa Rica to Panama , Tobago , to Northern S. America , Peruvian and Bolivian Amazon , and in Brazil south to Minas Gerais ; more than 200 collections studied, ca. 90 from the Guianas (GU: 7; SU: 44; FG: 38)."
"taxon-3-Cheiloclinium_cognatum","Tobago","region","Distribution: Widespread from Costa Rica to Panama , Tobago , to Northern S. America , Peruvian and Bolivian Amazon , and in Brazil south to Minas Gerais ; more than 200 collections studied, ca. 90 from the Guianas (GU: 7; SU: 44; FG: 38)."
"taxon-3-Cheiloclinium_cognatum","Northern S. America","continental region","Distribution: Widespread from Costa Rica to Panama , Tobago , to Northern S. America , Peruvian and Bolivian Amazon , and in Brazil south to Minas Gerais ; more than 200 collections studied, ca. 90 from the Guianas (GU: 7; SU: 44; FG: 38)."
