"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ-1676995392384371474","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Acevedo, P.","3289","guyana"
"occ-6090953873336035347","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","3475","guyana"
"occ--1522724970195605632","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Altson, R.A.","419","guyana"
"occ--5208169740747334151","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Bartlett, W.A.","8552","guyana"
"occ-5253397789964334920","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Broadway, W.E.","214","guyana"
"occ-2104855565062842002","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","555","guyana"
"occ--6184207904677370351","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","4460","guyana"
"occ--1691712376805007345","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","4699","guyana"
"occ-7738131202726636000","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Burchell, W.E.","7578","guyana"
"occ--7894382985387727460","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Cowan, R.S.","39326","guyana"
"occ--5759992126776298151","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","Cruz, J.S. dela","1466","guyana"
"occ--9044980601312759196","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","1629","guyana"
"occ--3927948370856462053","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","1640","guyana"
"occ--4480828468714133393","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","1806","guyana"
"occ-8522346335239642794","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","1862","guyana"
"occ-393715896752889301","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","2252","guyana"
"occ-8162429799515990380","taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","2268","guyana"
