"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-Celastrales","Celastrales","","","","","","","accepted"
"taxon-110-HIPPOCRATEACEAE","HIPPOCRATEACEAE","","family","HIPPOCRATEACEAE","","","","accepted"
"taxon-Hippocrateoideae","Hippocrateoideae","","subfamily","","Hippocrateoideae","","","accepted"
"taxon-Salacioideae","Salacioideae","","subfamily","","Salacioideae","","","accepted"
"taxon-1-ANTHODON","ANTHODON","Ruiz &Pav.","genus","","","ANTHODON","Fl. Peruv. 1 45 1798","accepted"
"taxon-1-Anthodon_decussatum","Anthodon decussatum","Ruiz & Pav.","species","","","Anthodon","Fl. Peruv. 1 45 1798","accepted"
"taxon-2-CHEILOCLINIUM","CHEILOCLINIUM","Miers","genus","","","CHEILOCLINIUM","Trans. Linn. Soc. London 28 420 1872","accepted"
"taxon-1-Cheiloclinium_anomalum","Cheiloclinium anomalum","Miers","species","","","Cheiloclinium","Trans. Linn. Soc. London 28 420 1872","accepted"
"taxon-2-Cheiloclinium_belizense","Cheiloclinium belizense","A.C. Smith","species","","","Cheiloclinium","Brittonia 3 540 fig. 12 1940","accepted"
"taxon-3-Cheiloclinium_cognatum","Cheiloclinium cognatum","A.C. Smith","species","","","Cheiloclinium","Brittonia 3 529 1940","accepted"
"taxon-4-Cheiloclinium_diffusiflorum","Cheiloclinium diffusiflorum","A.C. Smith","species","","","Cheiloclinium","Brittonia3 539 1940","accepted"
"taxon-5-Cheiloclinium_hippocrateoides","Cheiloclinium hippocrateoides","A.C. Smith","species","","","Cheiloclinium","Brittonia 3 546 fig. 12 1940","accepted"
"taxon-3-CUERVEA","CUERVEA","Triana ex Miers","genus","","","CUERVEA","Trans Linn. Soc. London 28 330, 370 1872","accepted"
"taxon-1-Cuervea_kappleriana","Cuervea kappleriana","A.C. Smith","species","","","Cuervea","Brittonia 3 399 1940","accepted"
"taxon-4-ELACHYPTERA","ELACHYPTERA","A.C. Smith","genus","","","ELACHYPTERA","Brittonia 3 383 1940","accepted"
"taxon-1-Elachyptera_floribunda","Elachyptera floribunda","A.C. Smith","species","","","Elachyptera","Brittonia 3 387 fig. 3 1940","accepted"
"taxon-5-HIPPOCRATEA","HIPPOCRATEA","L.","genus","","","HIPPOCRATEA","Gen. Pl. 363 1737","accepted"
