"taxonID","description"
"taxon-110-HIPPOCRATEACEAE","Lianas, shrubs or slender trees, usually glabrous . Branches usually opposite. Leaves opposite or subopposite (alternate in a few extra-Guianan species). Stipules inconspicuous, caducous. Petioles canaliculate ; blades entire to crenate , irregularly distributed black dots often present at the lower surface , often minute glandular dots at the margin . Many species show a well developed latex-system. Inflorescences thyrsoid-paniculate, corymbose, pseudo-cymose, (pseudo-) dichotomously branched or fasciculate , often with yellow exudate in flowers, fruits and occasionally on the branches . Flowers bisexual; calyx not covering the petals in bud, sepals 5 , equal or unequal, connate at the base, imbricate ; petals 5 , free, in bud imbricate (valvate in African species of Hippocratea ) , suberect or spreading at anthesis ; disk extrastaminal, variable in shape: i.e. a low ring, short-tubular, saucer-like, cushion-like, with or without flattened margin, the latter may even be upturned, or disk forming staminiferous pockets ; stamens 3 (5 in Cheiloclinium anomalum ) , filaments ligulate, often considerably widened toward the base , often recurved , anthers basifixed, extrorsely or apically dehiscent by transverse or obliquely confluent clefts, or by vertical not confluent clefts ( Peritassa ) ; ovary superior, 3-locular (5-locular in Cheiloclinium anomalum ) , placentation axile , ovules 2-14 per locule , superposed or collateral, style present or absent, stigmas obsolete, or forming a terminal shield, or stigmas 3 (5 in Cheiloclinium anomalum ), deltoid, entire or emarginate to conspicuously bilobed , opposite to or alternating with the stamens . Fruits either capsular or drupaceous; capsular fruits consisting of 3 mericarps attached to a receptacle, free or connate for the basal half , dehiscent along the median suture ; drupaceous fruits indehiscent, often with persistent, reflexed flower parts; seeds in capsular fruits attached by a basal wing, seeds in drupaceous fruits unwinged, embedded in mucilaginous pulp."
"taxon-Hippocrateoideae","characterized by capsular fruits consisting of 3 mericarps; seeds attached by a basal wing ; wood without bands or islands of included phloem , but sometimes with a thick indented bark and on cross section often showing large rays that appear like spokes of a wheel (lens needed) ."
"taxon-Salacioideae","characterized by drupaceous, indehiscent fruits; unwinged seeds; wood often with wide, concentric rings of included phloem or with small phloem islands , and with narrow, inconspicuous rays ."
"taxon-1-ANTHODON","Lianas, occasionally trees, glabrous . Inflorescences axillary , cymose, 3-6-times branched, pedunculate. Flowers subtended by 2 or 3 minute bracts ; sepals 5 ; petals 5 , conspicuously serrate ; disk subcamose, shortly cylindric with sinuate margin ; stamens 3 , erect , filaments short, broadened towards base , anthers broadly reniform , dehiscing by confluent, transverse, apical clefts ; ovary depressed-trigonous , locules 3 , ovules 8-14 per locule , style stout, stigmas 3 , minute on a triangular stigmatic shield, sometimes somewhat emarginate . Fruit capsular, flattened ; mericarps 3 , connate along lower half, dehiscing by a median suture , adjacent halves coherent , pericarp coriaceous , flabellate-costate without ; seeds affixed by a basal wing, ascending embryoniferous part apical , coriaceous , much shorter than the membranous wing ."
"taxon-1-Anthodon_decussatum","Liana. Petiole 5-12 mm long ; blades chartaceous , olivaceous or greenish when dried , elliptic or elliptic-ovate , 6-15 x 2-5.5 cm , margins crenulate or serrate , apex acuminate , base obtuse or acute ; primary vein prominent or flattened above, prominent below , secondary veins 7-9 per side, prominulous on both surfaces , tertiary veins densely reticulate, prominulous on both surfaces . Inflorescence densely flowered, 1.5-7 cm long , forming a cluster to 8 cm diam. ; peduncle slender , 0.5-3 cm long , somewhat quadrangular ; branchlets subtended by erose bracts; pedicels 2-5 mm long . Flowers fragrant, 5-12 mm diam. ; sepals deltoid to nearly orbicular , to 2 mm long , erosulous or ciliate ; petals greenish or whitish yellow , membranous or slightly fleshy , oblong-elliptic or ovate-lanceolate , 3-4(-7) x 1.3-2(-3.5) mm , margin conspicuously serrate ; disk 1.2-2.3 mm diam. , 0.3-0.4 mm high ; filaments 0.2-0.7 mm long , anthers 0.4-0.7 x 1-1.2 mm ; ovary ca. 1 mm diam. , style to 0.3 mm long , stigmas opposite the stamens. Fruit green , pendent , to 18 cm diam. ; mericarps deltoid or oblong-deltoid , 5-8 cm long and broad , rounded or emarginate at apex, connate about halfway , pericarp 0.3-1 mm thick ; embryoniferous part of the seed ellipsoid or ovoid , ca. 15 x 5 mm , wing obovate-elliptic, slightly falcate, 3-3.5 x 1.5-2 cm , acute at base ."
"taxon-2-CHEILOCLINIUM","Lianas, shrubs or small trees. Secondary veins widely ascending, tertiary veins usually parallel. Inflorescences axillary , thyrsoid, or several times dichotomously branched with minute bracts and bracteoles; pedicels short. Flowers small, in cymes at the end of ultimate branchlets; sepals 5 , free, entire, erosulous or fimbriolate ; petals 5 , free, fleshy or slightly so , entire or erosulous ; disk consisting of 3 (or 5 in C. anomalum ) staminiferous pockets; stamens 3 (or 5) , erect in the cavities between the disk and the ovary , filaments ligulate , anthers small, dehiscing by transverse, confluent clefts ; ovary trigonous or pentagonous ; locules 3 (or 5) , ovules 2 or 4 per locule , collateral or superposed, stigmas adnate to the top of the ovary, their tips free, slightly projecting, entire or lobed , opposite the stamens. Fruits drupaceous, pericarp coriaceous ; seeds embedded in mucilaginous pulp ."
"taxon-1-Cheiloclinium_anomalum","Liana with slender branches . Petiole 5-11 mm long ; blades chartaceous to thin-coriaceous , often somewhat pale below when dried , elliptic(- oblong) , 5-15 x 2-5.8 cm , margins subentire to crenate-serrate , apex cuspidate or short-acuminate , base obtuse to acute, decurrent into the petiole ; primary vein prominent on both surfaces , secondary veins 5-8 per side, arcuately ascending , prominulous on both surfaces , tertiary veins prominulous on both surfaces or inconspicuous above, parallel . Inflorescence dichotomously branched, 2-5 cm long (to 25 cm in ""galled"" specimen) ; peduncles to 1.5 cm long ; bracts and bracteoles deltoid , less than 1 mm long ; pedicels to 4 mm long . Flowers 2.5-3 mm diam. ; sepals 0.5-0.9 x 0.7-1.3 mm , obtuse ; petals fleshy , greenish-white or creamish , swollen at base and along midvein, rounded , 1.3-1.8 x 1-1.5 mm , entire; disk to 1.5 mm high , yellow dotted , consisting of 5 staminiferous pockets; stamens 5 , filaments 0.4 mm long , anthers 0.1-0.2 x 0.2-0.3 mm ; ovary ca. 1 mm diam. , ovules 2 per locule , superposed, stigmas 5 , tips entire. Fruit obovoid-ellipsoid , 3-6 x 2.5-3.5 cm , pericarp coriaceous, smooth , 1 mm thick ; seeds 1.5 x 1 cm ."
"taxon-2-Cheiloclinium_belizense","Liana, occasionally a low tree; branchlets (sub)terete , greyish or purplish . Petiole 4-16 mm long ; blades chartaceous to subcoriaceous , dark green above, pale below , elliptic, ovate or oblong , 10-22 x 3-9 cm , margins entire , apex long-acuminate to short-cuspidate , base cuneate, acute or obtuse ; primary vein prominent on both surfaces , secondary veins 6-15 per side, slightly prominulous to impressed above, prominent below , tertiary veins prominulous or flattened above, prominulous below, reticulate, sometimes elongately so . Inflorescences axillary or arising from defoliate branches , dichotomously branched, to 13 cm long , sometimes verruculose ; peduncle 0-5 cm long ; bracts and bracteoles deltoid-ovate , to 2 mm long ; pedicels to 5 mm long , sometimes with yellow dots . Flowers fragrant, 2-4.5 mm diam. ; sepals greenish , broadly ovate , 0.5-0.8 x 0.5-1 mm , entire or faintly erosulous; petals spreading , fleshy , cream, brownish yellow, or whitish green, occasionally reddish brown outside , sometimes punctate or lineate, ovate to oblong , 1.5-2.3 x 0.8-1.8 mm , obtuse , subentire; disk red , 0.1-0.2 mm high , 0.4-0.6 mm wide , consisting of 3 staminiferous pockets; stamens 3 , filaments ca. 0.6 mm long , anthers ca. 0.2 x 0.4 mm ; ovary to 1.2 mm high , sometimes with yellow dots , ovules 2 per locule , superposed, stigmas 3 , deltoid, the tips entire, obtuse , 0.2 mm long . Fruits pendent , on thickened pedicels, globose or ovoid , to 5 x 4 cm , pericarp green to havana-brown , conspicuously lenticellate or smooth ."
"taxon-3-Cheiloclinium_cognatum","Small tree or shrub; branches often scandent , young branches quadrangular . Petiole 3-8 mm long ; blades chartaceous , brownish green or glaucescent above when dried, yellowish green below , narrowly elliptic, ovate or oblong , 8-20(-28) x 2.5-7(-9) cm , margins crenulate , apex acuminate or cuspidate , acumen to 2.5 cm long , base obtuse, rounded or acute ; primary vein prominent on both surfaces , secondary veins 6-12 per side, widely arcuately ascending , slightly impressed to prominulous above, prominulous below , tertiary veins inconspicuous above, slightly prominulous or indistinct below, often at right angles from the primary vein . Inflorescence thyrsoid , 2-10 cm long with short branches that thicken in the fruiting stage; peduncle ca. 5 mm long ; bracts oblong-ovate, acute , 1.5-2 mm ; pedicels less than 1 mm long , stout . Flowers to ca. 5 mm diam. ; sepals green or yellow to deep-brown , deltoid-ovate to semiorbicular , 0.7-1.3 x 1.2-1.7 mm ; petals thin-camose, brownish red or dark yellow with crimson margins or brownish orange, dotted or lineate, elliptic or obovate , 1.5-2.6 x 1.2-2 mm ; disk consisting of 3 staminiferous pockets, 0.3-0.4 mm high ; filaments 0.4-0.7 mm long , anthers 0.2 x 0.3 mm ; ovary 1-1.8 mm diam. , ovules 2 per locule , stigmas linear , entire, the tips to 0.5 mm long . Fruit on thickened pedicel, coriaceous, often lenticellate , green, greenish yellow or orange, usually with 3 paler, longitudinal bands , globose, oblong-ellipsoid, or somewhat trigonous (occasionally peanut-shaped) , 3.5-5 x 3 cm , with long persistent perianth , pericarp 1-2 mm thick ; seeds 3-6 , angled , to 1.5 cm long , red or dark brown ."
"taxon-4-Cheiloclinium_diffusiflorum","Liana; branchlets terete or faintly quadrangular . Petiole 5-12 mm long ; blades chartaceous , shiny above, when dried brown to dark green above and yellowish or pale greenish below , elliptic-oblong , 6-15 x 3-7 cm , margins subentire, sometimes crenate-serrate , apex cuspidate with acumen to 1.5 cm long , base acute or obtuse ; primary vein prominulous to impressed above, prominent below , secondary veins 5-9 per side, flattened or impressed above, prominulous below , tertiary veins reticulate, slightly prominulous on both surfaces, or inconspicuous . Inflorescence dichotomously branched, compact, hemispherical , 2-4 cm long ; peduncle 0.4-1.2 cm long ; bracts ca. 1 mm long . Flowers subsessile, fragrant, ca. 2 mm diam. ; sepals semiorbicular or deltoid , ca. 0.4 x 0.6 mm , entire or slightly erosulous; petals slightly fleshy , yellow , orbicular or oblong, 0.8-1.2 x 0.6-0.8 mm , entire or erosulous, thickened at base and along midvein ; disk 0.2-0.4 mm high , consisting of 3 staminiferous pockets; filaments ca. 0.3 mm long , anthers ca. 0.1 x 1.8 mm ; ovary ca. 0.6 mm diam. , ovules 2 per locule , stigmas narrowly deltoid, obtuse , entire. Fruit globose , ca. 2 cm diam. , pericarp smooth , orange-yellow ."
