"referenceID","bibliographicCitation"
"ref--861945185536983257","Brown, R. 1814 Flinders Voy. 555"
"ref--8532478637930535967","Cronquist, A. 1981 An integrated system of classification of flowering plants New York"
"ref--272678556834764613","Halle, N. 1962 Monographie des Hippocrateacees d'Afrique occidentale Ifan Dakar"
"ref--8307566250206999928","Halle. N. 1978 Revision monographique des Hippocrateae (Celastr.) 1. Les especes de Madagascar. Adansonia 17 397-414"
"ref-4075845634097006171","Halle, N. 1981 Revision des Hippocrateae (Celastraceae). 2. Le genre Pristimera Miers en Afrique et en Indonesie Bull. Mus. Natl. Hist. Nat. Paris Ser.4 Sect. B, Adansonia 3 5-14"
"ref--6524504597854265303","Halle, N. 1983 Revision des Hippocrateae (Celastraceae). 3. Fruits, graines et structures placentaires Bull. Mus. Natl. Hist. Nat. Paris Ser.4 Sect. B, Adansonia 5 11-25"
"ref-6380389507658132665","Halle, N. 1986 Celastraceae, Hippocrateoideae P. Morat Flore du Gabon 29 4-288"
"ref--8358099845687110851","Halle, N. 1990 Celastracees (Hippocrateoidees) B. Satabie & P. Morat Flore du Cameroun 32 1-293"
"ref-7561961354208629000","Hartog, R.M. den, nee van der Tholen & P. Baas. 1978 Epidermal characters of the Celastraceae sensu Jato Acta Bot. Neerl. 27 355-388"
"ref--4818467081884911966","Hooker, J.D. in G. Bentham & J.D. Hooker, 1862 Celastrineae tribus 4 Hippocrateaceae Genera Plantarum 1 369"
"ref--2748874034993160743","Hou, Ding 1964 Celastraceae II Flora Malesiana Ser. 1 6 398-422"
"ref--1391299635936038931","Hou, Ding. 1967 Sarawakodendron, a new genus of Ceiastraceae Blumea 15 139-144"
"ref--3741535427654538383","Jussieu, A.L. de. 1811 Hippocrateaceae Ann. Mus. Paris 18 486"
"ref-4584560149024080369","Loesener, Th. 1942 Hippocrateaceae A. Engler & K. Prantl Nattirliche Pflanzenfamilien 20b 198-231"
"ref-1997293095110853097","Macbride, J.F. 1951 Hippocrateaceae Juss. Flora of Pem. Field Mus. Natl. Hist. Bot. Ser. 13 3a 200-220"
"ref--8293599635260074871","Mennega, A.M.W. 1972 A survey of the wood anatomy of the New World Hippocrateaceae K.M. Ghouse & M. Yunus (Eds.) Research Trends in plant anatomy p. 61-72. Me Graw-Hill Bombay, New Delhi"
"ref--5909625554883976068","Miers, J. 1872 On the Hippocrateaceae of South America Trans.Linn. Soc. London 28 319-432 32 plates"
"ref--7493153629236810252","Peyritsch, J. 1878 Hippocrateaceae C.F.P. von Martius Flora Brasiliensis 11 1 125-164"
"ref-4213877297956394913","Robson, N.K.B. 1965 New and little known species from the Flora Zambesiaca area XVI. The status of Hippocrateaceae Bol. Soc. Brot. Ser. 2. 39 42-43"
"ref--6031796114682792241","Smith, A.C. 1940 The American species ofHippocrateaceae Brittonia 3 341-555"
"ref-5307312379273712947","Smith, A.C. & I.W. Bailey. 1941 Brassiantha, a new genus of the Hippocrateaceae from New Guinea J. Arnold Arb. 22 389-555"
"ref--298580111795189493","Chalk, L. & M.M. Chattaway. 1937 Identification of woods with included phloem Trop. Woods 50 1-31"
"ref--5026472933542574882","Halle, N. 1962 Monographie des Hippocrateacees d'Afrique occidentale Mem. Inst. Franc. d'Afrique noire 64 Dakar"
"ref-209287312197066372","Halle, N. 1986 Flore du Gabon 29 Celastraceae -Hippocrateoideae Museum National d'Histoire Nat Paris"
"ref-2427929486310932396","IAWA Committee. 1989 List of microscopic features for hardwood identification IAWA Bull. n.s. 10 221-332"
"ref-4734534911001907002","Mennega, A.M.W. 1972 A survey of the wood anatomy of the New World Hippocrateaceae Research Trends in Plant Anatomy K.A. Chowdhury Commemoration Volume New Delhi, India"
"ref-7979858693534728836","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons Clarendon Press Oxford"
"ref--3038453986639855840","Record, S.J. 1938 The American Woods of the orders Celastrales, Olacales and Santalales Trop. Woods. 53 11-38"
"ref-9193172319464861843","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press"
"ref-3188778588362008644","Schenck, H. 1983 Beitrage zur Biologie und Anatomie der Lianen. Teil II A.F.W. Schimper Botanische Mitteilungen aus den Trapen Hft. 5 II 131-137 Jena"
"ref--5442933038988548766","Solereder, H. 1899 Systematische Anatomie der Dicotyldonen Stuttgart"
"ref-7709855784852755375","Solereder, H. 1908 Systematische Anatomie der Dicotyledonen Erganzungsband Stuttgart"
"ref--9026920841672082194","A.C. Smith Brittonia 3 359 1940"
"ref--1989118880777875265","Mennega Proc. Kon. Ned. Akad. Wet. Ser. C 87 84 1984"
"ref--2461534429835554610","Mennega Novon 2 232 1992"
"ref-56998167646114694","Baehni, C. 1936 Revision des genres Neoleretia, Mappia et Humirianthera Candollea 7 167-181"
"ref-3190139410348518860","Bailey, I.W. & R.A. Howard. 1941 The comparative morphology of the Icacinaceae I, II, III and IV J. Arnold Arbor. 22 125-132; 171-186; 432-442; 556-568"
"ref-8226443834506410787","Dahl, A.O. 1952 The comparative morphology of the Icacinaceae VI J. Arnold Arbor. 33 252-286"
"ref--2520845183594027403","Engler, A. 1872 Icacinaceae C.F.P. Martius Fl. Bras. 12 2 40-62"
"ref--3015716977214147704","Heintzelman, C.E., Jr. & R.A. Howard. 1948 The comparative morphology of the Icacinaceae V Amer. J. Bot. 35 42-52"
"ref--8113675806668773920","Howard, R.A. 1940 Studies of the Icacinaceae I J. Arnold Arbor. 21 461-489"
"ref-8283877806155270446","Howard, R.A. 1942 Studies of the Icacinaceae II and III J. Arnold Arbor. 23 55-78; 479-494"
"ref--3475164811266018986","Howard, R.A. 1942 Studies of the Icacinaceae IV and V Contr. Gray Herb. 142 3-60; 60-89"
"ref--3036868094380895499","Howard, R.A. 1943 Studies of the Icacinaceae VI Brittonia 5 47-57"
"ref--7315757230794928881","Howard, R.A. 1943 Studies of the Icacinaceae VII and VIII Lloydia 6 133-143; 144-154"
"ref--6248440504712605757","Howard, R.A. 1976 Icacinaceae R.E. Woodson et al. Flora of Panama 6. Ann. Missouri Bot. Gard. 63 399-417"
"ref-3867827887278699336","Howard, R.A. 1979 Icacinaceae B. Maguire The Botany of the Guiana Highland part X. Mem. New York Bot. Gard. 29 62-68"
"ref-5403924873960154568","Howard, R.A. 1992 A revision of Casimirella, including Humirianthera (Icacinaceae) Brittonia 44 2 166-172"
"ref--6414544685162829269","Jansen-Jacobs, M.J. 1979 Icacinaceae A.L. Stoffers & J.C.Lindeman Flora of Suriname 5 1 344-351"
"ref-2861480756331584802","Sleumer, H. 1940, 1941 Beitrage zur Kenntnis der Icacinaceen und Peripterygiaceen Notizbl. Bot. Gart. Mus. Berlin-Dahlem 15 228-257; 359 365"
"ref--3190861364007188607","Sleumer, H. 1942 Icacinaceae. A. Engler & K. Prantl Nat. Pflanzenfam. ed. 2 20b 322-396"
"ref--1119492632147674546","Bailey, I.W. & R.A. Howard. 1941 The comparative morphology of the Icacinaceae II. Vessels J. Arnold Arbor. 22 171-187"
"ref-8990972717999724826","Bailey, I.W. & R.A. Howard. 1941 The comparative morphology of the Icacinaceae. III. Imperforate tracheary elements and xylem parenchyma J. Arnold Arbor. 22 432-442"
"ref-7115796721592770971","Bailey, I.W. & R.A. Howard. 1941 The comparative morphology of the Icacinaceae. IV. Rays of the secondary xylem J. Arnold Arbor. 22 556-568"
"ref--8104038997760369461","Detienne, P., P. Jacquet & A. Mariaux. 1982 Manuel d'identification des bois tropicaux. Tome 3. Guyane francaise Tome 3. Guyane francaise C.T.F.T. Nogent-sur-Marne"
"ref--5766260449268686382","Fanshawe, D.B. 1948 Forest Products of British Guiana. Part 1 Principal Timbers Forestry Bulletin 1 (New Series)"
"ref-1327082338572284847","Lindeman, J.C. & A.M.W. Mennega. 1963 Bomenboek voor Suriname Dienst 's Lands Bosbeheer Paramaribo"
"ref--808980858934871096","Mennega, E.A., W.C.M. Tammens-de Rooij & M.J. Jansen-Jacobs (Eds.) 1988 Checklist of woody plants of Guyana Tropenbos Technical Series 2 Tropenbos Foundation Ede"
"ref--7230038983764615151","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons Volume 1 Clarendon Press Oxford"
"ref--2672726548819155955","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven, CT"
