"taxonID","habitat"
"taxon-1-Anthodon_decussatum","Habitat: in secondary, wet forest, 100-900 m alt"
"taxon-2-Cheiloclinium_belizense","Habitat: In rain forest on terra firme or varzea, to 1500 m alt."
"taxon-1-Elachyptera_floribunda","Habitat: in gallery forest, varzea and terra firme forests, and mangrove swamps."
"taxon-1-Hippocratea_volubilis","Habitat: in riverine, in iguapo or in terra firme forests, also in dense and in semi-evergreen forest."
"taxon-2-Peritassa_huanucana","Habitat: on terra firme and in riverine forests."
"taxon-3-Peritassa_laevigata","Habitat: in dry and in seasonaly flooded forests."
"taxon-1-Prionostemma_aspera","Habitat: along rivers, in secondary and primary forests and in savannas."
"taxon-2-Pristimera_holdeniana","Habitat: dense forest"
"taxon-3-Pristimera_nervosa","Habitat: in rain forest (Mora forest) and forest on terra firme."
"taxon-9-Salacia_maburensis","Habitat: Polak 414 (BRG, U)."
"taxon-1-Tontelea_attenuata","Habitat: in tropical, moist, flooded, non-flooded and riverine forests."
"taxon-5-Tontelea_laxiflora","Habitat: occurring in non-flooded forests or near rivers."
"taxon-1-Dendrobangia_boliviana","Habitat: Large tree, widespread in lowland rainforest."
"taxon-1-Discophora_guianensis","Habitat: Medium sized tree, widespread in rain forest."
"taxon-2-Emmotum_conjunctum","Habitat: Most collections are from savanna, savanna forest or scrub forest vegetations on sandy soils from altitudes of 300-1100 m; some collections are from moist elfin forests at altitudes to 1400 m ."
"taxon-3-Emmotum_fagifolium","Habitat: In Brazil and French Guiana collected in rainforest and marsh forest, riverine forest and savanna forest, in Suriname only collected in western Suriname in a forest on poor soil and in Guyana in high forest, wallaba forest, savanna forest, along roads and on savannas."
"taxon-4-Emmotum_fulvum","Habitat: Reported as a tree, 12 to 35 m tall, in mixed forest on clay soil and on forested slopes of sandstone mountains at altitudes of 800-1700 m ."
"taxon-5-Emmotum_glabrum","Habitat: Reported from bush islands on savannas, riparian forest, high forest, dwarf forest and cloud and elfin forest at altitudes to 1600 m ."
"taxon-6-Emmotum_orbiculatum","Habitat: Caatinga and campos vegetations ; reported as dominant species in savanna forest."
"taxon-1-Leretia_cordata","Habitat: Large liana, widespread in lowland rain forest. On savannas and in savanna forest collected as a shrub or a small tree."
"taxon-1-Poraqueiba_guianensis","Habitat: Rather common tree in rainforest ."
