WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0001425484,179083763,31715,Monoon glabrum,ANNONACEAE,Monoon,glabrum,,,,(Hook.f. & Thomson) B.Xue & R.M.K.Saunders,Critically Endangered,B2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t31715a179083763.en,"(2020). Monoon glabrum: Verspagen, N., Erkens, R.H.J. & Hills, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t31715a179083763.en"
wfo-0000373030,179086399,179086396,Monoon sublanceolatum,ANNONACEAE,Monoon,sublanceolatum,,,,Miq.,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t179086396a179086399.en,"(2020). Monoon sublanceolatum: Verspagen, N., Erkens, R.H.J. & Hills, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t179086396a179086399.en"
wfo-0000746784,179178543,179178541,Mitrephora kostermansii,ANNONACEAE,Mitrephora,kostermansii,,,,Weeras. & R.M.K.Saunders,Critically Endangered,B2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t179178541a179178543.en,"(2019). Mitrephora kostermansii: Verspagen, N., Erkens, R.H.J. & Hills, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t179178541a179178543.en"
wfo-1000001277,179188018,178657935,Acropogon horarius,MALVACEAE,Acropogon,horarius,,,,Gâteblé & Munzinger,Critically Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i,ii); D",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t178657935a179188018.en,"(2019). Acropogon horarius: Amice, R., Butin, J.-P., Cazé, H., Garnier, D., McCoy, S., Veillon, J.-M., Gâteblé, G., Fleurot, D., Laudereau, C., Suprin, B., Hequet, V., Bruy, D. & Vandrot, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t178657935a179188018.en"
wfo-1000033865,179190963,164862331,Pichonia munzingeri,SAPOTACEAE,Pichonia,munzingeri,,,,Gâteblé & Swenson,Critically Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i); D",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t164862331a179190963.en,"(2019). Pichonia munzingeri: Amice, R., Butin, J.-P., Cazé, H., Garnier, D., McCoy, S., Veillon, J.-M., Gâteblé, G., Fleurot, D., Laudereau, C., Suprin, B., Hequet, V., Bruy, D. & Vandrot, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t164862331a179190963.en"
wfo-0000706426,179203161,179203159,Goniothalamus alatus,ANNONACEAE,Goniothalamus,alatus,,,,R.M.K.Saunders,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t179203159a179203161.en,"(2020). Goniothalamus alatus: Verspagen, N. & Erkens, R.H.J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t179203159a179203161.en"
wfo-0000507649,179229823,179229821,Mitrephora sirikitiae,ANNONACEAE,Mitrephora,sirikitiae,,,,"Weeras., Chalermglin & R.M.K.Saunders",Critically Endangered,D,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-2.rlts.t179229821a179229823.en,"(2021). Mitrephora sirikitiae: Verspagen, N. & Erkens, R.H.J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-2.rlts.t179229821a179229823.en"
wfo-0000649807,179490990,173403,Diospyros subtrinervis,EBENACEAE,Diospyros,subtrinervis,,,,H.Perrier,Critically Endangered,"B2ab(ii,iii,iv,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t173403a179490990.en,"(2020). Diospyros subtrinervis: Schatz, G.E. & Lowry II, P.P. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t173403a179490990.en"
wfo-0001425002,179764460,176059441,Myrcia santalucia,MYRTACEAE,Myrcia,santalucia,,,,(Sobral) A.R.Lourenço & E.Lucas,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t176059441a179764460.en,"(2020). Myrcia santalucia: Grice, H., Lucas, E. & Burton, G. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t176059441a179764460.en"
wfo-0001424966,179772014,176059453,Myrcia solitaria,MYRTACEAE,Myrcia,solitaria,,,,"(Sobral, O.T.Aguiar & Antunes) A.R.Lourenço & E.Lucas",Critically Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t176059453a179772014.en,"(2020). Myrcia solitaria: Grice, H., Lucas, E. & Burton, G. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t176059453a179772014.en"
