WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000589005,150120519,150120517,Casimiroa edulis,RUTACEAE,Casimiroa,edulis,,,,La Llave,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t150120517a150120519.en,"(2018). Casimiroa edulis: Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t150120517a150120519.en"
wfo-0000573910,150120592,150120590,Buddleja americana,SCROPHULARIACEAE,Buddleja,americana,,,,L.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t150120590a150120592.en,"(2018). Buddleja americana: Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t150120590a150120592.en"
wfo-0001219542,150219474,149880383,Ilex cyrtura,AQUIFOLIACEAE,Ilex,cyrtura,,,,Merr.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880383a150219474.en,"(2020). Ilex cyrtura: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880383a150219474.en"
wfo-0000729409,150219479,149880387,Ilex excelsa,AQUIFOLIACEAE,Ilex,excelsa,,,,(Wall.) Voigt,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880387a150219479.en,"(2020). Ilex excelsa: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880387a150219479.en"
wfo-0000729487,150219484,149880395,Ilex hookeri,AQUIFOLIACEAE,Ilex,hookeri,,,,King,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880395a150219484.en,"(2020). Ilex hookeri: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880395a150219484.en"
wfo-0000729509,150219489,149880400,Ilex intricata,AQUIFOLIACEAE,Ilex,intricata,,,,Hook.f.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880400a150219489.en,"(2020). Ilex intricata: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880400a150219489.en"
wfo-0000729531,150219494,149880420,Ilex kingiana,AQUIFOLIACEAE,Ilex,kingiana,,,,Cockerell,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880420a150219494.en,"(2020). Ilex kingiana: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880420a150219494.en"
wfo-0000729679,150219499,149880424,Ilex odorata,AQUIFOLIACEAE,Ilex,odorata,,,,Buch.-Ham. ex D.Don,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880424a150219499.en,"(2020). Ilex odorata: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880424a150219499.en"
wfo-0000729835,150219509,149880446,Ilex sikkimensis,AQUIFOLIACEAE,Ilex,sikkimensis,,,,Kurz,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880446a150219509.en,"(2020). Ilex sikkimensis: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149880446a150219509.en"
wfo-0000421086,150219514,149881198,Viburnum colebrookeanum,VIBURNACEAE,Viburnum,colebrookeanum,,,,Wall. ex DC.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149881198a150219514.en,"(2020). Viburnum colebrookeanum: Lakhey, P. & Pathak, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t149881198a150219514.en"
