WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000925847,10118302,38493,Corypha taliera,ARECACEAE,Corypha,taliera,,,,Roxb.,Extinct in the Wild,,2.3,,Global,https://doi.org/10.2305/iucn.uk.1998.rlts.t38493a10118302.en,"(1998). Corypha taliera: Johnson, D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.1998.rlts.t38493a10118302.en"
wfo-0000636103,10854084,44056,Cyrtandra waiolani,GESNERIACEAE,Cyrtandra,waiolani,,,,Wawra,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2003.rlts.t44056a10854084.en,"(2003). Cyrtandra waiolani: Bruegmann, M.M. & Caraway, V. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2003.rlts.t44056a10854084.en"
wfo-0000830977,10856873,44109,Cyanea pinnatifida,CAMPANULACEAE,Cyanea,pinnatifida,,,,(Cham.) E.Wimm.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2003.rlts.t44109a10856873.en,"(2003). Cyanea pinnatifida: Bruegmann, M.M. & Caraway, V. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2003.rlts.t44109a10856873.en"
wfo-0000831018,10863009,44135,Cyanea superba,CAMPANULACEAE,Cyanea,superba,,,,(Cham.) A.Gray,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2003.rlts.t44135a10863009.en,"(2003). Cyanea superba: Bruegmann, M.M. & Caraway, V. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2003.rlts.t44135a10863009.en"
wfo-0000442752,12535686,61670,Lysimachia minoricensis,PRIMULACEAE,Lysimachia,minoricensis,,,,J.J.Rodr.,Extinct in the Wild,,3.1,,"Global, Europe & Mediterranean",https://doi.org/10.2305/iucn.uk.2011-2.rlts.t61670a12535686.en,"(2011). Lysimachia minoricensis: Galicia Herbada, D. & Fraga Arquimbau, P. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2011-2.rlts.t61670a12535686.en"
wfo-0000922165,43520162,35042,Ochrosia brownii,APOCYNACEAE,Ochrosia,brownii,,,,(Fosberg & Sachet) Lorence & Butaud,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t35042a43520162.en,"(2020). Ochrosia brownii: Lorence, D.H. & Butaud, J.-F. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t35042a43520162.en"
wfo-0000186151,47608529,272625865,Clianthus puniceus,FABACEAE,Clianthus,puniceus,,,,(G.Don) Banks Sol. Ex Lindl.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2025-1.rlts.t272625865a47608529.en,"(2023). Clianthus puniceus: de Lange, P. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2025-1.rlts.t272625865a47608529.en"
wfo-0001019767,51248842,51247667,Brugmansia insignis,SOLANACEAE,Brugmansia,insignis,,,,(Barb. Rodr.) Lockwood ex R.E. Schult.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247667a51248842.en,"(2013). Brugmansia insignis: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247667a51248842.en"
wfo-0000163201,56605215,56605187,Diplazium laffanianum,ATHYRIACEAE,Diplazium,laffanianum,,,,(Baker) C.Chr.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t56605187a56605215.en,"(2013). Diplazium laffanianum: Copeland, A. & Malcolm, P. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t56605187a56605215.en"
wfo-0001019752,58386508,51247708,Brugmansia arborea,SOLANACEAE,Brugmansia,arborea,,,,(L.) Sweet,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247708a58386508.en,"(2014). Brugmansia arborea: Hay, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t51247708a58386508.en"
