WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000538511,11017287,45886,Anthocleista scandens,GENTIANACEAE,Anthocleista,scandens,,,,Hook.f.,Vulnerable,A2c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45886a11017287.en,"(2004). Anthocleista scandens: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45886a11017287.en"
wfo-0001074105,11017428,45887,Strychnos elaeocarpa,LOGANIACEAE,Strychnos,elaeocarpa,,,,Gilg ex Leeuwenb.,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45887a11017428.en,"(2004). Strychnos elaeocarpa: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45887a11017428.en"
wfo-0001074132,11017546,45888,Strychnos staudtii,LOGANIACEAE,Strychnos,staudtii,,,,Gilg,Vulnerable,A2c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45888a11017546.en,"(2004). Strychnos staudtii: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45888a11017546.en"
wfo-0000413286,11017669,45889,Tapinanthus preussii,LORANTHACEAE,Tapinanthus,preussii,,,,(Engl.) Tiegh.,Vulnerable,A2c+3c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45889a11017669.en,"(2004). Tapinanthus preussii: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45889a11017669.en"
wfo-0001081457,11018071,45891,Memecylon dasyanthum,MELASTOMATACEAE,Memecylon,dasyanthum,,,,Gilg & Ledermann ex Engl.,Vulnerable,A2c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45891a11018071.en,"(2004). Memecylon dasyanthum: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45891a11018071.en"
wfo-0000654602,11018721,45896,Dorstenia prorepens,MORACEAE,Dorstenia,prorepens,,,,Engl.,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45896a11018721.en,"(2004). Dorstenia prorepens: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45896a11018721.en"
wfo-0000448187,11018861,45897,Morella arborea,MYRICACEAE,Morella,arborea,,,,(Hutch.) Cheek,Vulnerable,A3c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45897a11018861.en,"(2004). Morella arborea: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45897a11018861.en"
wfo-0001092139,11019630,45841,Piper hylebates,PIPERACEAE,Piper,hylebates,,,,C. DC.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45841a11019630.en,"(2004). Piper hylebates: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45841a11019630.en"
wfo-0001092140,11019670,45842,Piper hylophilum,PIPERACEAE,Piper,hylophilum,,,,C. DC.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45842a11019670.en,"(2004). Piper hylophilum: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45842a11019670.en"
wfo-0001094269,11019710,45843,Piper lineatipilosum,PIPERACEAE,Piper,lineatipilosum,,,,Yunck.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45843a11019710.en,"(2004). Piper lineatipilosum: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45843a11019710.en"
wfo-0001094279,11020076,45850,Piper napo-pastazanum,PIPERACEAE,Piper,napo-pastazanum,,,,Trel. & Yunck.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45850a11020076.en,"(2004). Piper napo-pastazanum: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45850a11020076.en"
wfo-0001094281,11020114,45851,Piper nebuligaudens,PIPERACEAE,Piper,nebuligaudens,,,,Yunck.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45851a11020114.en,"(2004). Piper nebuligaudens: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45851a11020114.en"
wfo-0001094314,11020458,45865,Piper subaduncum,PIPERACEAE,Piper,subaduncum,,,,Yunck.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45865a11020458.en,"(2004). Piper subaduncum: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45865a11020458.en"
wfo-0001094317,11020534,45867,Piper supernum,PIPERACEAE,Piper,supernum,,,,Trel. & Yunck.,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45867a11020534.en,"(2004). Piper supernum: Santiana, J. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45867a11020534.en"
wfo-0000881530,11020946,45959,Neurolepis asymmetrica,POACEAE,Neurolepis,asymmetrica,,,,L.G.Clark,Vulnerable,B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45959a11020946.en,"(2004). Neurolepis asymmetrica: Laegaard, S. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45959a11020946.en"
wfo-0000583265,11020988,45900,Campylospermum letouzeyi,OCHNACEAE,Campylospermum,letouzeyi,,,,Farron,Vulnerable,A2c; B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45900a11020988.en,"(2004). Campylospermum letouzeyi: Darbyshire, I. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45900a11020988.en"
wfo-0000881539,11021177,45961,Neurolepis laegaardii,POACEAE,Neurolepis,laegaardii,,,,L.G.Clark,Vulnerable,B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45961a11021177.en,"(2004). Neurolepis laegaardii: Laegaard, S. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45961a11021177.en"
wfo-0000779152,11022247,45906,Calochone acuminata,RUBIACEAE,Calochone,acuminata,,,,Keay,Vulnerable,A3c,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45906a11022247.en,"(2004). Calochone acuminata: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45906a11022247.en"
wfo-0000783031,11022362,45907,Calycosiphonia macrochlamys,RUBIACEAE,Calycosiphonia,macrochlamys,,,,(K.Schum.) Robbrecht,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45907a11022362.en,"(2004). Calycosiphonia macrochlamys: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45907a11022362.en"
wfo-0000840738,11022487,45908,Chassalia petitiana,RUBIACEAE,Chassalia,petitiana,,,,Piesschaert,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45908a11022487.en,"(2004). Chassalia petitiana: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45908a11022487.en"
wfo-0001426930,11022622,45909,Eumachia obanensis,RUBIACEAE,Eumachia,obanensis,,,,(Wernham) Razafim. & C.M.Taylor,Vulnerable,A3c,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45909a11022622.en,"(2004). Chazaliella obanensis: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45909a11022622.en"
wfo-0000933712,11022831,45911,Cuviera talbotii,RUBIACEAE,Cuviera,talbotii,,,,(Wernham) Verdc.,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45911a11022831.en,"(2004). Cuviera talbotii: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45911a11022831.en"
wfo-0000216042,11022939,45912,Hymenocoleus glaber,RUBIACEAE,Hymenocoleus,glaber,,,,Robbr.,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45912a11022939.en,"(2004). Hymenocoleus glaber: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45912a11022939.en"
wfo-0000218454,11023160,45913,Ixora foliosa,RUBIACEAE,Ixora,foliosa,,,,Hiern,Vulnerable,A2c+3c,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45913a11023160.en,"(2004). Ixora foliosa: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45913a11023160.en"
wfo-0001100061,11023331,45981,Monnina equatoriensis,POLYGALACEAE,Monnina,equatoriensis,,,,Chodat,Vulnerable,C1,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45981a11023331.en,"(2004). Monnina equatoriensis: Freire-Fierro, A. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45981a11023331.en"
wfo-0000261798,11023489,45916,Oxyanthus montanus,RUBIACEAE,Oxyanthus,montanus,,,,Sonké,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45916a11023489.en,"(2004). Oxyanthus montanus: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45916a11023489.en"
wfo-0001100076,11023576,45983,Monnina loxensis,POLYGALACEAE,Monnina,loxensis,,,,Benth.,Vulnerable,A4c; B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45983a11023576.en,"(2004). Monnina loxensis: Freire-Fierro, A. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45983a11023576.en"
wfo-0000265033,11023614,45917,Pauridiantha divaricata,RUBIACEAE,Pauridiantha,divaricata,,,,(K.Schum.) Bremek.,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45917a11023614.en,"(2004). Pauridiantha divaricata: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45917a11023614.en"
wfo-0001100081,11023681,45984,Monnina obovata,POLYGALACEAE,Monnina,obovata,,,,Chodat & Sodiro,Vulnerable,D2,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45984a11023681.en,"(2004). Monnina obovata: Freire-Fierro, A. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45984a11023681.en"
wfo-0000265061,11023719,45918,Pauridiantha venusta,RUBIACEAE,Pauridiantha,venusta,,,,N.Hallé,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45918a11023719.en,"(2004). Pauridiantha venusta: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45918a11023719.en"
wfo-0001100712,11023796,45985,Monnina pseudoaestuans,POLYGALACEAE,Monnina,pseudoaestuans,,,,Ferreyra & Wurdack,Vulnerable,A4c,3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45985a11023796.en,"(2004). Monnina pseudoaestuans: Freire-Fierro, A. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45985a11023796.en"
wfo-0001100024,11024740,45989,Securidaca leiocarpa,POLYGALACEAE,Securidaca,leiocarpa,,,,S.F.Blake,Vulnerable,B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45989a11024740.en,"(2004). Securidaca leiocarpa: Freire-Fierro, A. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45989a11024740.en"
wfo-0001101767,11025097,45990,Rumex andinus,POLYGONACEAE,Rumex,andinus,,,,Rech.f.,Vulnerable,B2ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45990a11025097.en,"(2004). Rumex andinus: Romero-Saltos, H. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45990a11025097.en"
wfo-0000299356,11025135,45924,Sabicea batesii,RUBIACEAE,Sabicea,batesii,,,,Wernham,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45924a11025135.en,"(2004). Pseudosabicea batesii: Cheek, M. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45924a11025135.en"
wfo-0001231699,11025440,45993,Aphanes cotopaxiensis,ROSACEAE,Aphanes,cotopaxiensis,,,,Romoleroux & Frost-Olsen,Vulnerable,B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45993a11025440.en,"(2004). Aphanes cotopaxiensis: Romoleroux, K. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45993a11025440.en"
wfo-0000995326,11025516,45994,Lachemilla aequatoriensis,ROSACEAE,Lachemilla,aequatoriensis,,,,(Rothm.) Rothm.,Vulnerable,B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45994a11025516.en,"(2004). Lachemilla aequatoriensis: Romoleroux, K. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45994a11025516.en"
wfo-0001005849,11025592,45995,Lachemilla angustata,ROSACEAE,Lachemilla,angustata,,,,Romoleroux,Vulnerable,B1ab(iii),3.1,,Global,https://doi.org/10.2305/iucn.uk.2004.rlts.t45995a11025592.en,"(2004). Lachemilla angustata: Romoleroux, K. & Pitman, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2004.rlts.t45995a11025592.en"
